Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.10824	0.00484	0.88691	0	0	0
V2	0.70753	0.0849	0	0.12359	0.08397	0
V3	0.02438	0.02754	0.16439	0	0	0.78369
V4	0.24478	0.52136	0	0.13353	0.06003	0.0403
V5	0	0.03492	0	0.76334	0.20173	0
V6	0.17835	0	0.13641	0.0545	0.1108	0.51994
V7	0	0.43832	0	0.01571	0.54395	0.00202
V8	0.86882	0.00286	0	0.12832	0	0
V9	0.24645	0.12311	0	0.34695	0	0.2835
V10	0.53264	0.01549	0.02207	0.42979	0	0
V11	0	0.9868	0	0.0132	0	0
V12	0	0	0	0	0	1
V13	0	0.61601	0.36782	0.01618	0	0
V14	0.04886	0.01139	0	0.93975	0	0
V15	0.62328	0.04506	0	0.15123	0.18043	0
V16	0.01639	0.00547	0	0.51652	0.30004	0.16158
V17	0	0	0.09928	0	0	0.90072
V18	0.92004	0.07274	0	0.00721	0	0
V19	0.74734	0.00605	0.16771	0	0.07891	0
V20	0.77937	0.03513	0.04953	0.13596	0	0
V21	0	0	0	0.00736	0	0.99264
V22	0.2603	0.03959	0	0.08273	0.61738	0
V23	0.06384	0.00794	0.37477	0.00463	0.54882	0
V24	0.21641	0.00452	0	0.14717	0.62795	0.00394
V25	0.57365	0.2319	0	0.18549	0.00896	0
V26	0.35829	0	0	0	0.64171	0
V27	0	0	0.129	0	0	0.871
V28	0.03661	0.23501	0.1559	0.34032	0	0.23216
V29	0	0.72566	0.07995	0.09821	0	0.09618
V30	0.25749	0.18489	0.08705	0	0.22277	0.24781
V31	0.81618	0.00388	0.16183	0.0181	0	0
V32	0	0.00984	0.33171	0.62531	0	0.03313
V33	0.27626	0.44233	0.26669	0.01472	0	0
V34	0	0	0.57427	0.02415	0.40115	0.00043
V35	0	0.04975	0.17823	0.68447	0.06409	0.02346
V36	0.01326	0.63869	0.12296	0.01343	0.20638	0.00529
V37	0	0	0.80889	0.00473	0	0.18638
V38	0	0	0.07806	0	0	0.92194
V39	0.67552	0	0	0.32448	0	0
V40	0	0.58839	0	0.25431	0.07361	0.08369
V41	0.9056	0	0	0	0	0.0944
V42	0.32378	0.00567	0.59037	0.00269	0.00989	0.0676
V43	0.22429	0.4666	0	0.03868	0.24229	0.02814
V44	0	1	0	0	0	0
V45	0.54544	0.31488	0.00736	0.02168	0	0.11064
V46	0	0	0	0.37021	0.295	0.33479
V47	0	0.46281	0	0.22988	0.22504	0.08227
V48	0	0.72255	0.23117	0.00423	0.04205	0
V49	0	0.9514	0	0.00628	0.04232	0
V50	0	0	0.28629	0.00346	0.62713	0.08311
V51	0	0	0	0	1	0
