Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.0157	0.00269	0.09146	0	0.38857	0	0	0	0	0.50158
V2	0.65942	0	0	0	0	0.3056	0.0318	0.00318	0	0
V3	0.12833	0.01318	0.10208	0	0.5044	0.01812	0.04687	0.18702	0	0
V4	0.01731	0.10388	0.03145	0	0.05143	0.06287	0.00472	0.01673	0.61471	0.09689
V5	0.00036	0.13151	0.07776	0.08337	0.17196	0.06704	0.00361	0.00259	0	0.46179
V6	0.03288	0	0.20535	0	0.67909	0.01335	0	0.06932	0	0
V7	0.01614	0.40509	0.01343	0	0.43949	0.00831	0.02739	0.09015	0	0
V8	0.02378	0.44968	0.05563	0	0.13542	0	0	0.33549	0	0
V9	0.02348	0.02595	0.04539	0.15204	0	0.02886	0.11535	0.60893	0	0
V10	0.02015	0	0.00741	0	0.763	0.04779	0	0.16166	0	0
V11	0.03025	0.46171	0.0186	0	0.14444	0.01797	0	0.31883	0	0.00821
V12	0.01112	0.06099	0.10008	0.59186	0.02009	0.02997	0.07106	0.02419	0	0.09065
V13	0.09845	0.07852	0.08938	0	0	0.21679	0.31925	0.03493	0.16269	0
V14	0.08689	0.41114	0.15897	0.02494	0.12655	0.07253	0.09094	0.02804	0	0
V15	0.23222	0.02161	0	0.66582	0	0.03897	0.02055	0.02082	0	0
V16	0.01613	0.0721	0.10898	0.62726	0	0.05721	0.0052	0.00945	0.10367	0
V17	0.02213	0.14552	0.04805	0	0.19986	0.08172	0.02548	0.01418	0	0.46307
V18	0.06571	0.10022	0.04074	0.38216	0.07617	0.00565	0	0.00503	0	0.32432
V19	0	0.01334	0.06467	0.08104	0.12256	0.08426	0	0.0162	0	0.61793
V20	0.00766	0.30101	0.00308	0	0.01704	0.11196	0.39357	0.0902	0.0159	0.05959
