mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.25664	0.18684	0.21186	0.18709	0.15757
V2	0.05303	0.67235	0.06781	0.13482	0.07199
V3	0.05055	0.1306	0.32331	0.48038	0.01515
V4	0.00223	0.08362	0.17255	0.02013	0.72147
V5	0.0021	0.04353	0.04745	0.04811	0.85882
V6	0.2511	0.12908	0.21886	0.28144	0.11952
V7	0.0034	0.13222	0.31382	0.06327	0.48728
V8	0.01342	0.24013	0.62746	0.11422	0.00477
V9	0.04128	0.0836	0.19129	0.67588	0.00795
V10	0.37434	0.19942	0.35922	0.03519	0.03183
V11	0.01648	0.06338	0.07828	0.02109	0.82077
V12	0.05504	0.08209	0.16637	0.30575	0.39076
V13	0.09014	0.06828	0.03426	0.43261	0.37471
V14	0.11256	0.0539	0.05967	0.68345	0.09043
V15	0.01415	0.03488	0.00586	0.92405	0.02107
V16	0.43933	0.12905	0.01834	0.40421	0.00906
V17	0.04228	0.17261	0.01878	0.03378	0.73255
V18	0.07512	0.35626	0.2372	0.31553	0.01589
V19	0.0105	0.03778	0.00528	0.06035	0.88609
V20	0.00443	0.18419	0.52015	0.27676	0.01447
V21	0.0101	0.19696	0.11216	0.17199	0.50879
V22	0.66239	0.19061	0.06377	0.04809	0.03514
V23	0.04731	0.04899	0.02207	0.09157	0.79006
V24	0.3549	0.14891	0.02412	0.05813	0.41395
V25	0.0106	0.04357	0.01626	0.40402	0.52556
V26	0.3891	0.21351	0.05884	0.07118	0.26737
V27	0.1098	0.41734	0.18204	0.03337	0.25745
V28	0.0209	0.10465	0.1543	0.68554	0.03462
V29	0.00406	0.08925	0.23884	0.65163	0.01621
V30	0.59518	0.1785	0.03119	0.06788	0.12725
V31	0.32884	0.15416	0.01843	0.28941	0.20917
V32	0.72994	0.13987	0.01484	0.0529	0.06246
V33	0.00821	0.13786	0.01825	0.08818	0.74749
V34	0.13597	0.77209	0.01689	0.0681	0.00696
V35	0.0932	0.55002	0.26495	0.08667	0.00516
V36	0.01449	0.15697	0.13675	0.07603	0.61576
V37	0.57719	0.10889	0.00709	0.04117	0.26566
V38	0.09348	0.14885	0.3576	0.23784	0.16224
V39	0.24709	0.14826	0.25875	0.02822	0.31769
V40	0.22316	0.49889	0.02681	0.19791	0.05324
V41	0.0479	0.74749	0.02448	0.04797	0.13216
V42	0.67917	0.15689	0.02598	0.05739	0.08056
V43	0.39717	0.23572	0.27991	0.07264	0.01456
V44	0.03013	0.33226	0.46488	0.02914	0.1436
V45	0.03235	0.54339	0.10661	0.2507	0.06696
V46	0.121	0.66428	0.08648	0.09695	0.0313
V47	0.00588	0.2636	0.6862	0.0299	0.01442
V48	0.12662	0.15512	0.1812	0.39019	0.14686
V49	0.37598	0.20865	0.19024	0.20997	0.01515
V50	0.02338	0.2702	0.67168	0.03025	0.00449
