cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.52099	0.02637	0.18712	0.26552
V2	0.13598	0.09698	0.09332	0.67372
V3	0.07713	0.59377	0.03785	0.29125
V4	0.81357	0.14648	0.02293	0.01702
V5	0.12294	0.46427	0.26212	0.15067
V6	0.10323	0.83653	0.04209	0.01814
V7	0.14811	0.34199	0.10639	0.4035
V8	0.1357	0.03467	0.78204	0.04759
V9	0.22371	0.22849	0.06824	0.47956
V10	0.04422	0.03871	0.84689	0.07019
V11	0.21443	0.34697	0.42665	0.01196
V12	0.0528	0.56362	0.36464	0.01894
V13	0.27239	0.68746	0.02431	0.01584
V14	0.1006	0.85792	0.03499	0.00649
V15	0.13507	0.58929	0.13071	0.14493
V16	0.85974	0.07642	0.04077	0.02307
V17	0.11285	0.83372	0.03543	0.01799
V18	0.55985	0.35709	0.05461	0.02845
V19	0.17692	0.78392	0.02847	0.01069
V20	0.17108	0.44411	0.04418	0.34064
V21	0.13436	0.06127	0.75938	0.04499
V22	0.0315	0.09461	0.22784	0.64605
V23	0.36575	0.05792	0.55927	0.01706
V24	0.85018	0.08335	0.06276	0.00371
V25	0.33368	0.23507	0.14525	0.286
V26	0.38745	0.38988	0.03314	0.18954
V27	0.09656	0.07776	0.07617	0.74951
V28	0.04849	0.10353	0.81961	0.02837
V29	0.42102	0.04266	0.50163	0.03468
V30	0.10289	0.19901	0.29376	0.40434
V31	0.19854	0.18247	0.31283	0.30617
V32	0.08374	0.05785	0.08876	0.76965
V33	0.06386	0.48099	0.3619	0.09325
V34	0.13438	0.04705	0.77273	0.04585
V35	0.17655	0.70725	0.092	0.0242
V36	0.02169	0.04511	0.47591	0.45729
V37	0.51752	0.08237	0.1143	0.28581
V38	0.39152	0.02005	0.1952	0.39322
V39	0.1768	0.55943	0.13894	0.12484
V40	0.12716	0.77659	0.0942	0.00204
V41	0.03479	0.64676	0.06821	0.25024
V42	0.20188	0.04148	0.23133	0.52532
V43	0.14095	0.32409	0.49978	0.03519
V44	0.03041	0.06828	0.73114	0.17017
V45	0.11502	0.58016	0.22551	0.07931
V46	0.75868	0.10148	0.13528	0.00456
V47	0.44148	0.19216	0.32291	0.04346
V48	0.7646	0.19483	0.02524	0.01532
V49	0.70835	0.2085	0.01412	0.06904
V50	0.09532	0.80078	0.09785	0.00605
V51	0.31291	0.399	0.26155	0.02654
V52	0.047	0.10578	0.79985	0.04736
