B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.57993	0.01151	0.15744	0.25112
V2	0.21923	0.11804	0.03129	0.63144
V3	0.10054	0.62334	0	0.27611
V4	0.84735	0.10042	0	0.05223
V5	0.14747	0.47091	0.2406	0.14103
V6	0.127	0.81907	0.01975	0.03418
V7	0.19192	0.37715	0.06754	0.36339
V8	0.17392	0.02325	0.76365	0.03918
V9	0.29182	0.2582	0.01414	0.43583
V10	0.06219	0.03203	0.84861	0.05718
V11	0.24558	0.35172	0.4027	0
V12	0.06863	0.56585	0.35345	0.01207
V13	0.30946	0.66293	0	0.02761
V14	0.12205	0.85708	0.00312	0.01775
V15	0.16212	0.58108	0.11557	0.14123
V16	0.87254	0.04414	0.01406	0.06926
V17	0.13664	0.82025	0.00917	0.03394
V18	0.58567	0.32897	0.03704	0.04832
V19	0.20752	0.76915	6e-05	0.02328
V20	0.21227	0.47179	5e-04	0.31544
V21	0.17288	0.0816	0.70997	0.03555
V22	0.06683	0.12945	0.1906	0.61312
V23	0.40902	0.05585	0.52354	0.01158
V24	0.93147	0.03827	0.02875	0.0015
V25	0.37956	0.248	0.11214	0.2603
V26	0.42724	0.38162	0.00223	0.18891
V27	0.18017	0.09139	0	0.72844
V28	0.024	0.08563	0.89037	0
V29	0.46391	0.04044	0.45912	0.03653
V30	0.14311	0.24392	0.25804	0.35494
V31	0.24326	0.21281	0.27403	0.2699
V32	0.16427	0.05773	0.02568	0.75232
V33	0.0836	0.49275	0.33821	0.08543
V34	0.17318	0.06136	0.72858	0.03688
V35	0.20722	0.67779	0.08272	0.03227
V36	0.0457	0.07348	0.46244	0.41839
V37	0.57052	0.07726	0.0842	0.26802
V38	0.47578	0	0.1648	0.35942
V39	0.20636	0.54704	0.12354	0.12306
V40	0.14584	0.77567	0.07849	0
V41	0.04155	0.67784	0.04166	0.23896
V42	0.284	0.04743	0.19476	0.47381
V43	0.17105	0.34171	0.46462	0.02261
V44	0.0487	0.10773	0.69745	0.14612
V45	0.13965	0.568	0.212	0.08034
V46	0.79365	0.07389	0.11225	0.0202
V47	0.46942	0.19271	0.28932	0.04855
V48	0.79767	0.15653	0	0.0458
V49	0.73323	0.17031	0	0.09646
V50	0.11859	0.7884	0.08971	0.0033
V51	0.34456	0.38945	0.24212	0.02387
V52	0.06388	0.13805	0.75863	0.03944
V53	0.7398	0.12051	0.13969	0
V54	0.44792	0.19617	0.3373	0.01862
V55	0.26201	0.14995	0.22418	0.36385
V56	0.12409	0.04126	0.08051	0.75415
V57	0.14763	0.80789	0.02079	0.0237
V58	0.67214	0.00802	0.02755	0.29229
V59	0.45873	0.39299	0.0986	0.04968
V60	0.17783	0.17922	0.3077	0.33525
V61	0.79732	0.10073	0	0.10195
V62	0.85716	0.03806	0.05979	0.04499
V63	0.06113	0.7845	0.12556	0.0288
V64	0.05417	0.82567	0	0.12015
V65	0.08544	0.0069	0.11263	0.79502
V66	0.25995	0.65879	0.01385	0.06741
V67	0.19335	0.3308	0.47267	0.00319
V68	0.22727	0.17515	0	0.59759
V69	0.06243	0.32195	0.57207	0.04355
V70	0.55522	0.15575	0.16638	0.12266
V71	0.21296	0.09518	0.35679	0.33507
V72	0.58965	0.16075	0.08384	0.16576
V73	0.19454	0.5886	0.13548	0.08138
V74	0.09554	0.23377	0.67069	0
V75	0.71388	0	0.18224	0.10388
V76	0.02764	0.21589	0.17301	0.58346
V77	0.09023	0.31446	0	0.59531
V78	0.35269	0.13259	0.17138	0.34333
V79	0.03966	0.12978	0.74764	0.08293
V80	0.38601	0.03383	0.49823	0.08192
V81	0.101	0.18258	0.71642	0
V82	0.0229	0.10329	0.84774	0.02607
V83	0.19737	0.207	0.05679	0.53884
V84	0.44149	0.05745	0.15083	0.35024
V85	0.14651	0.3279	0.3763	0.14929
V86	0.0886	0.07988	0.78273	0.04879
V87	0.07996	0.79235	0.05852	0.06916
V88	0.22261	0.08338	0.2552	0.43882
V89	0.08358	0.04681	0.1906	0.67902
V90	0.07769	0.83493	0.06209	0.02528
V91	0.07836	0.70262	0.18714	0.03188
V92	0.48488	0.03255	0.35449	0.12808
V93	0.87007	0.01156	0	0.11837
V94	0.06119	0.47879	0.0028	0.45723
V95	0.29349	0.426	0.14649	0.13402
V96	0.15023	0.13803	0.00507	0.70666
V97	0.68944	0.10625	0.19079	0.01352
V98	0.69846	0.27009	0	0.03145
V99	0.79146	0.04919	0.13646	0.02288
V100	0.12218	0.05556	0.78843	0.03383
V101	0.10449	0.08669	0	0.80881
V102	0.89226	0.05339	0	0.05435
V103	0.06937	0.08607	0.0813	0.76326
V104	0.08811	0.88394	0.00411	0.02385
V105	0.11218	0.8582	0.01316	0.01646
V106	0.16067	0.50047	0.30607	0.03279
V107	0.22439	0.21526	0.5171	0.04325
V108	0.19621	0.71034	0.09345	0
V109	0.04705	0.19121	0.5605	0.20123
V110	0.10641	0.81884	0.04099	0.03376
V111	0.89358	0	0.06678	0.03964
V112	0.17795	0.0892	0.4079	0.32495
V113	0.24713	0.13104	0.16524	0.45659
V114	0.31314	0.06711	0.06952	0.55023
V115	0.04959	0.71609	0.22447	0.00985
V116	0.17976	0.32484	0.34541	0.14999
V117	0.67937	0.23995	0.02714	0.05355
V118	0.20867	0.57072	0.02483	0.19578
V119	0.18901	0.11111	0.03436	0.66552
V120	0.12281	0.09831	0.75982	0.01906
V121	0.6104	0.13214	0.08326	0.17421
V122	0.90531	0.01266	0.01701	0.06502
V123	0.04365	0.53912	0.0356	0.38163
V124	0.66735	0.26458	0	0.06807
V125	0.41784	0.39996	0.16389	0.01831
V126	0.10274	0.18707	0.03426	0.67594
V127	0.22403	0.07276	0.24541	0.45779
V128	0.10727	0.046	0.1001	0.74662
V129	0.58828	0.22661	0.14968	0.03542
V130	0.04708	0.62666	0.31717	0.00909
V131	0.07391	0.85056	0	0.07553
V132	0.89322	0.00814	0.03084	0.0678
V133	0.8811	0.02039	0.04763	0.05088
V134	0.15493	0.41163	0.1173	0.31614
V135	0.1486	0.04789	0.17076	0.63275
V136	0.29087	0.40491	0	0.30422
V137	0.65518	0.04157	0.2269	0.07635
V138	0.24999	0.40572	0.16629	0.17801
V139	0.38675	0.21762	0.18022	0.21541
V140	0.09677	0.13126	0.04047	0.73149
V141	0.10387	0.18585	0.50841	0.20187
V142	0.80449	0	0.19551	0
V143	0.46242	0.2667	0.05495	0.21592
V144	0.22236	0.18469	0.15468	0.43827
V145	0.02883	0.73147	0.22651	0.01318
V146	0.14781	0.04292	0.03845	0.77082
V147	0.87905	0.02833	0.01532	0.0773
V148	0.17252	0.10145	0.54198	0.18406
V149	0.29993	0.49248	0.20758	0
V150	0.12672	0.26027	0.54242	0.07058
V151	0.25051	0.60446	0.02828	0.11675
V152	0.2688	0.43474	0.20753	0.08894
V153	0.15627	0.72471	0.01222	0.1068
V154	0.27933	0.44281	0.25463	0.02324
V155	0.49166	0.15286	0.26035	0.09513
V156	0.06932	0.17199	0.64513	0.11356
V157	0.34083	0.17383	0.28837	0.19697
V158	0.10792	0.00124	0.0715	0.81934
V159	0.86062	0.05977	0	0.07961
V160	0.71208	0.0049	0.05834	0.22468
V161	0.28959	0.02615	0.02301	0.66125
V162	0.11763	0.33542	0.06886	0.47809
V163	0.13855	0.49597	0.16151	0.20397
V164	0.3764	0.31594	0.09267	0.21499
V165	0.05953	0.29166	0	0.64881
V166	0.06406	0.14401	0.05846	0.73347
V167	0.42226	0	0	0.57774
