Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.02126	0.03533	0.03698	0.01076	0.13547	0	0.04367	0.00328	0	0.71326
V2	0.60625	0.01657	0.03997	0.01467	0.02806	0.23727	0.04122	0.00777	0.00822	0
V3	0.11052	0.08726	0.07929	0.02367	0.37117	0.02304	0.09478	0.10806	0.07608	0.02613
V4	0	0.12793	0.04461	0.00551	0.04309	0.06485	0.05041	0.02178	0.49618	0.14563
V5	0.0039	0.13406	0.0426	0.08442	0	0.06534	0.05397	0.00279	0	0.61292
V6	0.01744	0.11899	0.14655	0.03889	0.52025	0.02489	0	0.04539	0.06957	0.01803
V7	0	0.55338	0	0.00711	0.19569	0.013	0.08588	0.04736	0.09757	0
V8	0	0.57261	0.02476	0.01058	0	0.02638	0.06276	0.19182	0.11108	0
V9	0.00798	9e-05	0.08807	0.12362	0.03699	0.05485	0.24174	0.35715	0.08757	0.00193
V10	0	0.13129	0	0	0.5884	0.06979	0.01397	0.10625	0.07818	0.01212
V11	0	0.56652	0	0.00294	0	0.04776	0.06554	0.17626	0.14097	0
V12	0.0187	0.02186	0.1918	0.4641	0.02527	0.00866	0.08215	0.01066	0.03119	0.14562
V13	0.08107	0.00991	0.12322	0.02335	0.0687	0.1345	0.3985	0.02253	0.13387	0.00436
V14	0.06736	0.4544	0.12133	0.07136	0.00795	0.04958	0.14126	0.00736	0.0794	0
V15	0.24032	0.00365	0.16139	0.51045	0.01406	0.0186	0.00341	0.0107	0.03742	0
V16	0.02067	0.06318	0.21717	0.50613	0.02529	0.03503	0	0.00179	0.12585	0.0049
V17	0.02207	0.15469	0.01371	0.01164	0	0.07606	0.08723	0.00955	0.01324	0.6118
V18	0.07111	0.07529	0.08695	0.29428	0	0.00569	0.01865	0.00228	0.00606	0.43968
V19	0	0	0.02181	0.07053	0	0.07985	0.04819	0.01218	0	0.76744
V20	0	0.20893	0.03624	0.01509	0.02376	0.04391	0.50076	0.04481	0.05804	0.06846
V21	0.08354	0.44837	0.01258	0.00869	0	0.28703	0.0631	0.02211	0.07458	0
V22	0.00262	0	0.00926	0.00391	0	0.0251	0.07322	0.22294	0.04678	0.61617
V23	0.28876	0.03713	0.44881	0.0841	0.00294	0.00102	0	0.00219	0.02079	0.11426
V24	0.01151	0.61427	0.03402	0.00968	0	0.0034	0.11315	0.04738	0.16658	0
V25	0.02106	0.14495	0.0353	0.02751	0.04942	0.11184	0.06651	0.00475	0.15844	0.38023
V26	0.01076	0.0092	0.05193	0.01356	0.01461	0.06018	0.10401	0.64366	0.09211	0
V27	0.00404	0.08725	0	0.00409	0.33806	0.00132	0.04236	0	0.02274	0.50014
V28	0.27649	0	0.02404	0.00734	0	0.02034	0.05698	0.02773	0	0.58709
V29	0	0.7039	0	0.01177	0	0.08502	0.06243	0.00766	0.09651	0.03272
V30	0.00014	0.02391	0.10695	0.02798	0.04889	0.25968	0.2852	0.01666	0.2306	0
V31	0.01498	0.38162	0.16477	0.03242	0.03433	0.01573	0.04452	0.21593	0.0957	0
V32	0.45755	0.05627	0.03936	0.01145	0.24319	0.03623	0.02946	0.00191	0.11264	0.01194
V33	0.04368	0.00718	0.23221	0.45458	0.02611	0.01599	0.16985	0.00736	0.04062	0.00242
V34	0.00544	0.07597	0.00812	0.00441	0.17851	0.00078	0.04432	0.01474	0.04492	0.62277
V35	0	0.82395	0	0	0	0.00222	0.06512	0.00306	0.10565	0
V36	0.03938	0	0.0568	0.01145	0.07088	0.05879	0.67191	0.04264	0.04591	0.00224
V37	0	0.53844	0.01206	0.00644	0.00468	0.01748	0.30121	0.02383	0.09586	0
V38	0.10968	0	0.09375	0.1532	0.04669	0.03824	0.4978	0.01872	0.04139	0.00054
V39	0.06774	0	0.09588	0.14917	0.07519	0.03818	0.48739	0.0297	0.04497	0.01177
V40	0.14541	0.04177	0.55317	0.1018	0.09924	0	0	0	0.03484	0.02378
V41	0.5651	0.07997	0.06962	0.01466	0.02208	0	0.01462	0.01078	0.22318	0
V42	0	0.65745	0	0	0.19733	0	0.02956	0	0.10498	0.01068
V43	0.12007	0.04681	0.11484	0.08511	0.18835	0.04807	0.20998	0.02671	0.16006	0
V44	0.05317	0.01484	0.46232	0.08649	0.01139	0.021	0.02466	0.25743	0.06374	0.00496
V45	0	0.03032	0.06369	0.01507	0.05892	0.01751	0.27705	0.01687	0.4884	0.03219
V46	0.17266	0.10502	0.08462	0.22913	0	0	0.0136	0.01292	0.01292	0.36912
V47	0	0	0.05973	0.01163	0.0524	0.06355	0.72683	0.02635	0.04406	0.01546
