CD19B	CD56NK	CD4MemoryT	CD14
V1	0.40566	0.07935	0.18208	0.33291
V2	0.15621	0.12649	0.11646	0.60084
V3	0.09856	0.45643	0.0992	0.34582
V4	0.62723	0.14029	0.07798	0.15451
V5	0.13812	0.3803	0.24163	0.23995
V6	0.1087	0.63271	0.11464	0.14396
V7	0.15271	0.29638	0.13831	0.4126
V8	0.1738	0.10603	0.57439	0.14578
V9	0.20618	0.21994	0.10715	0.46673
V10	0.10354	0.11203	0.62676	0.15767
V11	0.2058	0.31783	0.3493	0.12706
V12	0.08879	0.46197	0.31661	0.13262
V13	0.22836	0.52796	0.09804	0.14564
V14	0.10168	0.66197	0.10541	0.13094
V15	0.13969	0.45088	0.16889	0.24054
V16	0.65459	0.09046	0.09348	0.16146
V17	0.11491	0.63244	0.10888	0.14377
V18	0.42313	0.30129	0.11453	0.16105
V19	0.16044	0.60081	0.10124	0.13751
V20	0.16212	0.35765	0.10242	0.37781
V21	0.17163	0.12994	0.55244	0.14599
V22	0.08976	0.13543	0.19979	0.57503
V23	0.32356	0.11252	0.43364	0.13028
V24	0.68531	0.0793	0.09849	0.1369
V25	0.27021	0.22793	0.16258	0.33928
V26	0.2977	0.32228	0.09718	0.28285
V27	0.12958	0.1048	0.09753	0.66809
V28	0.09519	0.11948	0.66912	0.1162
V29	0.35791	0.10241	0.38897	0.15072
V30	0.1354	0.21573	0.24321	0.40566
V31	0.19361	0.20642	0.25604	0.34393
V32	0.11883	0.08995	0.10292	0.6883
V33	0.10179	0.40045	0.30117	0.19659
V34	0.17231	0.11809	0.56343	0.14617
V35	0.16354	0.53557	0.15099	0.1499
V36	0.08955	0.11192	0.35045	0.44808
V37	0.39397	0.11916	0.13897	0.3479
V38	0.32533	0.07725	0.18222	0.4152
V39	0.1662	0.43329	0.17416	0.22635
V40	0.12347	0.60487	0.14843	0.12324
V41	0.06829	0.49121	0.12407	0.31642
V42	0.20516	0.09877	0.20221	0.49386
V43	0.1609	0.30706	0.38647	0.14557
V44	0.09893	0.1415	0.51508	0.24449
V45	0.12997	0.45311	0.22736	0.18955
V46	0.58361	0.11661	0.16132	0.13847
V47	0.35091	0.20546	0.27737	0.16626
V48	0.5835	0.17845	0.08587	0.15218
V49	0.52901	0.19071	0.08044	0.19984
V50	0.10462	0.61081	0.15523	0.12933
V51	0.26169	0.34204	0.24575	0.15052
V52	0.10698	0.16655	0.58324	0.14323
V53	0.53793	0.15169	0.17992	0.13046
V54	0.33784	0.20872	0.30901	0.14443
V55	0.19933	0.16245	0.22332	0.4149
V56	0.10368	0.08629	0.13198	0.67805
V57	0.12116	0.62745	0.11449	0.1369
V58	0.45611	0.07168	0.10528	0.36694
V59	0.33183	0.34365	0.15746	0.16706
V60	0.15674	0.18085	0.27023	0.39218
V61	0.57591	0.1354	0.08744	0.20125
V62	0.63864	0.08765	0.12616	0.14755
V63	0.07591	0.6053	0.17721	0.14159
V64	0.06571	0.61255	0.09704	0.22469
V65	0.08737	0.08214	0.13772	0.69277
V66	0.19447	0.51811	0.10988	0.17754
V67	0.17388	0.30009	0.39358	0.13246
V68	0.16102	0.16153	0.10018	0.57726
V69	0.09757	0.29315	0.45238	0.15691
V70	0.40253	0.17639	0.19606	0.22502
V71	0.17783	0.12969	0.29915	0.39333
V72	0.41812	0.17771	0.14156	0.2626
V73	0.16071	0.46753	0.1819	0.18986
V74	0.1217	0.23546	0.52524	0.1176
V75	0.52018	0.07161	0.20351	0.2047
V76	0.07672	0.18412	0.1891	0.55006
V77	0.09446	0.24709	0.09166	0.56679
V78	0.25224	0.15202	0.19375	0.40199
V79	0.09411	0.15748	0.56316	0.18526
V80	0.30271	0.09877	0.40693	0.19159
V81	0.12384	0.19672	0.55572	0.12371
V82	0.09317	0.13808	0.64579	0.12296
V83	0.14978	0.18402	0.13122	0.53498
V84	0.30519	0.10656	0.17922	0.40902
V85	0.14445	0.28936	0.31945	0.24674
V86	0.12176	0.12905	0.5983	0.15089
V87	0.08591	0.60171	0.13609	0.17629
V88	0.17493	0.11988	0.23809	0.4671
V89	0.09199	0.09058	0.19755	0.61989
V90	0.07974	0.64517	0.13893	0.13616
V91	0.09038	0.54839	0.2136	0.14764
V92	0.36147	0.09718	0.31188	0.22946
V93	0.63644	0.07293	0.07509	0.21554
V94	0.07915	0.34601	0.10244	0.47241
V95	0.22268	0.35402	0.18855	0.23475
V96	0.1174	0.13327	0.1016	0.64773
V97	0.50775	0.14384	0.21315	0.13525
V98	0.50759	0.26693	0.0823	0.14319
V99	0.58463	0.10062	0.17654	0.13821
V100	0.13994	0.11699	0.60554	0.13754
V101	0.08792	0.09144	0.0913	0.72934
V102	0.67251	0.09564	0.08306	0.14878
V103	0.08643	0.10317	0.137	0.6734
V104	0.07766	0.68458	0.10679	0.13097
V105	0.09532	0.66217	0.11175	0.13077
V106	0.14766	0.4135	0.28539	0.15345
V107	0.19853	0.22121	0.42021	0.16004
V108	0.15634	0.56113	0.15955	0.12298
V109	0.0923	0.19383	0.42507	0.28879
V110	0.09671	0.63298	0.1267	0.14361
V111	0.66786	0.06631	0.12398	0.14185
V112	0.16026	0.12881	0.32667	0.38426
V113	0.18358	0.14611	0.18925	0.48107
V114	0.21461	0.10504	0.13264	0.54771
V115	0.07372	0.56267	0.23642	0.12719
V116	0.16311	0.28769	0.30137	0.24782
V117	0.49207	0.23714	0.1073	0.16349
V118	0.16185	0.43742	0.11516	0.28558
V119	0.13963	0.1218	0.11685	0.62172
V120	0.13894	0.14061	0.58935	0.13109
V121	0.43201	0.15814	0.1404	0.26944
V122	0.6975	0.06659	0.08635	0.14956
V123	0.07081	0.38826	0.12096	0.41997
V124	0.48131	0.26197	0.08033	0.17639
V125	0.30526	0.34877	0.2007	0.14526
V126	0.0987	0.16318	0.11802	0.6201
V127	0.174	0.11345	0.23236	0.48019
V128	0.09694	0.08803	0.14704	0.66798
V129	0.43085	0.22721	0.18828	0.15366
V130	0.07599	0.5044	0.29337	0.12624
V131	0.07832	0.63991	0.09843	0.18334
V132	0.67992	0.06757	0.09724	0.15527
V133	0.6626	0.07567	0.11351	0.14821
V134	0.13599	0.32019	0.16686	0.37696
V135	0.12578	0.09248	0.1887	0.59304
V136	0.20973	0.32431	0.09377	0.37218
V137	0.483	0.10132	0.23305	0.18264
V138	0.19564	0.33472	0.19868	0.27097
V139	0.27992	0.21138	0.20514	0.30355
V140	0.09495	0.12945	0.118	0.6576
V141	0.12298	0.19257	0.39407	0.29038
V142	0.58693	0.07243	0.20891	0.13173
V143	0.32257	0.24367	0.12869	0.30507
V144	0.17124	0.17689	0.185	0.46687
V145	0.06809	0.56771	0.2371	0.1271
V146	0.10842	0.08603	0.10312	0.70243
V147	0.66055	0.07941	0.09221	0.16783
V148	0.16442	0.1418	0.41774	0.27604
V149	0.23126	0.41265	0.22607	0.13002
V150	0.13786	0.25052	0.43167	0.17996
V151	0.188	0.47377	0.11699	0.22124
V152	0.21141	0.36568	0.22361	0.19931
V153	0.12878	0.54792	0.11051	0.2128
V154	0.22025	0.3772	0.25362	0.14893
V155	0.36375	0.17718	0.25723	0.20184
V156	0.10854	0.18679	0.48977	0.2149
V157	0.25884	0.18594	0.26827	0.28695
V158	0.08796	0.08172	0.10135	0.72898
V159	0.64015	0.10811	0.07741	0.17434
V160	0.49506	0.07264	0.11989	0.31241
V161	0.19274	0.08123	0.10378	0.62225
V162	0.11224	0.26076	0.13811	0.48888
V163	0.1286	0.38502	0.19489	0.2915
V164	0.26901	0.2748	0.1531	0.30309
V165	0.07848	0.23352	0.0868	0.6012
V166	0.0842	0.13524	0.12922	0.65135
V167	0.27159	0.07378	0.08476	0.56987
V168	0.2393	0.44317	0.14697	0.17056
V169	0.18094	0.11025	0.1082	0.60061
V170	0.14986	0.106	0.38169	0.36245
V171	0.16485	0.24926	0.43342	0.15247
V172	0.53734	0.07654	0.24932	0.1368
V173	0.093	0.16276	0.11363	0.63061
V174	0.08725	0.17625	0.13366	0.60285
V175	0.13306	0.10431	0.54786	0.21477
V176	0.07128	0.59652	0.20388	0.12831
V177	0.0654	0.69483	0.10226	0.13752
V178	0.06565	0.55361	0.09887	0.28188
V179	0.17816	0.09388	0.30119	0.42678
V180	0.08066	0.64559	0.15067	0.12308
V181	0.18206	0.17883	0.39855	0.24056
V182	0.26476	0.20802	0.35792	0.16929
V183	0.17268	0.59374	0.10225	0.13133
V184	0.71858	0.06096	0.08205	0.13841
V185	0.42646	0.34409	0.09398	0.13547
V186	0.14439	0.38867	0.24809	0.21886
