CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.0854	0.0269	0.73429	0.03157	0.07043	0.05141
V2	0.35129	0.11545	0.10554	0.13327	0.20807	0.08639
V3	0.20795	0.06438	0.28371	0.02858	0.1119	0.30348
V4	0.17081	0.3426	0.09257	0.11792	0.19455	0.08155
V5	0.04698	0.0448	0.04175	0.49706	0.34418	0.02522
V6	0.19997	0.0256	0.22961	0.07146	0.24882	0.22454
V7	0.07317	0.28245	0.05859	0.07344	0.47463	0.03772
V8	0.43456	0.0614	0.1237	0.14374	0.11836	0.11825
V9	0.21001	0.14655	0.08726	0.25975	0.14915	0.14728
V10	0.28133	0.04623	0.12761	0.31933	0.14561	0.07989
V11	0.10347	0.56344	0.10331	0.06551	0.12626	0.03801
V12	0.23774	0.03475	0.1693	0.03734	0.12414	0.39673
V13	0.08947	0.39662	0.30607	0.06243	0.10416	0.04125
V14	0.07237	0.03002	0.06092	0.66487	0.14064	0.03118
V15	0.30122	0.07666	0.08842	0.14791	0.29164	0.09414
V16	0.07886	0.01758	0.05727	0.35815	0.40623	0.0819
V17	0.21492	0.04621	0.24479	0.02695	0.1091	0.35802
V18	0.44854	0.14233	0.13143	0.06335	0.10818	0.10617
V19	0.35949	0.06434	0.24842	0.04909	0.18336	0.0953
V20	0.38261	0.07354	0.177	0.14048	0.11419	0.11218
V21	0.23799	0.04482	0.13112	0.04086	0.16308	0.38214
V22	0.13648	0.05071	0.0618	0.10866	0.5818	0.06056
V23	0.06806	0.01697	0.30043	0.05779	0.51877	0.03797
V24	0.1186	0.01945	0.05111	0.1453	0.60513	0.0604
V25	0.28384	0.2349	0.09524	0.15898	0.15135	0.07569
V26	0.18283	0.02588	0.06744	0.05932	0.60851	0.05602
V27	0.1977	0.0258	0.26828	0.03509	0.11593	0.35719
V28	0.11447	0.20963	0.20092	0.22618	0.1388	0.10999
V29	0.09782	0.44923	0.16016	0.10452	0.10821	0.08006
V30	0.17999	0.17155	0.16885	0.0463	0.30077	0.13253
V31	0.40752	0.04261	0.26591	0.06291	0.09807	0.12298
V32	0.04612	0.02745	0.31932	0.45379	0.10672	0.0466
V33	0.1753	0.32411	0.26809	0.0622	0.09955	0.07075
V34	0.03352	0.00887	0.43438	0.06031	0.4227	0.04021
V35	0.0473	0.05471	0.18952	0.44655	0.22023	0.04169
V36	0.10034	0.35935	0.16118	0.06139	0.27153	0.04621
V37	0.06866	0.02241	0.69689	0.0359	0.07414	0.10199
V38	0.21841	0.0173	0.24275	0.02564	0.11	0.3859
V39	0.34926	0.05378	0.1035	0.27729	0.12257	0.0936
V40	0.09512	0.36867	0.08491	0.16882	0.21489	0.06759
V41	0.44849	0.04489	0.14486	0.04731	0.11817	0.19627
V42	0.18165	0.03147	0.51998	0.03468	0.12549	0.10673
V43	0.15813	0.3043	0.0844	0.07695	0.3044	0.07182
V44	0.10882	0.5737	0.10064	0.05996	0.11388	0.04301
V45	0.27541	0.26772	0.14191	0.06496	0.12404	0.12596
V46	0.0983	0.01668	0.0742	0.26441	0.40966	0.13674
V47	0.09117	0.30602	0.07176	0.16427	0.30888	0.0579
V48	0.07874	0.44323	0.21893	0.05315	0.17133	0.03462
V49	0.10101	0.53757	0.09375	0.05973	0.17039	0.03755
V50	0.0485	0.00606	0.24938	0.05763	0.57823	0.06019
V51	0.03842	0.00453	0.03692	0.07042	0.81596	0.03375
V52	0.07942	0.40558	0.26858	0.07729	0.12788	0.04126
V53	0.11157	0.01202	0.11696	0.07903	0.63711	0.0433
V54	0.0808	0.10717	0.50767	0.07604	0.15573	0.0726
V55	0.03869	0.03351	0.12473	0.0793	0.6901	0.03367
V56	0.03189	0.04362	0.64991	0.13015	0.10952	0.0349
V57	0.1606	0.28176	0.12304	0.04576	0.22599	0.16285
V58	0.04066	0.02287	0.75887	0.04641	0.07095	0.06024
V59	0.06194	0.02233	0.04684	0.67732	0.16492	0.02665
V60	0.29612	0.0326	0.09128	0.38252	0.12503	0.07245
V61	0.23999	0.11947	0.10309	0.18293	0.17311	0.18142
V62	0.31841	0.04977	0.1574	0.1479	0.19406	0.13245
