,"Neutrophils","Monocytes_CD14.CD16.","Macrophage","T_cells_.CD4..","NK_cells"
"A1BG",74.5099981749,130.2367826633,71.4798214756,74.7247684798,97.6355227471
"A2M",17.5312501478,23.352365893,3869.2178691701,23.6908384873,11.9528862695
"AAAS",198.8408643568,215.3331813778,130.7306569016,170.0528252887,65.8121601967
"AACS",99.0683015412,78.1211394466,103.094684626,107.7972779261,158.8244119979
"AAGAB",120.6864942481,86.8653498433,58.9180737286,70.7108254994,190.7324159299
"AAK1",135.2153114524,70.6151679278,43.9131477594,104.0621517989,64.1032335216
"AAMP",183.0323725969,354.232226914,253.4827551102,246.2032511644,242.2386916707
"AARS",125.6640546871,223.2191287264,358.6799624553,341.3994404119,98.8453437609
"AARS2",94.4696977349,78.2141548686,73.3272785608,84.7705273278,89.1173415148
"AARSD1",39.4601417575,97.6939237383,63.774978357,97.082266504,132.7291245068
"AASDH",67.4612990212,274.7643027794,103.5903611998,201.1136232393,234.292083969
"AASDHPPT",173.5405409804,366.6034442784,244.8692201838,274.4576119301,469.0387246294
"AASS",9.4219543857,8.6072884388,7.5962363721,14.5550322765,19.5245015328
"AATF",470.7259708598,405.7354660328,281.2297664136,420.5576516557,296.4800504196
"AATK",263.0607247482,140.0822903728,79.008427395,61.1003769332,119.4104609413
"ABAT",386.7393112548,131.3675148832,142.4346717777,77.5674261557,78.5060458697
"ABCA1",586.6468729249,163.3952332032,813.4709061551,56.0813706524,35.0899624975
"ABCA11P",15.6496773392,14.3647787285,16.8312072031,42.2488188862,16.7179715805
"ABCA13",5.6569938738,5.7413646798,5.5528157287,7.6792616271,5.4651276592
"ABCA2",54.9780755778,35.5883149576,39.3343200943,48.45185098,57.197566991
"ABCA3",116.9048558669,67.1503992764,50.2138451875,67.1939730543,121.6964509151
"ABCA5",123.0027385832,24.0042157167,73.2539796855,183.2054680493,270.3680672946
"ABCA6",9.9389263462,10.4604381567,31.2418212895,8.4232426562,7.81940486
"ABCA7",340.4390114591,146.77521555,60.3615509502,178.9370119133,274.4097953684
"ABCB1",14.0843858465,10.7278734439,13.8181167821,47.0114537719,231.5178804372
"ABCB10",40.3529190595,141.3958364707,213.7060597165,216.0433236219,218.1162942399
"ABCB4",16.9201284068,20.9222644726,53.5199552425,16.2578482254,12.4966922844
"ABCB6",53.9246770019,43.7199406884,51.3943105119,53.6897179274,41.0223567545
"ABCB7",50.9826542407,306.1047267561,192.4106795002,195.4708870015,217.8595847451
"ABCB8",49.5527515975,51.9740863016,42.2580189343,43.0990472759,44.088404821
"ABCB9",76.0761743131,66.7439008757,44.5685270169,55.1688434556,44.5790658654
"ABCC1",90.5753405682,96.6540771589,185.337782867,129.4499953744,59.3364154366
"ABCC10",50.7492287194,117.7870601073,294.7910667898,358.8201071561,239.7157476525
"ABCC2",36.7125736782,18.4798582477,14.5506404968,19.3553639396,21.9940191014
"ABCC3",62.6403756148,128.5149284523,475.1919185108,47.6042643075,47.8154629412
"ABCC4",29.4623635925,25.473201917,85.4086465383,88.9067764975,50.6204145721
"ABCC5",19.8402649127,17.1220050701,19.2272993377,16.0335591866,19.7222491487
"ABCC6",39.4601417575,105.7997408402,46.4752264978,22.2172005249,27.4656321914
"ABCD1",108.9328204257,135.9825616674,196.8980953889,80.5211575427,55.9109532422
"ABCD2",6.0844016933,5.7413646798,5.8218955126,21.424717699,5.2356210547
"ABCD3",21.0110660223,57.9005645658,72.6743034643,63.0970744777,364.6386732153
"ABCD4",74.2779835436,120.3514360481,109.9316867426,157.2164165942,193.0391151447
"ABCE1",33.4067016649,223.8638018016,448.0282566794,458.3559632283,107.9398776871
"ABCF1",288.9747041074,333.9650655835,362.1823409289,543.211985784,630.8203728541
"ABCF2",79.4523500963,76.3532221386,47.5653551518,85.8668369007,86.9126645881
"ABCF3",152.9416150424,118.3778826501,132.2364563007,151.8541907934,302.772542597
"ABCG1",412.2696272761,25.2459173426,189.4843308813,99.3926523547,40.9428796001
"ABCG2",15.4237998977,16.6560731896,361.558124649,15.5999942991,18.091471485
"ABHD1",17.9417283132,19.6085182121,18.0551364999,19.2617045206,16.6192382901
"ABHD10",86.8737948182,248.9666816131,329.6676411463,245.9592596066,172.8463538192
"ABHD11",8.805969081,15.1231822924,19.4292158782,9.0128589664,14.4959906993
"ABHD12",23.2207414257,21.8761980127,211.6780606077,29.7956553927,73.9209283014
"ABHD13",169.52568176,68.7474391825,31.4203940256,50.3233683484,403.402740628
"ABHD14A",52.7001460308,79.6759829461,74.2779835436,211.8381403919,193.8176927839
"ABHD14B",72.5117135344,386.2719817296,203.5905920883,1170.9330847409,296.1810383489
"ABHD15",24.8568122652,56.0813706524,87.8278159352,104.4036487889,303.4576647072
"ABHD2",751.3735215445,299.0212606291,583.7992176374,211.1343253433,385.1191053649
"ABHD3",810.6039590884,341.6552554252,446.1879060862,715.7235797922,304.6349651842
"ABHD4",573.7297729783,282.0356283907,399.6281254575,186.8537339169,194.288826953
"ABHD5",694.5780808431,85.7101329894,49.9630814105,28.1154325887,81.9080114319
"ABHD6",13.3173038743,35.7448303542,91.3188291636,14.5139476782,13.6197084131
"ABHD8",47.7514098751,48.6104249411,51.6488576386,43.2693128669,34.8525039734
"ABI1",806.8049159337,500.4730346654,525.7209940111,809.2235964087,823.9396184431
"ABI2",120.3514360481,88.47002922,118.771911544,101.2667273988,78.6740852242
"ABI3",128.0915572571,265.1028090802,171.3700456668,143.2421872145,167.1337708631
"ABL1",65.0440702929,113.1099876766,184.5502799398,141.5310606401,318.999139919
"ABL2",76.8507564054,63.2617733342,321.3111856619,138.4237711323,113.8035696045
"ABLIM1",115.1041384674,29.4623635925,47.669852656,3129.8014492331,908.4200935078
"ABLIM2",136.6898826333,72.8802049862,55.9334521326,56.0527821243,61.3908105974
"ABLIM3",69.2079566763,51.3834192765,39.1804173745,31.8246005001,29.1056557936
"ABO",39.8303653896,20.1792202191,16.8312072031,17.5028454336,18.5769822784
"ABR",571.0218113011,431.4955645229,966.4926584272,330.3108295149,445.0990223056
"ABT1",303.7417721252,259.0958610576,165.2273980076,272.1293048845,473.3612723133
"ABTB1",1687.0792506283,412.9926136038,161.3385569688,403.1755905928,186.3472720237
"ABTB2",193.1368663581,65.0801247543,48.2626541996,40.3496774392,60.6507619884
"ACAA1",486.7538152203,398.6395682757,372.8634293707,244.2100461599,229.6855406413
"ACAA2",146.11727546,84.1907946781,57.5320884566,46.3387817319,60.4847831809
"ACACA",51.5731035842,97.7560410348,153.0319551313,105.6330869817,120.9104988736
"ACACB",100.8947561885,73.7108364356,49.5931935791,93.8475049096,72.415420362
"ACAD10",118.2777948345,79.7496092316,45.5394541221,60.1908797439,56.0925166016
"ACAD11",40.3529190595,48.4649479462,51.9432150771,125.3497545017,142.8475598376
"ACAD8",111.3686088494,110.8888304243,105.1187113218,156.7723008101,177.1809709308
"ACAD9",43.980486251,148.7907439897,228.6871201031,118.0348371378,75.5227253745
"ACADM",29.2529761653,288.3045666384,877.9190151224,367.9767210904,67.8676015849
"ACADS",128.5490099028,134.6459952829,130.1159065551,104.5530421935,101.0793787583
"ACADSB",32.6496879725,47.3104019107,53.5199552425,166.8485344023,111.5509360447
"ACADVL",543.3956528505,886.9483161924,760.6259845081,579.6232485132,582.3417720288
"ACAP1",448.5807881299,151.0003663604,50.3299959739,1558.4247544236,372.8634293707
"ACAP2",973.4156665134,294.2002062472,162.5926133794,98.1176204552,136.562165506
"ACAP3",124.0590589908,143.5413623881,79.8428753579,208.1879204942,144.688041781
