,"cytotoxic.CD56.dim.NK.cell","memory.CD4.pos.AB.T.cell","memory.B.cell","CD14.pos.CD16.neg.classical.monocyte"
"A1BG",1.0152264083,9.5832849632,9.4017372964,6.9339844134
"A1BG-AS1",0.5044408492,1.288924901,1.8878100877,1.4687528081
"A2M",0.2991224692,0.1353141193,0.0023190476,0.0747419087
"A2M-AS1",3.2570704516,1.5410041008,0.0548087592,0.2031778368
"AAAS",5.0896416304,4.9941657958,5.5382979545,4.3207078806
"AACS",1.5726975368,1.0231998794,0.9614607794,1.0205064537
"AAED1",2.6816702107,3.0760861455,3.9466397747,3.4762762718
"AAGAB",9.5449768214,6.9919688059,6.8430984763,5.1555147693
"AAK1",12.6175881503,16.5521072186,0.1530086634,5.5968762168
"AAMDC",1.4149037954,2.1645578758,0.8418693241,1.6441360261
"AAMP",19.4030141507,14.4987749061,21.8002557143,17.6269307348
"AAR2",5.4273777429,4.9686459823,3.5756496862,4.1405399105
"AARS",8.1691751227,6.4986889902,6.642633186,2.6894734441
"AARS2",1.5452275135,1.5840656778,1.8989712863,1.0297422593
"AARSD1",5.1769309306,7.3041217357,8.664180612,2.7063953128
"AASDH",2.077092741,2.1173521475,2.2647931278,1.6261255525
"AASDHPPT",5.2924433815,4.1062709077,3.0347168684,3.1388163373
"AASS",0.4432888909,0.2708554317,1.0956503238,0.0697152783
"AATF",22.3228474081,20.64148934,24.3222863528,12.2733899385
"AATK",0.7555019817,0.0645373606,0.0280252835,1.3339533437
"ABAT",1.1622082133,0.5635038605,0.9342183796,2.8273433052
"ABCA1",0.0835316479,0.3537574289,3.1854442962,5.2519128638
"ABCA10",0.2533446483,0.3681185891,0.6330929642,0.0855631672
"ABCA2",18.4437197378,7.4403676772,1.7253971626,1.1021312949
"ABCA3",0.929325417,0.703640872,0.2790664899,0.0894660583
"ABCA5",3.057195663,3.8458780308,2.6496413652,0.896140532
"ABCA6",0.1297067636,0.0656692767,0.2893495179,0.6128725398
"ABCA7",9.1136249637,21.0812460976,26.476642598,9.4472982744
"ABCB1",17.7645318395,4.1642194584,0.7696032888,0.0656917257
"ABCB10",3.0240669235,2.6636413797,1.5571380218,3.6675687834
"ABCB4",0.0972462332,0.0009309524,12.1844692908,0.075726149
"ABCB6",0.3962044351,0.2677020303,0.9099247648,0.3909433807
"ABCB7",4.0794849363,5.0214695127,7.8398581147,7.1219627773
"ABCB8",3.6863375195,5.3865224886,7.7461938218,2.2639700836
"ABCB9",0.2886800735,0.5537696744,0.3847110498,0.1365412168
"ABCC1",1.6274127974,6.5135732243,8.365991951,4.7294101144
"ABCC10",4.2462711121,4.7530923651,3.3711724243,2.8354218625
"ABCC2",0.1654813415,0.1930615466,0.203442661,0.1868030999
"ABCC3",0.0215109127,0.0942738976,0.0280252835,2.6492377088
"ABCC4",0.962828098,1.1620739215,1.9246037167,0.7469620887
"ABCC5",2.9891914734,2.8546128413,2.419599989,3.2275425299
"ABCC6",0.0008572562,0.0089104875,0.0202259637,1.6179281518
"ABCD1",1.6676612248,1.040981183,1.705157735,3.9851363599
"ABCD2",0.3460960407,3.8900255651,0.3010437844,0.0189947279
"ABCD3",4.9377905112,3.1351941717,2.3180076242,4.8512700831
"ABCD4",8.4535792915,9.5134175121,8.4883315546,5.86728874
"ABCE1",7.5355991516,11.6280019063,8.9302468943,6.0296817218
"ABCF1",12.8469234288,8.2308173397,7.2920009462,10.7907604236
"ABCF2",5.3734818974,7.8541173253,5.706709542,4.0690776776
"ABCF3",11.1858292706,13.3270840072,10.937224008,8.0204201002
"ABCG1",1.1687426415,3.40020093,3.807947047,1.2278616492
"ABCG2",0.2826603595,0.4126573829,0.0023190476,0.0011285714
"ABHD1",0.1521256702,0.0927299067,0.1425454344,0.0589394581
"ABHD10",3.1582416719,4.6248036511,5.3567469187,4.2698652453
"ABHD11",1.6356862368,1.3156678229,1.2497745438,2.0202810014
