,"CD56NK","CD4MemoryT","CD19B","CD14"
"A1BG",4.1963258666,20.0395831261,16.2804772916,34.083507297
"A1BG-AS1",0.5772831771,1.9926143711,4.0949945834,1.9562279821
"A2M",0.0497341948,0.1117873012,0.0128757653,0.512399213
"A2M-AS1",1.0189685852,0.6228798673,0.10092999,0.2674945473
"AAAS",6.6700898848,7.5135171334,8.7972298406,7.4943371203
"AACS",1.0997952706,1.5990672963,0.9913355733,1.7145058742
"AAED1",5.7966525001,6.5280318434,6.8926987309,7.9674963013
"AAGAB",6.499777313,5.3774174983,4.1835196393,4.5602425429
"AAK1",28.8901676088,20.4687556355,1.2994953074,15.9436336655
"AAMDC",6.1770593128,7.1291926447,2.8537897225,9.8196457417
"AAMP",18.0881942313,17.5821789702,17.845386526,23.8758559415
"AAR2",5.297492843,5.0235356257,3.3943878719,4.7453791928
"AARS",2.9541188748,2.875657282,2.0218536204,2.1876592491
"AARS2",1.1290457244,0.9412413693,1.6403222327,1.0021762946
"AARSD1",4.7959644198,6.9546772241,8.5272572608,5.1316771898
"AASDH",6.1506156352,3.3211466498,4.7616685005,1.7145058742
"AASDHPPT",11.1386287955,8.4345843018,8.121801082,5.669458147
"AASS",0.1271716162,0.230972452,0.6911059514,0.0297460318
"AATF",16.6432904052,18.2701458164,15.0223346295,9.9538550222
"AATK",0.522976005,0.230972452,0.10092999,2.84902521
"ABAT",0.7310061726,1.0182272587,2.561208512,3.2682234953
"ABCA1",0.0056887188,0.2650777673,1.1225610873,1.4643027514
"ABCA10",0.2702524271,0.007570068,0.1641721313,0.0297460318
"ABCA2",4.8222568843,3.442887283,0.811298723,2.6294725218
"ABCA3",0.8662830104,0.9821593245,0.1641721313,0.7664027916
"ABCA5",2.6846119929,1.9483405288,1.8535322143,0.2674945473
"ABCA6",0.0056887188,0.007570068,0.10092999,0.7664027916
"ABCA7",1.9662237871,5.829371032,4.7616685005,15.5544076156
"ABCB1",7.0929941123,1.0576124588,1.8535322143,0.0297460318
"ABCB10",1.1290457244,0.9412413693,0.6519118606,0.7664027916
"ABCB4",0.0497341948,0.007570068,13.0047447357,0.2674945473
"ABCB6",0.0056887188,0.0650554445,0.10092999,0.0297460318
"ABCB7",4.4119807459,4.4062507656,6.8331177123,3.2682234953
"ABCB8",3.4207273682,4.3041958596,3.9426728225,5.1316771898
"ABCB9",0.4130299452,0.855785049,0.4369143989,1.4643027514
"ABCC1",0.7032789673,2.3760414647,1.8057655698,4.3789256445
"ABCC10",2.135588157,4.6237532543,1.8992015584,4.3789256445
"ABCC2",0.2454784529,0.1117873012,0.10092999,0.0297460318
"ABCC3",0.0056887188,0.007570068,0.10092999,2.4100110615
"ABCC4",0.4931824893,0.5077645349,0.3121398583,0.0297460318
"ABCC5",2.4260212697,2.5377213463,2.1255684255,3.9930146778
"ABCC6",0.0056887188,0.007570068,0.0128757653,2.84902521
"ABCD1",1.5612828064,1.6379620871,1.5998010497,8.4185887861
"ABCD2",0.2454784529,0.8979219946,0.1641721313,0.0297460318
"ABCD3",3.9827727828,3.399112267,3.1274497273,1.4643027514
"ABCD4",6.0549506257,5.6077140377,7.2896061325,5.669458147
"ABCE1",7.0349530736,7.2278584608,9.3576554641,1.7145058742
"ABCF1",15.8159249436,11.7037947789,12.0653108405,12.6402331807
"ABCF2",5.2289205605,10.0244380628,6.1238953622,5.4979009055
"ABCF3",4.6202156692,5.0915603945,3.9983833781,8.2521520539
"ABCG1",5.7751055275,6.5280318434,7.8788171618,3.057195663
"ABCG2",0.1619583249,0.007570068,0.0128757653,0.2674945473
"ABHD1",0.3383207005,0.6228798673,0.2684828126,0.2674945473
"ABHD10",1.9662237871,2.419599989,3.8935319224,1.2233866754
"ABHD11",4.104307725,3.7231198936,5.2314269108,4.5602425429
"ABHD12",6.7379825167,5.7135084792,4.1835196393,6.8127221696
"ABHD13",5.1114376087,7.1640834228,6.4271057748,1.4643027514
"ABHD14A",17.306930327,26.0046547604,13.4156323323,6.642633186
"ABHD14B",21.7727237938,46.8600989894,40.9764687551,15.3052881092
"ABHD15",5.6099795293,1.9483405288,2.6902435121,2.6294725218
"ABHD16A",1.3700804512,1.9047413827,1.7611798506,4.7453791928
"ABHD17A",54.6761692379,14.9682406192,6.6929854575,11.9331488313
"ABHD17B",4.080010589,2.1255684255,4.6863325308,1.4643027514
"ABHD17C",0.3892810327,0.2650777673,0.10092999,0.0297460318
"ABHD2",5.9680721823,3.1388163373,1.3395298373,6.4750050696
"ABHD3",10.2621897933,10.688361882,7.0179398421,3.4656125287
"ABHD4",2.5158342994,0.8979219946,0.8544990513,1.9562279821
"ABHD5",3.2439481524,2.1255684255,1.2994953074,3.8185820692
"ABHD6",1.2366821791,0.8175276362,2.4476247401,2.6294725218
"ABHD8",3.0520395424,3.8015607179,3.6493629016,6.4750050696
"ABI1",21.1757925716,16.0692323576,19.077395946,3.6471866545
"ABI2",2.8852942442,3.8694283729,2.3025374168,1.2233866754
"ABI3",59.6384995984,7.26017465,7.0579639961,32.9161714314
"ABL1",2.5158342994,4.0623415356,5.4799043717,3.8185820692
"ABL2",2.2094923014,3.442887283,3.600594161,1.7145058742
"ABLIM1",5.6838490916,10.1776350458,8.9219308128,0.0297460318
"ABLIM2",0.0497341948,0.5077645349,0.3543177464,0.0297460318
"ABLIM3",0.0056887188,0.007570068,0.0128757653,0.0297460318
"ABR",3.2439481524,4.8083575742,2.5208359176,10.0743437465
"ABRACL",42.312181236,58.293033135,17.753354041,28.6961502262
"ABT1",13.686972473,14.0536634874,13.5846225076,6.8127221696
"ABTB1",19.1343094181,18.9363171037,22.5336680363,28.9627359777
"ABTB2",0.0895300889,0.0650554445,0.0128757653,1.4643027514
"ACAA1",15.3158668822,17.6269307348,16.988659924,22.2294735945
"ACAA2",23.0814091436,10.3247846897,6.3538454098,7.4943371203
"ACACA",1.641151201,1.819311822,2.7662405632,1.4643027514
"ACACB",0.3383207005,1.0576124588,0.9461727468,1.0021762946
"ACAD10",1.0189685852,1.9483405288,1.8992015584,2.84902521
"ACAD11",0.3623875008,0.2650777673,0.3121398583,0.512399213
"ACAD8",3.3111012212,3.6182065887,2.6046066827,1.9562279821
"ACAD9",3.0243122466,3.6867732055,2.6500450217,3.9930146778
"ACADM",11.5426289855,10.4891546597,17.8932459056,3.4656125287
"ACADS",7.8944225507,7.8073907513,3.044841496,6.3221377056
"ACADSB",4.001667523,3.3211466498,2.7274226953,1.7145058742
"ACADVL",20.4993277749,17.4448511754,14.6907363456,27.2081443838
"ACAP1",60.3879210503,91.7966287797,77.1880659077,16.5366461987
"ACAP2",13.0550472522,10.8049159576,18.0760960896,19.8668418857
"ACAP3",2.3457289848,5.500690588,3.7711234082,11.6901604695
"ACAT1",8.0084767055,11.4263692943,8.262627151,3.8185820692
"ACAT2",9.843100132,13.600346271,7.3329260015,4.1925555256
"ACBD3",5.0501879996,2.5377213463,7.6205322932,3.6471866545
"ACBD4",2.5651753933,4.7812364634,6.1238953622,3.6471866545
"ACBD5",5.1307264812,1.5990672963,1.6772817122,3.8185820692
"ACCS",0.6507357371,1.0576124588,2.1255684255,4.1925555256
"ACD",11.5663382893,12.9746981031,11.6206247112,7.3194559235
"ACE",0.0056887188,0.9412413693,0.1641721313,0.0297460318
"ACER1",0.0895300889,0.2650777673,0.0128757653,0.0297460318
"ACER2",0.0056887188,0.007570068,0.0128757653,0.0297460318
"ACER3",1.5297304789,1.215081834,1.8057655698,3.9930146778
"ACIN1",11.1239687569,7.7762489259,11.7914632546,14.0063933693
"ACKR3",0.0497341948,0.1117873012,0.0128757653,0.2674945473
"ACLY",3.9440186568,4.6706043117,3.2354831843,6.642633186
"ACO1",1.3485359598,0.9412413693,0.9913355733,1.4643027514
"ACO2",12.316693404,14.7502733283,20.8514769282,10.9521162566
"ACOT1",0.0056887188,0.0650554445,0.10092999,0.0297460318
"ACOT11",0.0497341948,0.1944237269,0.0128757653,0.7664027916
"ACOT13",9.7541553497,9.5715851566,5.1231818197,8.2521520539
"ACOT2",3.3366969227,3.3211466498,2.5208359176,1.0021762946
"ACOT4",2.0747753477,1.4025888478,0.2193784061,0.0297460318
"ACOT7",6.2502782676,2.6861538579,0.6126339627,0.512399213
"ACOT8",10.4576037829,12.4049559478,10.7339495093,10.4801446997
"ACOT9",4.3399016385,4.6237532543,3.3571645776,8.7510808171
"ACOX1",1.6940919667,1.7788516297,1.5998010497,3.4656125287
"ACOX2",0.0056887188,0.007570068,0.0128757653,0.7664027916
"ACOX3",1.4647951267,2.0899344075,2.07140613,1.7145058742
"ACP1",42.8360461715,36.8152023449,45.4923018302,22.6846286107
"ACP2",2.1576137819,2.4594208389,0.8544990513,5.4979009055
"ACP5",4.4398780188,8.1398689699,15.8335178282,10.4801446997
"ACP6",1.2651352089,4.0623415356,0.899852947,1.2233866754
"ACPP",0.0056887188,0.007570068,0.0128757653,4.3789256445
"ACRBP",0.1619583249,0.1944237269,0.6519118606,3.6471866545
"ACRC",0.6264749354,0.5469419128,0.4852019726,0.0297460318
"ACSF2",1.3941679356,1.4756912355,2.8958783161,2.1876592491
"ACSF3",5.5409670021,7.9606120622,8.8406091175,9.511415282
"ACSL1",0.5527562391,0.5077645349,0.4852019726,1.9562279821
"ACSL3",5.7751055275,2.800723154,3.6984284072,1.2233866754
"ACSL4",1.7200031856,1.0977002105,1.3776303137,1.4643027514
"ACSL5",4.888772147,4.0623415356,4.2586260159,3.057195663
"ACSL6",0.0895300889,4.8677017931,0.0128757653,0.0297460318
"ACSM3",1.2930764032,1.7788516297,0.8544990513,0.512399213
"ACSM5",0.0056887188,0.007570068,0.0128757653,0.2674945473
"ACSS1",10.3118298745,8.1881631558,11.9345912026,7.9674963013
"ACSS2",0.522976005,3.1388163373,1.2994953074,10.3461953665
"ACTA2",2.8193117519,2.493944246,0.2684828126,3.2682234953
"ACTA2-AS1",0.0895300889,0.007570068,0.0128757653,0.0297460318
"ACTB",2058.5202715483,505.9055396985,385.0258123735,792.6116745015
"ACTG1",313.1715096457,254.9922951768,152.0559410575,160.2821075044
"ACTL10",1.7972634798,1.8612267907,0.9461727468,1.0021762946
"ACTL6A",4.658215517,6.4471511086,2.9989109281,1.4643027514
"ACTN1",0.7032789673,8.6582604935,0.2193784061,9.6701396512
"ACTN1-AS1",0.0056887188,0.0650554445,0.0128757653,0.2674945473
"ACTN4",20.4774919658,11.5426289855,6.7338079467,17.3198777343
"ACTR10",18.8860547405,15.1568315872,12.7538113146,4.9398923819
"ACTR1A",13.6407834185,11.0378882878,8.262627151,17.1713304227
"ACTR1B",13.7492835368,20.398655535,18.7273650458,6.8127221696
"ACTR2",25.2753924967,18.7601348276,26.9170905984,16.0855329928
"ACTR3",65.7555468496,44.9532845446,49.7657644658,11.9331488313
"ACTR3B",1.0997952706,1.5990672963,2.1255684255,0.512399213
