,"CD14.pos.CD16.neg.classical.monocyte","mature.neutrophil","memory.B.cell","cytotoxic.CD56.dim.NK.cell","memory.CD4.pos.AB.T.cell","macrophage"
"A1BG",40.7954137476,20.2082608548,46.0735798762,23.0273504238,46.4499395993,45.7925330694
"A2M",15.1043256606,9.0945236109,10.7024252265,18.6014342109,16.5057781932,198.3783063619
"AAAS",34.3181318265,31.6126052871,37.5799665714,36.432676319,36.1966257592,37.931162417
"AACS",22.9920118143,24.4222698143,22.8072106344,25.3269264687,23.0353663844,23.3094280279
"AAGAB",36.4647572612,35.705406385,40.6908353218,46.3275752333,41.0556332612,37.0792408361
"AAK1",37.6328451231,41.1428526218,16.8877575405,51.8848925129,58.0319880884,34.9146646626
"AAMP",59.474267466,35.5762251143,65.4432771966,62.152778519,54.9122821082,55.044661098
"AARS",29.381499717,21.1595998517,40.2226555799,43.5434991517,39.9161441605,82.6303683
"AARS2",23.0457593531,19.7841658537,26.7544244449,25.2298039191,25.421402768,22.9695233701
"AARSD1",29.4486746422,18.5834241878,44.6313759415,36.6554299708,41.7117719435,30.0021425864
"AASDH",25.5294199068,25.6598965469,28.0847332626,27.2639338061,27.4443229327,24.4501968204
"AASDHPPT",30.860911734,30.5675670878,30.6832918922,36.959383432,33.8040890939,34.7837341388
"AASS",14.9693331973,13.4430202721,23.4860362558,19.7539118585,18.2852412585,12.0168576963
"AATF",51.3649322517,54.305317364,68.7667842415,66.0541797279,63.8045273041,43.520317734
"AATK",24.3762037252,61.2698265129,13.6696073296,21.7228055687,15.046937199,17.5118088592
"ABAT",29.8582742517,43.1256953395,22.6686502282,23.7008921398,20.5323031871,22.1654123
"ABCA1",36.7239953952,58.1836528068,31.1487978864,15.6164341252,19.0819534912,63.7066836871
"ABCA11P",13.839743085,21.2538641891,23.3451098129,19.2311072674,20.7569452245,16.5106518401
"ABCA13",14.9270711204,30.8960492286,10.7024252265,11.9719876456,9.8896265476,11.3850426711
"ABCA2",23.3787809878,43.0149713619,26.100382798,60.7465566605,42.0097545109,23.3362765898
"ABCA3",15.4595081837,13.676863198,18.420883766,22.6319863524,21.3924261708,18.3351157075
"ABCA5",22.3176564157,36.815009866,29.4368547463,30.6500935415,33.0927449782,27.0918606932
"ABCA6",20.775661515,18.2271439857,18.5240675585,16.5133047109,15.0849827248,19.3642947571
"ABCA7",46.1838179912,84.8312243878,71.4035779231,45.4750154007,64.3942136728,28.0967810327
"ABCB1",14.879206783,14.2296186068,21.8332305048,59.7567898619,33.9690778905,14.3086062354
"ABCB10",32.4819922306,23.3868141027,25.4032453398,30.549575268,29.3472347218,37.3294391694
"ABCB4",15.123784315,9.0945236109,51.2401133037,15.9193783078,9.8896265476,21.4043669517
"ABCB6",19.1865940639,24.0589499354,22.5481904408,19.3900182925,18.2440620408,17.9224180959
"ABCB7",41.2277602442,24.3417120197,42.9328750299,33.7162457599,36.2794739476,37.6106697728
"ABCB8",27.9378768231,24.0370245286,42.7181799986,32.5837986463,37.2038234395,40.772746032
"ABCB9",16.3771374973,19.0034542612,19.3446197918,18.4976666558,20.4669000803,24.3688400646
"ABCC1",35.3799289068,33.5975307102,44.0253383095,25.5503577054,39.956074034,36.7483786463
"ABCC10",29.8913976803,27.4796520776,31.7497760878,34.1870502708,35.580849732,29.1632197211
"ABCC2",17.1191681871,28.0907676503,17.5656625857,17.0740873524,17.3482264565,13.1055963327
"ABCC3",29.2672510932,15.0797644061,13.6696073296,13.2863789524,15.7530771306,41.0689561395
"ABCC4",21.5497893088,14.7653731408,26.8558061878,22.7892849701,23.6985131265,19.9620196898
"ABCC5",31.1281819946,48.645605851,28.6294811558,30.4521501088,30.0115263143,40.6701215578
"ABCC6",25.5028016361,25.3785871435,13.1182354864,9.6822386262,12.2561256082,19.1598407245
"ABCD1",33.4048923912,34.214979234,26.0115775078,25.7180751864,23.1188588415,43.5629449197
"ABCD2",12.7556973782,11.6631923238,18.6258803813,19.0270988238,33.2149258796,12.4734687109
"ABCD3",35.6953873816,27.1654715952,28.2770415384,36.0317453932,30.9183810469,39.7952289231
"ABCD4",38.2780962946,33.7136249687,44.2669197255,44.1059031871,46.3120173245,39.6828311619
"ABCE1",38.696160949,18.6433798313,45.1649721663,42.182578981,50.1857751646,48.9703203626
"ABCF1",48.7163599476,36.4702031714,41.6875680279,52.2730022674,43.7041793674,42.9803135211
"ABCF2",33.6334226905,24.715647517,37.9731352833,37.1767036653,42.928986732,32.7955874503
"ABCF3",43.1593118674,47.2125756503,48.9345489422,49.4098806048,53.1453333354,44.4410962211
"ABCG1",23.9318249,48.7655602728,33.0326289044,23.7320595755,31.7794741789,34.5050643197
"ABCG2",10.1377828497,13.1943058327,10.7024252265,18.4395164878,19.5156238299,27.2268748347
"ABHD1",14.6491220225,17.6272815361,16.7223984061,16.8576674306,15.7440575197,13.174735451
"ABHD10",34.2095814599,25.3186951524,37.1392128857,30.9653978306,35.2490339184,46.6474304231
"ABHD11",27.0538565986,35.3104370837,24.155164031,25.5770430646,24.3546446755,24.953857532
"ABHD12",37.0153181721,24.0681086558,31.4935284116,39.3859446646,35.127527383,72.2136490755
"ABHD13",36.3917174218,43.6244817762,34.9339595075,34.0379003558,40.5237785129,28.8613906116
"ABHD14A",21.6303407415,12.661828,31.0599576092,36.9722901279,36.9922072544,22.0753244218
"ABHD14B",35.0272223762,17.3671069592,62.7143057265,43.3166056259,58.9717691333,43.5370721388
"ABHD15",24.6845552878,15.0722815912,37.0014448537,42.3902481374,28.9334459823,26.4710903483
"ABHD2",60.2516811687,120.153131117,28.8170497163,59.0726499265,34.9271327,64.7803137245
"ABHD3",44.8914825905,79.7772818524,33.470292433,42.0230160225,45.0375244803,37.8802222075
"ABHD4",23.9683343014,47.937682915,23.5453733816,27.3900994041,22.5017969789,31.7947813701
"ABHD5",47.9002909136,111.3258862034,20.658108383,27.1952888306,23.6315168986,39.9929338007
"ABHD6",25.4945318395,18.6726063156,28.4211560041,24.132387364,20.8627327854,35.742296632
"ABHD8",26.6644759816,26.2620438027,22.1485253565,23.9991620993,22.4132414939,31.886801015
"ABI1",55.1929372619,63.8045273041,60.2516811687,58.5495076469,53.6733760265,69.4815431163
"ABI2",21.2894216272,18.5909084361,22.970589118,25.1182093633,25.8620312663,26.5868183626
"ABI3",41.0752611619,24.9441042918,30.8442284456,78.3424575952,23.2157424463,26.7631837191
"ABL1",32.3568352279,29.0068488299,30.1859778374,30.8840269408,27.337951334,32.850218566
"ABL2",24.0782000701,28.9702802728,24.5666572374,22.394733768,24.310621849,47.4611560537
"ABLIM1",17.7956861068,25.0037654102,56.4923839653,54.1958805354,69.0751692095,18.662253383
"ABLIM2",13.405861398,9.0945236109,20.4658651874,16.927899201,18.7316774939,12.4486169082
"ABLIM3",13.3181329602,10.7024252265,10.7024252265,9.6822386262,12.6831647299,22.896065917
"ABO",12.5924823949,12.090138302,10.7024252265,13.9696560861,12.9920664966,10.2150389626
"ABR",69.7025630503,72.0703485299,42.9878628163,50.3402192544,47.5291175864,80.1703249238
"ABT1",30.4664385524,34.6702656748,38.147608952,41.3996652823,43.8953871007,27.153755668
"ABTB1",41.9314072565,137.465576387,40.9217381742,39.8666689367,40.273431,27.6028888898
"ABTB2",17.0816032272,25.5183762796,14.3665916973,16.7549278,14.3406626867,14.4114920156
"ACAA1",61.8522955578,61.0824075558,44.5708311748,47.6461285912,48.600825434,59.286336451
"ACAA2",44.4179593381,23.6701492748,36.5661299895,60.6231813361,36.0521556619,87.3914843905
"ACACA",26.303108583,20.6233933789,30.0650246279,27.4899984612,25.4343565973,27.7465791721
"ACACB",22.973456817,25.3853176993,27.6670726748,20.4005336381,26.3652316388,19.1724715918
"ACAD10",32.8041195946,37.2835919367,36.1825105755,28.297613466,30.9541479524,29.3070078293
"ACAD8",31.766759485,36.1803067728,29.7295556711,33.8319798721,32.6930648952,34.4952029136
"ACAD9",34.6163595558,27.1832261136,38.8317251225,35.7509276796,34.0773100544,44.0131287286
"ACADM",36.5453761925,27.2234362361,64.6806009565,42.0781341728,41.6616228558,67.1050506993
"ACADS",27.2493846214,22.7175794925,25.5615020619,33.7268678823,28.8725173333,36.2638300871
"ACADSB",23.5990063952,25.6065920286,27.2682966551,27.6608239878,29.2105570524,28.1480746027
"ACADVL",119.0238717687,77.2468800109,109.304921151,107.8985839361,101.0302593891,109.0756785742
"ACAP1",56.3383652429,74.4519306,123.9429557401,110.8866505462,154.8744360415,35.291837485
"ACAP2",89.047061515,112.3026223354,66.4608762109,65.1902308136,64.9486396837,66.7420305524
"ACAP3",37.9660065503,35.9813204517,41.2089537769,27.2903285592,33.6748571191,28.5777094116
"ACAT1",34.415418966,24.2852066639,39.9964056061,32.8007106497,44.9008967095,55.0836700204
"ACAT2",30.1107785503,28.100706151,32.5500952517,35.9557423599,38.4071123054,111.1793347408
"ACBD3",39.9229208578,38.1162362075,54.7352981946,37.4477680878,37.8540877204,49.0796091946
"ACBD4",22.2680317177,24.9202303449,30.9653978306,25.1009938803,30.2448424667,21.5109972041
"ACBD5",37.5327617776,36.7717374667,30.3019711786,44.4267525585,31.6199621279,41.2089537769
"ACCS",33.3894056612,20.4387411367,46.3573244191,24.8222114014,38.7240794463,24.891279002
"ACD",26.4124238517,35.339305698,36.2794739476,38.4240939939,35.546876968,21.802431283
"ACE",13.7709899184,13.1139446313,22.8786299656,13.9397577653,23.3631801925,22.8054227993
"ACER1",9.6368434014,9.0945236109,10.7024252265,9.6822386262,16.7081962755,8.5477138571
"ACER3",37.7639964714,27.4713011211,20.7749601602,22.387295381,20.3611825905,37.4434916191
"ACIN1",64.3156449796,72.8776744639,81.2338652493,67.7652418626,69.1918540374,52.0298236585
"ACLY",50.2328033537,43.255171332,50.6645581816,61.0683365388,53.7117023041,49.5307045735
"ACO1",24.795970115,21.0227201844,21.2426410626,23.6021882558,21.0110912286,59.7083959599
"ACO2",51.2594710286,37.7774030435,58.8662524881,51.3868567551,50.7586225116,67.6803409823
"ACOT11",19.1436954939,15.7411829442,10.7024252265,15.6652762031,14.1792186054,22.5201191136
"ACOT13",20.6672007177,29.6965867585,19.9964880007,21.998562817,21.2268907782,54.2493072626
"ACOT4",9.9583595599,12.2890726932,15.7615053048,22.6487997177,18.662253383,25.9205528184
"ACOT7",17.5433601327,11.9900024708,19.5581416534,29.7616382857,24.429380815,43.6400234122
"ACOT8",34.105751468,40.4424643878,36.5169539622,38.655995232,36.7528330571,41.5027816327
"ACOT9",52.3143415782,49.8901171973,32.9471922878,32.0467319959,35.5212700231,55.3264797959
