,"Neutrophils","T_cells_.gamma.delta.","Monocytes_CD14.CD16.","Macrophage","T_cells_.CD4..","Fibroblasts","Endothelial_cells","Keratinocytes","CD34.","Platelets"
"A1BG",65.663895876,72.3803487567,115.9439345867,73.2625427618,72.9713330067,77.1631544732,55.3202042098,54.2133314829,58.156209131,53.9191352429
"A1CF",29.9670030358,29.0486671076,33.9351369794,32.031888444,33.5386555227,23.651828376,28.4732232527,34.7967438819,37.4909998413,29.2394093349
"A2LD1",30.4424724604,128.0103938022,43.1783485358,50.0351882464,35.6683562964,60.3257223118,45.8970343071,46.3563038067,35.502467132,43.6936912087
"A2M",20.9798747542,20.0665704202,27.0945975353,2911.2727111111,28.98345007,217.8528292622,54.2615745018,25.4355520391,174.40679365,29.2394093349
"A2ML1",14.8171384896,14.8639986778,13.8109131051,14.9990622091,13.7808818079,13.0402162524,14.539453688,1177.1988032222,13.312548636,12.3153210022
"A4GALT",150.5760803067,70.6653962698,77.8356659244,86.1057163422,65.148398894,66.7806572182,72.3087299781,75.561993696,49.3004121598,140.5978394967
"A4GNT",23.7247357673,26.030098736,25.4695821412,23.2170115589,26.2082539487,23.4518608138,23.3193706794,23.6829797509,25.0453247609,28.6916852078
"AAA1",24.7882419951,26.030098736,29.2905406816,22.5520065267,25.5283597229,21.6995897818,22.3063178622,26.6934539662,27.1835060673,20.5637381629
"AAAS",167.2766378267,157.0442351156,183.0025243189,119.5575372378,146.9491360533,114.2766733489,142.8857483589,130.1960912078,91.0823905222,146.0551692467
"AACS",86.1114365644,131.0010501567,74.0712968491,97.93655148,99.04457989,212.8782060578,151.61124479,571.5569118244,116.8512443489,93.7108083911
"AADAC",37.4886369094,26.030098736,30.5827726753,26.9929530653,26.9615430924,27.8057968856,41.3122856291,640.58982884,26.2352035498,23.3586932011
"AADACL2",11.229015777,11.8321930587,11.1973246984,11.0739398756,11.0730001422,11.0677855682,11.5595520118,1523.8684476667,10.5272690227,10.5121826643
"AADAT",20.5133987353,20.8586002107,20.5181558326,19.2329020924,19.7796190579,45.1153761129,25.3753696744,20.318483092,27.8595066791,17.7539684467
"AAGAB",104.2295128444,66.2439808149,81.2162196429,63.254487037,69.9945548442,62.1056251974,62.393907412,57.7539581429,55.2709064131,93.1290943511
"AAK1",116.1566828533,48.2224996882,67.918410198,50.4714807877,96.2280866422,47.8850794364,45.5860520431,52.5242318051,65.1309204882,60.441741747
"AAMP",155.5189616889,197.6586952067,289.0721562711,214.3657373244,205.0433913067,270.3219085222,238.50354946,258.42733269,223.2453273956,103.8164365222
"AANAT",15.8195309384,18.4022153794,16.8773984236,20.6151812867,15.4459323296,15.4504396133,17.6059498993,20.8072174947,15.0480761033,15.7370057722
"AARS",108.2715310156,358.1874015911,188.7478428022,293.1858784878,276.3100163311,397.5112734067,413.3569945911,336.1905868289,315.1729958411,305.5499489333
"AARS2",82.0583602678,78.6189231712,74.1382829264,74.6897271058,81.1647205964,51.7771610673,64.9675838164,86.9814308289,112.8221740044,130.4330103756
"AARSD1",38.7865042844,81.1954753142,90.0865865433,67.107497118,91.0196373,113.4042929033,111.4067499556,84.9528936733,143.3629625978,74.3046535033
"AASDH",59.8035424534,81.1954753142,229.21345084,98.3427465322,170.6359958367,66.6839864439,64.6132078509,123.0188436222,103.0555932333,145.1938429567
"AASDHPPT",147.8654200378,294.0149450822,298.6862333689,207.1989889289,226.7430120911,228.3883740256,256.91139088,285.7702873356,327.9406118378,169.0549304378
"AASS",13.2662281118,15.3110965508,12.5706017509,11.961357559,19.6041277682,40.4345779037,37.5245389964,16.7984680892,51.6397726307,16.5730734932
"AATF",373.3043315733,369.9277053978,328.1380072556,234.8997083478,335.7763106756,218.2819374978,254.1884803644,181.7275094489,322.0803202778,141.7896718022
"AATK",217.1867947644,59.6835364816,124.0290424722,79.0262840544,62.0384424184,56.4335053404,63.6892219144,75.875470886,92.1668982211,167.8992612167
"ABAT",310.2370530178,98.7251508511,116.8262074389,128.4454169956,75.3865382158,131.4575391578,38.1067982398,17.8466362629,67.5395055012,1158.6305810444
"ABCA1",460.3660503156,23.7426968036,142.5207271644,632.3677805889,58.0577088977,222.7774521156,90.4673616533,235.1454068011,250.8857773,158.1399027467
"ABCA11P",19.3858239462,30.8517563987,18.5680560118,23.1403216736,46.0596710442,39.0437927203,35.2473940536,24.9808305131,26.6987016427,30.7179412303
"ABCA12",9.247460468,8.901918941,9.4113664392,10.0769538935,9.9972480016,9.0350723024,9.3769124737,883.2035587556,10.2458649942,11.5559391876
"ABCA13",8.8382320054,10.1398290919,9.0416332654,8.846408168,11.930694066,9.0350723024,8.4994184022,13.0149123469,11.8929750078,7.9895241918
"ABCA17P",13.6075639624,12.3679464228,13.0927616729,14.8690383787,17.4695870522,14.4146813418,13.9424859469,12.790066804,13.6473836353,23.6258205704
"ABCA2",50.0198598376,59.6835364816,37.8016672276,45.9029487673,51.352108081,45.8368460367,43.94590716,42.0550129192,31.7661186549,40.470283592
"ABCA3",100.9330051378,66.0050858311,64.8770314883,56.083842565,67.2786326516,62.9126363064,112.0350453556,52.2443330213,54.2293092896,101.2255593611
"ABCA4",33.2064001106,28.6701895429,35.1123454403,31.8741487476,34.9028735076,27.8057968856,33.6339963627,40.0150784642,32.4135193418,35.3271925564
"ABCA5",106.1268342644,58.9481467024,27.6085997427,74.636428748,157.0628858589,71.1161263041,73.7334450642,148.45367016,45.4002821396,163.3029375356
"ABCA6",13.947527958,11.8321930587,14.5536010409,38.3437922002,13.0249836136,37.5973681544,47.441791544,13.5654206913,12.4222945722,14.2624018258
"ABCA7",276.1688089756,92.5919200533,129.29035656,64.4027279062,154.1369013356,41.3867816502,44.1863574602,66.8297248222,47.4270965598,63.9112434719
"ABCA8",11.5901262727,12.3679464228,10.8456923803,9.961491933,10.378225274,224.9828738467,95.3697812289,10.1668442514,18.5943173161,9.4599922842
"ABCA9",19.7011568727,17.5458886962,17.5042023729,20.3370588311,17.0914229907,60.5094254368,30.9761259464,18.5460850033,17.3514684807,19.6541079618
"ABCB1",17.9864961842,145.8660620333,14.8581895296,19.6779343551,50.1449814147,12.9279271613,23.5910041129,13.5654206913,38.8917825116,69.1675294997
