,"Neutrophils","T_cells_Gamma_Delta","Monocytes","Macrophages","T_cells_CD4.","Fibroblasts","Vascular_Endothelial_Cells","Keratinocytes","Blood_CD34._cells","Platelets"
"A1BG",40.311994674,47.863561427,66.3413337247,53.8105003814,55.2740680536,106.7836365289,47.0409892429,37.8007353609,51.56529617,54.9314783079
"A1CF",40.1224745787,28.60561524,32.2053200711,35.2327647453,31.5804659799,28.7216878223,30.166097558,31.7046322787,29.2713153364,35.9873878244
"A2LD1",24.0599679959,36.9422931444,29.1043783598,30.5305548544,29.7369376939,31.4213493392,33.4544802807,33.0523764198,28.7714450267,30.4282093486
"A2M",34.7928036007,30.6344528064,37.0434674171,179.2190274778,31.1313880153,40.5984845778,96.7161287111,26.63024649,37.7998034942,56.7690964642
"A2ML1",18.4549249862,15.5992718922,16.7009237326,16.5670539973,16.81070032,15.8730841523,15.7803929287,252.5416321089,15.5473511782,16.5168780969
"A4GALT",100.9330051378,66.540791758,95.2220851756,81.5681417836,73.5636026841,100.3618003911,118.5650589444,67.2376593202,68.8588302853,250.3830473667
"A4GNT",18.9488499722,24.1407255813,20.4411483133,21.6805158024,20.4893808913,19.3689541049,18.5804832562,18.3514471653,19.2466048452,18.260163228
"AAA1",20.9256793042,17.5018813284,18.4688746502,17.8827743762,17.937799848,16.6754369736,16.7382934684,15.9321913028,16.2800019478,16.2840340673
"AAAS",163.9580995422,195.5588800378,175.68846304,171.5953699511,166.5505702978,172.7051582667,149.5123743044,138.0383637244,163.2697814344,331.4119232967
"AACS",75.2708105207,286.3591173333,100.4899302933,144.2444665089,201.6330476578,263.0061348444,359.2938356956,641.3815534156,251.1949653889,114.2766733489
"AADAC",27.608179276,24.8709999309,26.6379855809,26.8624744674,23.5177846011,22.5861353217,32.7730077613,93.1802730356,23.2950368807,28.9267731142
"AADACL2",9.0559241488,9.564200755,9.3999709258,9.7198238324,9.2079802418,9.2799245188,9.2142102641,224.8232088156,9.2251946673,9.3895068813
"AADAT",45.031006566,31.1424693914,34.5146546424,35.6432892666,34.8818772204,103.4898520178,45.7936784493,38.6472687806,52.8976758829,22.8706638518
"AAGAB",88.2481013867,88.1947602489,82.60476154,71.9681512996,88.25365242,74.2107203453,64.3494047696,81.2187052729,80.1971946889,79.0624517711
"AAK1",61.7465810593,57.2393963271,53.6802143633,56.7565975089,88.25365242,47.3412397624,44.640793162,43.4865080149,45.5088759037,44.3650508871
"AAMP",377.5663054867,413.2334981756,503.6938773378,525.5247864667,401.5569786044,408.2795040422,358.80720855,524.8720036178,373.2022667967,384.6312475056
"AANAT",17.4525732884,15.9877222198,16.6204378371,16.5794547669,15.8042187607,16.1611414751,16.2080882032,15.2957703263,14.4772637093,17.0006370471
"AARS",154.3054567856,864.4312326,413.66543946,690.4948965511,878.7793523111,876.8342309111,680.6232623289,751.6773367044,811.3935273778,544.9811845478
"AARS2",79.9781520127,173.0137173978,95.3697812289,124.1925243867,167.4446419078,96.2540458056,89.07315211,123.4180116244,159.1530853889,110.2853273378
"AARSD1",26.48802693,48.6448385122,33.3947605353,35.5460171247,41.6594628416,42.8343454546,38.6472687806,38.1150715751,51.1654656144,58.9675952644
"AASDH",76.4775889491,141.4600784411,120.2088869822,131.3611169544,169.7291160067,107.6830071589,107.9760639244,191.0942212933,171.1993122133,159.9305670644
"AASDHPPT",81.5809023093,170.1923818611,124.1660648067,121.7155296444,153.6929910222,122.3988746356,135.2538664544,160.3432620078,166.2323591289,89.4743983711
"AASS",15.606790297,14.5526573793,14.7623538539,14.8584547184,18.2363255107,34.5214747373,43.6418376402,32.5210887172,32.572175108,18.4200246313
"AATF",539.0487911222,894.7138446444,656.4507355156,509.3935353067,835.7278828444,416.4302993856,398.9657604756,491.6134907822,667.5580527967,345.3257327633
"AATK",484.59341434,102.21754368,250.4703434911,195.7474883711,142.0457004389,144.5024724111,117.9820856433,131.3025448444,139.8850505156,523.3874326178
"ABAT",213.31220508,52.7212805987,91.0611467467,106.08679086,110.6209464156,53.6731422342,41.7752425067,70.0188463476,74.2630687478,757.4970063133
"ABCA1",203.3361021033,15.8195309384,94.0675847133,122.1344668511,24.1314133618,49.9905258704,39.3976368586,48.9967692664,38.8563590438,21.6423294116
"ABCA11P",18.5619871413,39.6331536733,21.1711476782,22.7408817542,43.6710837444,40.9081321269,37.6109884151,41.1411406324,34.4354908062,33.1329797778
"ABCA12",10.0474763092,11.1187845084,10.0943871843,10.0197911433,10.3801978295,10.5040309946,10.4414224511,419.4449853911,10.4401919289,10.439156134
"ABCA13",9.1523142009,11.3379017153,7.8746541017,7.7637496966,7.8339774954,7.8021190966,7.8689470637,9.7374178899,9.8540754281,7.9925484918
"ABCA17P",15.433460391,25.3721667004,15.444863974,15.3813100513,25.4332283169,15.7239093378,14.5406699102,15.7701324544,20.2405959769,21.6744294771
"ABCA2",64.3715360017,73.9212785007,44.1422470973,43.2765981769,50.160710416,52.8431595818,44.8520148781,39.5027548044,43.3339846024,64.8938520691
"ABCA3",59.572346288,67.8403980087,60.0031752362,55.8317835669,76.3288936033,51.6668490031,206.3331765767,55.2740680536,70.204902676,150.0421252867
"ABCA4",25.6096230468,24.4623582527,23.2459132813,23.6472000204,23.2058614867,23.295540514,54.174332564,23.1939526042,20.6740032829,23.4286256781
"ABCA5",36.0494402596,25.0892240589,24.2962157171,33.9687576943,65.1672673784,36.5874020586,55.124109101,68.8195761021,35.7744174069,23.9970119343
"ABCA6",13.0154974469,10.8463132248,15.5683589282,17.0824332271,12.3361980413,24.5280810751,36.4692827138,12.3792208449,12.2751597171,14.293775254
"ABCA7",367.9525110511,105.9941337,154.2196274667,100.7760124533,233.2070821111,50.889192535,59.7700421004,104.3822051378,125.6786696089,142.4066735922
"ABCA8",18.74788634,16.2761479393,16.4406008656,16.6492362273,15.7687018767,25.8279091248,16.9690692322,15.9205929982,15.2233007153,17.3456388029
"ABCA9",14.4912441878,13.3007657218,14.0959370222,13.6702695704,13.3604014616,17.0535845362,14.5406699102,13.5619083691,13.2837375927,15.4453981518
"ABCB1",19.9379509719,45.2048382844,20.6617348078,19.2966091964,46.4718581236,15.433460391,17.920929254,15.7231982267,59.7654734612,23.0894280178
"ABCB10",60.019515942,638.6915535444,179.8538695556,261.7507850767,347.2142662544,233.2791684567,289.5272184244,179.50327479,539.7961571422,414.9165588444
"ABCB11",14.558045154,14.2350384943,14.9590129636,14.5620285216,14.3906504858,13.628326398,14.3897886636,13.200593536,14.0880285076,20.2557414
"ABCB4",19.5405895764,19.1334566016,21.0150019238,23.8243844491,18.5815594562,24.2232508731,16.0679299758,15.6889016802,19.9943654613,24.160427218
"ABCB5",15.6435762567,15.1466230896,15.7370057722,19.4315309776,15.0491235256,14.746997711,14.9096181294,14.877333186,14.7818670282,14.099970112
"ABCB6",59.0137282466,55.0872001432,50.8200134758,55.2496037687,60.8061184613,74.9975024007,72.3386417149,73.795904535,59.8799991886,162.8665161589
"ABCB7",50.9752635298,227.3781616844,266.6054518689,213.3996482511,276.40336614,145.0588304756,257.1074767933,207.9948935244,359.2938356956,158.4855536378
"ABCB8",48.6124876689,65.3172473342,47.9323144783,51.5971091453,53.1837418562,51.6668490031,46.2287379488,48.3488334233,42.6158918498,50.1849197456
"ABCB9",37.7467741448,31.4525036342,36.1384639336,37.372857108,34.7266090597,32.5424486688,37.3619004556,30.7788452847,35.4605179456,53.6004283422
"ABCC1",301.8515831933,305.93693452,328.6383390978,502.7976013267,291.4611830944,362.4989818067,278.2101080489,297.4212527578,361.8657450511,313.6992187
"ABCC10",125.9990227256,179.7165287089,156.20991351,265.9993154111,351.8881853089,199.9931018156,216.8512492,204.0141864033,143.6134194378,135.4930515667
"ABCC11",33.6321676368,24.4364369778,25.624911736,25.927564962,24.9677222758,22.4517168606,22.761704188,21.4290463542,21.6982080262,31.809444676
"ABCC12",16.192700886,13.8946184078,14.558045154,14.5620285216,14.3448588358,13.500996707,13.8426620016,13.2337743387,13.8171379282,13.9077443951
