,"CD19B","CD56NK","CD4MemoryT","CD14"
"A1BG",48.1798760859,31.8710797229,50.9622214076,59.802377451
"A2M",12.4670886,15.3930108327,17.0710757244,20.7157807349
"A2ML1",12.4670886,15.3930108327,12.0005012333,13.5917493
"A4GALT",17.9655619648,11.6818693,12.0005012333,13.5917493
"AAAS",39.8777150047,36.5677288257,37.8944686025,37.8558193802
"AACS",22.9683865576,23.4116896321,24.9800694179,25.3976133199
"AAGAB",31.8371752498,36.3048113447,34.2046939186,32.55059264
"AAK1",24.083185057,57.0364706594,51.330930195,47.8018370357
"AAMP",49.4272515881,49.5443098984,49.1074856754,53.9396060346
"AANAT",17.9655619648,18.3157875745,12.0005012333,13.5917493
"AARS",26.3724342591,28.930286716,28.631428066,26.7579689118
"AARS2",25.1526654634,23.5079406895,22.7389475158,22.9940464849
"AARSD1",39.4718526666,33.1590526336,37.0305726116,33.6589668325
"AASDH",33.0472713835,35.6843629349,29.8086197019,25.3976133199
"AASDHPPT",38.89404452,42.9038737579,39.3069563789,34.7031639543
"AASS",21.7508036835,17.4295205483,18.7891059905,13.5917493
"AATF",47.0442513645,48.3717780108,49.6680299109,41.3461852329
"AATK",16.6850931529,20.8790876514,18.7891059905,28.5561698918
"ABAT",27.9103001091,21.8892386583,23.052803434,29.6048928376
"ABCA1",23.4549388427,11.6818693,19.1262798076,24.6041339142
"ABCA2",22.2442648185,33.203951555,30.118291505,27.9904048533
"ABCA3",17.9655619648,22.4771725756,22.9011655433,22.0253686992
"ABCA4",12.4670886,15.3930108327,12.0005012333,13.5917493
"ABCA5",25.8198536204,28.1974600414,26.0871149112,18.8978320568
"ABCA6",16.6850931529,11.6818693,12.0005012333,22.0253686992
"ABCA7",33.0472713835,26.1662670862,35.0837365997,47.4366905619
"ABCB1",25.8198536204,37.2642954542,23.1982656906,13.5917493
"ABCB10",21.5836618404,23.5079406895,22.7389475158,22.0253686992
"ABCB11",12.4670886,11.6818693,15.8424057076,13.5917493
"ABCB4",45.0578121131,15.3930108327,12.0005012333,18.8978320568
