"AABleh","cytotoxic.CD56.dim.NK.cell","memory.CD4.pos.AB.T.cell","memory.B.cell","CD14.pos.CD16.neg.classical.monocyte"
"RNF14",16.0567142857,8.8897857143,6.9605714286,7.9004571429
"UBE2Q1",22.054,17.9367142858,18.3398571429,13.1823714286
"RNF17",0.1413571429,0,0,0
"RNF10",52.8400714285,65.6571428572,62.5001428571,44.6822857143
"RNF11",21.1267857142,17.8647857143,5.4337142857,23.4851428572
"RNF13",46.6869285714,52.4168571429,82.6542857143,83.809
"GTF2IP1",14.9375,6.5021428572,8.946,20.9206571429
"REM2",0.7457142858,1.1891428572,1.7554285714,0.3618857143
"GTF2IP4",18.5966428572,8.1413571429,6.6268571429,27.5974
"UCHL5",20.9685,8.9575714286,7.0792857143,7.9886285714
"UBE2Q2",24.6208571429,29.4508571429,11.782,10.6543142857
"MZT2B",108.575,167.7357142855,157.849142857,40.7212
"ATRX",50.1247142857,52.4032142857,59.9014285714,34.6366571429
"PMM2",7.5795,9.9250714286,9.3831428571,8.8020857143
"PMM1",3.6259285715,6.9663571429,4.0458571429,4.0011714286
"NCBP1",8.5409285714,8.3472857143,8.5232857143,9.7969142857
"ZNF709",0.9145714286,1.0732142858,1.624,0.4900571428
"ZNF708",5.7276428571,6.4028571429,6.7967142857,5.7510571428
"ZNF879",2.5616428572,1.7432857143,1.7222857143,1.3736571428
"CAMK1",2.9348571429,0.7442142857,0.2331428571,28.1788
"STYXL1",16.7892857142,8.5415714286,12.472,15.1412
"COPRS",2.5637857143,2.2351428572,5.8325714286,4.8978857143
"NCBP3",11.7049285714,9.2758571429,9.2982857143,14.7634
"CAMK4",0.1118571429,33.4635,0.446,0.3988285714
"ZC3H10",2.7386428572,1.5976428572,3.282,3.5038571429
"RNF114",23.5485714285,33.3595,36.0248571429,34.8657428572
"RNF115",7.0638571429,4.4314285715,3.5871428571,5.1809428572
"RNF112",0.1815,0.0625714286,0.069,0.1241714285
"ZC3H14",13.3946428572,10.989,10.099,11.2619714286
"SPN",137.943714286,67.495,0.1791428571,24.0508285714
"RNF111",6.4095714286,7.5398571429,13.2205714286,11.9515142857
"ZC3H18",14.1445714285,10.6922857143,8.7505714286,9.5840285714
"DHX8",18.0057142857,17.0870714286,14.622,18.1758571429
"DHX9",77.314,99.0480000002,92.7431428571,55.6851428572
"TCOF1",9.3666428572,11.265,14.4015714286,6.7598857143
"NUP98",34.6592857143,40.5674285714,46.588,32.5945714286
"XPC",14.7611428572,27.591,23.5794285714,10.0434
"PROCA1",0.4105,1.2707857143,0.749,1.0638571428
"GRINA",6.4692142858,4.6667142857,15.2121428571,95.3272571429
"SP3",49.5712857143,48.1974285715,41.3551428571,59.9169428571
"NUP93",26.7401428571,19.8902857143,25.3208571429,27.8768285715
"SPPL3",5.9427857143,7.7083571429,12.8857142857,7.0639714286
"GOLIM4",7.1891428572,0.2451428572,2.7145714286,8.645
"OPA3",1.371,0.931,1.4602857143,1.4843714286
"OPA1",18.1559285714,19.6972142857,22.9184285714,34.3260285714
"LOC100996763",6.1175,4.1292142857,36.8145714286,46.0569142857
"RAB40C",3.9086428571,3.3327142857,3.5988571429,7.1001142857
"RAB40B",0.5467857143,0.5389285715,0.3831428571,0.3694
"GTSE1",0.5724285714,0.0550714286,0.0294285714,0.0448
"B2M",6696.84114286,5192.908857145,2222.23828571,17202.6425714
"RPRD2",5.483,6.8558571429,7.0105714286,5.0459428571
"SPPL2A",32.2227857143,11.7745714286,13.3575714286,45.7461142857
"LOC105369748",1.7734285714,0.823,0.6894285714,1.6752857143
"SLC46A1",0.3581428572,0.6654285714,0.626,1.0651714286
"NOP9",6.0971428572,5.5905714286,5.2751428571,6.1707142857
"UGCG",4.2376428572,13.7607857143,21.1928571429,4.4616857143
"ATP2A1",0.0942142857,0.037,0.0814285714,0.1018857143
"ATP2A2",18.8887857143,15.8137142858,13.1618571429,34.3882857143
"ATP2A3",65.5442857143,62.1333571429,161.494857143,9.4593142857
"ITGA1",0.0160714286,0.5071428572,0,0.6376571429
"ITGA3",0.6082857143,3.4350714286,1.606,0.0664571429
"ITGA4",115.987,130.3054285715,72.4074285714,94.4041142857
"ITGA5",37.7902857143,20.0505,0.4288571429,45.5892857143
"ITGA6",38.2671428571,67.6084285714,0.1328571429,0.7762
"ITGA7",0.3878571429,0.226,0.3211428571,0.4470857143
"DENND4A",20.9107142857,22.0462142857,46.5548571429,23.7392
"DENND4B",21.7174285714,13.0660714286,25.3004285714,31.7254571428
"DENND4C",39.4182857143,21.988,17.6671428571,16.9677142857
"SWAP70",2.3273571429,0.9908571429,103.374,9.4568285714
"RARRES1",0.0095714286,0.0613571429,0,0.0051714286
"PHLDA1",1.1568571429,3.0464285715,0.069,3.2433142857
"PHLDA3",0.7803571429,0.4961428572,0.0294285714,0.0570285714
"PHLDA2",0.0212857143,0.0297142857,0.0917142857,1.6507142857
"NENF",6.6742857143,12.7757142857,15.4117142857,6.5800285714
"ZNF37BP",4.878,4.3978571429,7.1748571429,3.722
"SQLE",4.9855714286,1.994,5.856,2.941
"FBXL13",0.2317857143,0.4505714286,0.5275714286,0.0626
"FBXL12",5.8617142858,4.8762142857,7.7755714286,6.6725142857
"FBXL15",7.2965714286,5.5094285714,7.0505714286,3.5189428571
"CYP27B1",0.0797857143,0.181,0.1908571429,0.1268571428
"FBXL17",11.4385714286,8.5252857143,11.3231428571,7.9991714286
"HRH1",0,0.0461428572,0.0442857143,0.8789428572
"FAM169A",9.4673571429,4.7604285715,2.7977142857,0.0865714286
"FBXL18",0.9336428572,0.6583571429,0.5708571429,1.0784285714
"GHDC",8.1915714286,6.4187142857,12.1481428571,8.9736571429
"SDK1",0.0228571429,0.0217142857,0.105,0.0012
"SDK2",0.032,0.2185714286,1.9975714286,0.0559142857
"KANSL1-AS1",10.1531428571,14.305,4.7465714286,4.4756571429
"TPRN",2.2777857143,1.2895714286,1.3857142857,1.9828285714
"FAM212A",0.1135,0.1958571429,5.174,0.3310857143
"LOC100506403",10.7386428572,16.4124285715,9.5242857143,18.3221714286
"COL4A4",0.1234285714,0.0185714286,5.9814285714,0.0021142857
"COL4A3",0.0877142857,0.0492857143,31.9127142857,0.0084571429
"COL4A2",0,0,0,0.0787142857
"COL4A1",0,0,0,0.0126285714
"GRN",10.5614285714,10.9403571429,86.2828571429,325.397428571
"CHST2",80.0807142857,0.8264285715,9.462,4.6579714286
"SNORA11E",14.2894285714,205.472142857,10.3097142857,0
"CHST7",2.5346428571,3.2142142857,0.5165714286,2.9949714286
"TPRG1-AS1",0,0.0253571429,0,2.2341142857
"ITGAX",34.09,0.0962142858,1.3084285714,83.3514
"LRRC58",4.7758571429,5.7848571429,3.9515714286,7.1546285714
"BCL2A1",5.4755,13.8338571429,39.5502857143,389.987085714
"HLCS",6.3864285715,3.2724285714,3.1894285714,1.4346
"NOG",0,0.1879285715,0,0.0099428571
"ITGAV",3.8374285715,2.4576428572,0.4794285714,6.3136
"PREP",12.5958571429,7.2541428572,4.0867142857,8.8356285714
"ZNF703",0.0267857143,0.0084285715,0.2012857143,0.9121142857
"ITGAL",251.514428571,94.5352857143,20.5824285714,71.2555428571
"ITGAM",145.756285714,5.794,22.2971428571,137.208914286
"HLF",0.0432857143,3.3914285715,0,0.0134571429
"NOV",0,0,0,0.1545714286
"SNORA11D",14.2894285714,205.472142857,10.3097142857,0
"FAM134C",48.5704285714,29.4851428572,39.8848571429,15.4755142857
"FAM134B",0.2429285714,18.9617857143,0.898,2.9309142857
"FAM134A",28.6688571429,33.261,31.3862857143,20.7421714286
"ZNF700",4.7155714286,4.1932142857,6.3875714286,5.6751142857
"TRERF1",4.8765714286,8.5981428572,0.3004285714,5.0741428571
"LRPAP1",37.0293571429,26.0325714286,24,64.5103428571
"SMAD5",9.3402857143,4.8492857143,5.5724285714,5.2735714286
"SMAD6",0.0107142857,0.03,0,1.5169142857
"SMAD7",19.6437857143,6.8222857143,0.5827142857,11.7072
"GOLPH3L",4.531,3.6612142858,2.5625714286,1.7292571429
"SMAD1",0.1812142857,0.3020714286,0,2.9915714286
"AFTPH",28.7789285715,28.4513571429,78.3902857143,29.9444285714
"SMAD3",6.9530714286,12.4917857143,15.9594285714,13.1168
"MUS81",30.8467857143,26.8717142858,26.2348571429,16.6802857143
"AMMECR1L",2.8667857143,3.3594285714,2.9764285714,2.8915428571
"SNORA73A",9813.35214286,12376.0632857,14874.5211429,33153.9473714
"NECAP1",10.9309285714,17.5152857143,13.3688571429,33.627
"IGF2R",73.2185714286,19.6405714286,9.1291428571,36.2393142857
"ZNF321P",2.1147142857,1.3242142857,1.8457142857,1.7832
"NECAP2",38.1011428571,83.3194285715,49.406,52.3911428571
"CKS1B",6.9712857143,5.6173571429,12.0864285714,2.4316285714
"SLC36A1",1.6402857143,0.764,1.0785714286,6.7092285714
"LOC101929023",0.4162857143,0.0606428572,0.1197142857,0.0670571429
"ZC3H15",30.4767142857,40.3705714286,34.5715714286,30.3175714286
"SNORA38B",4427.93885714,4232.70185714,3588.06571429,1438.16222857
"ERICH1",12.0003571428,15.199,29.1348571429,34.5384571428
"C14orf119",17.6014285715,11.42,6.066,10.7736
"HERC2P3",5.0929285714,3.2175714286,6.6125714286,5.1495714286
"HERC2P2",11.9396428571,6.8777857143,9.7388571429,7.3541142857
"HERC2P9",8.4914285715,5.7096428572,11.4237142857,9.7418
"SPTLC1",19.285,21.4022857143,18.1692857143,29.7027714286
"TCEA2",4.5899285714,6.9349285714,16.3317142857,4.2988
"TCEA3",0.1495,11.6282857143,0.0442857143,0.2038285714
"RNU1-3",216694.120571,219030.112571,286334.745143,221811.042857
"TCEA1",44.2135714285,56.0734285714,84.3494285714,28.1168285714
"KDM2A",31.9537142858,41.8677142857,49.7237142857,38.6844857143
