"gene_symbol","Monocytes","Neutrophils","B_cells","NK_cells","T_cells_CD4.","Macrophages",,,,,,,,,,,"Plasma_cells_CD138.","Platelets","Reticulocytes","Subcutaneous_Adipose","T_cells_CD3.",,"T_cells_CD8.","T_cells_Gamma_Delta","T_cells_Regulatory","Vascular_Endothelial_Cells"
"A1BG",36.252441,27.625536,36.252441,29.289744,33.304441,33.489369,,,,,,,,,,,33.535681,32.821441,35.354916,26.306641,34.727449,,38.019556,31.036041,35.319249,31.460881
"A1BG-AS",31.899904,29.16,37.027225,26.604964,30.503529,31.483321,,,,,,,,,,,30.935844,39.212644,37.957921,25.421764,34.047225,,33.258289,29.571844,35.307364,26.8324
"A1CF",25.090081,27.573001,21.409129,23.794884,24.423364,26.853124,,,,,,,,,,,28.206721,27.573001,45.9684,23.532201,22.838841,,24.295041,22.477081,23.746129,23.804641
"A2LD1",23.512801,21.233664,23.155344,25.8064,23.590449,24.671089,,,,,,,,,,,25.694761,25.441936,26.759929,21.501769,25.2004,,24.235929,26.265625,27.050401,25.431849
"A2M",27.196225,25.867396,22.335076,23.551609,24.216241,53.523856,,,,,,,,,,,32.296489,33.1776,38.328481,71.537764,24.880144,,27.415696,23.454649,22.553001,45.104656
"A2ML1",16.6464,18.113536,15.928081,15.864289,16.524225,16.752649,,,,,,,,,,,17.648401,17.698849,24.117921,14.922769,17.405584,,16.3216,15.397776,17.766225,15.713296
"A4GALT",41.9904,39.513796,42.458256,34.234201,37.896336,39.879225,,,,,,,,,,,45.118089,52.635025,48.483369,43.970161,46.049796,,37.638225,37.380996,40.768225,48.8601
"A4GNT",18.974736,18.429849,18.4041,18.861649,18.8356,20.061441,,,,,,,,,,,18.088009,18.939904,21.095649,17.447329,19.1844,,19.018321,20.205025,18.879025,17.4724
"AAA1",17.799961,19.554084,16.548624,17.673616,17.264025,17.673616,,,,,,,,,,,17.816841,17.5561,28.890625,15.507844,16.386304,,17.089956,16.573041,18.361225,16.313521
"AAAS",52.446564,47.004736,53.4361,45.091225,51.940849,52.606009,,,,,,,,,,,54.878464,57.441241,59.814756,53.202436,54.967396,,52.330756,60.808804,53.655625,53.392249
"AACS",42.837025,35.5216,53.056656,62.473216,55.771024,49.252324,,,,,,,,,,,49.252324,41.499364,26.337424,79.459396,53.4361,,49.392784,69.438889,55.323844,72.386064
"AACSP1",13.264164,13.097161,13.111641,12.159169,12.559936,12.952801,,,,,,,,,,,13.520329,13.9876,15.256836,12.061729,13.329801,,13.082689,12.229009,13.205956,12.866569
"AADAC",22.316176,22.886656,20.921476,19.731364,20.439441,22.8484,,,,,,,,,,,23.088025,24.750625,36.228361,50.965321,21.187609,,20.738916,20.575296,21.669025,25.090081
"AADACL2",10.673289,10.478169,10.556001,10.614564,10.24,10.962721,,,,,,,,,,,10.310521,11.377129,11.614464,19.963024,11.478544,,10.445824,10.6929,10.0489,10.208025
"AADAT",26.204161,29.116816,24.433249,26.071236,25.938649,27.029601,,,,,,,,,,,28.976689,21.762225,36.072036,36.711481,24.019801,,26.604964,23.707161,25.381444,30.946969
"AAGAB",39.576681,37.675044,40.208281,44.662489,40.921609,38.044224,,,,,,,,,,,37.5769,37.161216,34.527376,34.774609,39.551521,,41.254929,43.059844,40.972801,37.295449
"AAK1",33.074001,32.970564,24.860196,39.413284,40.921609,34.327881,,,,,,,,,,,29.463184,30.316036,30.426256,31.9225,41.447844,,43.533604,34.515625,44.903401,30.514576
"AAMP",74.684164,65.221776,69.2224,69.7225,68.923204,76.143076,,,,,,,,,,,71.267364,60.186564,79.5664,70.476025,64.545156,,67.223601,77.933584,61.246276,72.369049
"AANAT",16.597476,17.514225,16.136289,15.108769,15.9201,16.760836,,,,,,,,,,,18.688329,18.028516,27.133681,14.830201,16.842816,,15.618304,15.618304,16.120225,15.968016
"AARS",70.408881,45.941284,79.977249,76.667536,86.583025,82.428241,,,,,,,,,,,93.644329,67.519089,46.5124,81.631225,81.198121,,69.422224,96.118416,74.684164,87.553449
"AARS2",42.016324,36.336784,52.722121,49.928356,52.027369,46.607929,,,,,,,,,,,44.275716,41.139396,43.125489,40.844881,55.308969,,51.423241,57.836025,50.168889,43.454464
"AARSD1",25.654225,22.344529,30.625156,27.857284,28.6225,26.988025,,,,,,,,,,,27.888961,33.663204,25.2004,25.979409,27.373824,,28.238596,31.304025,27.384289,27.962944
"AASDH",45.589504,35.748441,52.056225,52.925625,52.316289,47.582404,,,,,,,,,,,40.005625,45.941284,36.385024,52.142841,50.6944,,50.665924,53.450721,47.775744,47.155689
"AASDHPPT",46.036225,36.578304,47.499664,54.375876,50.466816,46.226401,,,,,,,,,,,53.071225,38.5641,15.272464,43.507216,47.914084,,46.009089,57.486724,47.444544,51.4089
"AASS",15.295921,16.248961,20.3401,19.580625,17.438976,15.563025,,,,,,,,,,,19.430464,19.044496,18.844281,36.2404,17.098225,,21.003889,14.661241,18.558864,30.151081
"AATF",80.928016,74.338884,85.3776,79.655625,85.581001,75.272976,,,,,,,,,,,71.605444,58.232161,49.491225,68.211081,82.355625,,80.496784,97.2196,84.658401,74.839801
"AATK",59.660176,71.503936,47.361924,50.069776,49.112064,55.249489,,,,,,,,,,,56.791296,66.569281,79.352464,47.914084,52.7076,,48.846121,45.995524,49.084036,48.790225
"ABAT",41.177889,52.157284,42.797764,42.810849,44.635761,43.9569,,,,,,,,,,,25.664356,75.951225,21.049744,28.633201,42.601729,,37.650496,32.878756,52.056225,29.365561
"ABCA1",41.757444,51.194025,31.404816,19.669225,20.820969,46.294416,,,,,,,,,,,25.371369,21.003889,23.464336,44.729344,20.277009,,21.687649,15.515721,21.669025,28.344976
"ABCA11P",19.456921,18.164644,31.979025,25.310961,29.398084,20.684304,,,,,,,,,,,23.785129,26.5225,27.825625,48.455521,26.101881,,23.7169,27.541504,21.949225,27.510025
"ABCA12",11.390625,11.539609,11.881809,11.519236,11.478544,11.256025,,,,,,,,,,,11.410884,12.510369,13.060996,11.648569,11.648569,,11.478544,12.061729,11.397376,11.485321
"ABCA13",8.952064,10.556001,8.904256,8.573184,8.720209,8.708401,,,,,,,,,,,8.573184,9.541921,8.767521,8.265625,8.696601,,9.339136,12.222016,8.779369,8.7616
"ABCA17P",15.745024,16.128256,18.190225,17.9776,21.483225,15.968016,,,,,,,,,,,16.736281,21.022225,17.205904,17.172736,17.673616,,20.548089,20.802721,23.001616,14.799409
"ABCA2",29.986576,33.535681,30.459361,32.205625,31.685641,29.986576,,,,,,,,,,,30.503529,34.880836,34.257609,31.404816,33.907329,,35.928036,39.413284,32.901696,30.591961
"ABCA3",34.739236,32.569849,37.920964,38.514436,38.526849,34.035556,,,,,,,,,,,39.69,45.104656,38.514436,40.144896,39.753025,,40.640625,37.748736,40.678884,60.233121
"ABCA4",20.647936,21.977344,19.307236,19.527561,20.268004,21.169201,,,,,,,,,,,22.6576,22.071204,25.969216,17.757796,20.403289,,19.811401,20.385225,19.945156,34.164025
"ABCA5",21.187609,26.255376,35.988001,35.438209,35.952016,26.245129,,,,,,,,,,,28.206721,22.353984,18.096516,48.986001,33.698025,,38.464804,20.675209,37.368769,34.4569
"ABCA6",15.824484,14.235529,27.952369,12.802084,13.293316,17.123044,,,,,,,,,,,15.8404,16.144324,20.178064,64.6416,13.351716,,13.344409,11.785489,12.723489,26.946481
"ABCA7",49.942489,64.352484,65.755881,53.29,58.476609,43.086096,,,,,,,,,,,45.8329,44.4889,44.156025,36.348841,57.198969,,55.935441,46.949904,63.345681,35.952016
"ABCA8",16.467364,18.292729,16.136289,15.555136,15.888196,16.842816,,,,,,,,,,,16.744464,18.275625,20.5209,45.387169,16.818201,,16.760836,15.784729,16.711744,16.459249
"ABCA9",14.830201,15.437041,17.172736,14.607684,14.122564,14.5924,,,,,,,,,,,15.944049,16.966161,17.952169,40.806544,14.348944,,14.791716,13.793796,14.318656,14.799409
"ABCB1",19.123129,18.974736,28.398241,54.582544,30.448324,18.550249,,,,,,,,,,,17.884441,21.855625,19.936225,29.724304,31.730689,,42.393121,29.844369,20.232004,17.089956
"ABCB10",52.969284,32.649796,63.234304,74.4769,66.243321,61.011721,,,,,,,,,,,44.262409,61.575409,31.203396,57.836025,56.370064,,58.033924,88.435216,70.190884,67.7329
"ABCB11",15.4449,15.499969,14.845609,14.356521,14.876449,15.303744,,,,,,,,,,,15.752961,20.241001,20.967241,14.145121,15.7609,,14.945956,14.462809,15.713296,14.707225
"ABCB4",19.342404,18.757561,62.995969,16.540489,17.715681,21.270544,,,,,,,,,,,17.614809,22.448644,17.935225,21.464689,18.601969,,19.210689,17.514225,23.970816,15.904144
"ABCB5",15.960025,16.265089,15.108769,15.515721,15.3664,18.636489,,,,,,,,,,,15.618304,15.984004,23.145721,18.679684,15.476356,,15.389929,15.116544,16.353936,15.085456
"ABCB6",32.251041,32.478601,35.784324,30.041361,34.880836,33.8724,,,,,,,,,,,43.837641,46.24,41.0881,35.7604,36.663025,,32.501401,33.744481,33.605209,39.400729
"ABCB7",60.855601,30.658369,67.24,61.042969,61.984129,56.927025,,,,,,,,,,,43.943641,45.792289,29.430625,59.861169,60.326289,,60.295225,64.4809,56.7009,65.254084
"ABCB8",31.304025,30.085225,33.616804,30.129121,32.672656,32.8329,,,,,,,,,,,30.702681,31.787044,40.653376,27.5625,33.907329,,32.982049,37.002889,34.3396,31.114084
"ABCB9",26.842761,26.811684,26.286129,22.781529,25.867396,27.804529,,,,,,,,,,,37.356544,32.547025,35.188624,26.347689,29.192409,,25.341156,23.833924,28.858384,27.331984
"ABCC1",64.899136,59.814756,61.544025,54.375876,63.0436,74.874409,,,,,,,,,,,44.715969,56.415121,44.036496,51.681721,61.701025,,65.399569,70.761744,65.7721,66.879684
"ABCC10",50.154724,42.706225,54.819216,60.668521,66.487716,61.355889,,,,,,,,,,,55.145476,43.744996,43.138624,47.306884,62.125924,,63.904036,58.721569,77.951241,61.340224
"ABCC11",21.855625,25.431849,19.342404,20.894041,21.270544,22.325625,,,,,,,,,,,24.581764,25.999801,36.711481,19.395216,21.022225,,20.903184,20.376196,20.958084,20.034576
"ABCC12",15.147664,16.621929,14.730244,15.0544,14.853316,15.303744,,,,,,,,,,,15.186609,15.808576,21.799561,13.786369,14.768649,,14.961424,14.220441,15.649936,14.303524
"ABCC13",16.711744,18.267076,16.1604,15.303744,16.507969,16.818201,,,,,,,,,,,18.887716,20.958084,44.036496,14.326225,17.0569,,17.330569,15.476356,18.905104,16.040025
"ABCC2",23.833924,30.902481,26.790976,22.629049,23.7169,23.068809,,,,,,,,,,,23.193856,25.664356,44.049769,25.623844,25.836889,,24.019801,21.418384,28.740321,20.376196
"ABCC3",40.462321,31.741956,26.988025,27.920656,28.111204,49.084036,,,,,,,,,,,31.36,59.706529,41.100921,29.757025,29.0521,,28.270489,27.279729,28.965924,29.713401
"ABCC4",22.905796,18.870336,21.0681,22.733824,23.629321,22.505536,,,,,,,,,,,19.784704,64.979721,24.641296,18.870336,21.650409,,23.020804,30.569841,24.098281,23.454649
"ABCC5",34.916281,41.319184,35.664784,38.887696,37.564641,39.337984,,,,,,,,,,,28.451556,51.897616,28.611801,35.224225,34.833604,,38.489616,37.773316,38.925121,37.429924
"ABCC6",25.431849,22.127616,18.601969,17.757796,18.447025,20.6116,,,,,,,,,,,19.811401,21.678336,27.489049,35.820225,19.589476,,18.740241,18.515809,19.228225,20.169081
"ABCC6P1",12.902464,13.645636,12.489156,12.229009,12.131289,12.787776,,,,,,,,,,,12.4609,15.007876,14.907321,12.852225,12.425625,,12.439729,11.710084,12.8881,12.124324
"ABCC8",27.751824,30.4704,26.460736,25.969216,26.9361,27.6676,,,,,,,,,,,32.433025,30.9136,36.3609,24.9001,28.376929,,26.245129,30.272004,26.306641,26.801329
"ABCC9",14.356521,15.555136,14.235529,14.8996,14.130081,14.523721,,,,,,,,,,,15.225604,15.194404,19.5364,24.354225,14.311089,,14.737921,13.351716,15.2881,13.300609
"ABCD1",31.516996,29.257281,25.877569,25.331089,26.296384,33.605209,,,,,,,,,,,27.751824,27.994681,31.719424,26.677225,25.999801,,25.6036,26.977636,25.573249,27.973521
"ABCD2",10.036224,10.4329,10.575504,11.042329,15.233409,9.8596,,,,,,,,,,,13.645636,11.553201,11.937025,20.820969,14.508481,,15.038884,34.257609,11.175649,9.272025
"ABCD3",43.678881,25.623844,49.787136,58.262689,52.142841,46.799281,,,,,,,,,,,33.039504,34.117281,13.010449,51.108201,50.523664,,52.9984,69.455556,56.4001,64.786401
"ABCD4",35.952016,34.047225,40.500496,39.287824,40.666129,38.900169,,,,,,,,,,,33.246756,29.3764,46.280809,38.787984,37.6996,,40.043584,35.940025,38.912644,41.525136
"ABCE1",65.480464,29.724304,77.633721,72.488196,75.116889,74.511424,,,,,,,,,,,70.492816,46.744569,32.706961,66.814276,74.149321,,72.097081,97.278769,67.716441,83.448225
"ABCF1",75.498721,64.738116,79.21,81.920601,81.144064,78.127921,,,,,,,,,,,67.749361,54.184321,43.230625,62.615569,78.641424,,77.44,91.412721,72.505225,78.110244
"ABCF2",42.419169,31.719424,47.018449,42.25,49.8436,40.335201,,,,,,,,,,,44.662489,34.4569,36.216324,39.050001,48.149721,,46.117681,56.670784,45.914176,50.381604
"ABCF3",52.8529,47.541025,55.428025,50.339025,49.547521,54.567769,,,,,,,,,,,49.787136,35.868121,38.576521,48.930025,49.098049,,53.1441,58.079641,46.199209,55.890576
"ABCG1",41.011216,72.012196,46.131264,36.578304,42.471289,60.341824,,,,,,,,,,,27.520516,31.337604,24.1081,37.552384,40.691641,,40.666129,42.25,49.112064,81.830116
"ABCG2",20.088324,20.958084,19.018321,26.409321,23.396569,59.4441,,,,,,,,,,,52.867441,29.713401,39.828721,32.285124,19.989841,,21.9024,26.050816,20.259001,39.790864
"ABCG4",30.569841,31.854736,28.206721,27.029601,28.826161,30.371121,,,,,,,,,,,29.964676,36.687249,44.702596,27.206656,30.991489,,27.699169,28.037025,30.349081,28.6225
"ABCG5",15.085456,16.883881,14.853316,15.038884,15.139881,15.713296,,,,,,,,,,,17.081689,15.634116,19.695844,12.369289,14.508481,,14.9769,16.353936,15.389929,14.876449
"ABCG8",18.774889,19.8916,18.498601,18.645124,18.386944,18.905104,,,,,,,,,,,17.816841,19.474569,22.127616,16.112196,18.558864,,18.619225,17.497489,18.783556,17.514225
