"Symbol","Neutrophils","T_cells_(gamma-delta)","Monocytes_CD14+CD16-","Macrophage","T_cells_(CD4+)","Fibroblasts","Keratinocytes","CD34+","Endothelial_cells","Platelets"
"A1BG",75,109.5,161.875,115.9090909,100.1363636,138.75,71.66666667,75,83.72727273,68.2
"A1CF",34.8,30.5,43.6875,38.54545455,39.04545455,25.375,43,46.66666667,33.63636364,36.4
"A2BP1",40.8,34,42.625,34.36363636,31.90909091,31.5,27.66666667,32.33333333,35.27272727,34.4
"A2LD1",35.4,246.5,57.5,69.81818182,42.04545455,97.625,60.33333333,44,64.54545455,56
"A2M",23,19,33.4375,5796,32.86363636,453,29.33333333,241.1666667,81.27272727,36.4
"A2ML1",15.2,13,13.75,14.09090909,12.86363636,12,2347.666667,12.83333333,14,12.2
"A4GALT",168,105.5,107.4375,140.8181818,86.72727273,113.625,105,63.16666667,124.1818182,167.6
"A4GNT",26.6,26.5,30.9375,25.09090909,29.13636364,25.125,26.66666667,29.33333333,25.90909091,35.6
"AAA1",28,26.5,36.375,24.18181818,28.22727273,22.75,31,32.16666667,24.45454545,23.4
"AAAS",190.4,311.5,263.625,209.4545455,224.3181818,224.625,200.6666667,119,277.4545455,174.8
"AACS",96,252.5,102.25,163.9090909,144.4090909,441.5,1049.666667,157.1666667,294.2727273,114.4
"AACSL",18.4,9.5,13.5625,11.81818182,11.54545455,10,13.66666667,10.5,12.18181818,13.4
"AADAC",44.4,26.5,38.375,30.72727273,30.18181818,31.375,1184,30.83333333,55.36363636,27.6
"AADACL2",10.8,10,10.4375,9.636363636,9.727272727,9.875,3060.666667,9.333333333,10.45454545,10
"AADAT",22.4,20,23.5,19.54545455,20.40909091,61.5,21.66666667,33.16666667,29.09090909,19.6
"AAGAB",114.4,95,112,95.45454545,95.09090909,102.375,76.66666667,71.33333333,100,113.8
"AAK1",126.6,59,93.4375,70.63636364,139.5454545,67.75,69.33333333,84.66666667,63.81818182,76.2
"AAMP",175,405.5,430.875,402.1818182,315.9545455,552.5,435,315.6666667,462.9090909,124.8
"AANAT",16.4,17,18,21.36363636,14.90909091,14.75,22.33333333,15.16666667,18.09090909,16.8
"AARS",118.2,741,273.3125,557,427.2727273,811.5,588.3333333,451.1666667,806.9090909,402
"AARS2",91.6,126,102.4375,118.7272727,113.0909091,76.25,126.3333333,151.1666667,106.2727273,155.2
"AARSD1",46.2,133,124.5625,103.0909091,130.2272727,223,122.3333333,195.1666667,212.0909091,92.4
"AASDH",69.6,133,336.625,164.5454545,262.4545455,113.5,187,136.5,105.4545455,173.8
"AASDHPPT",164.2,602,445,388.2727273,348.2272727,472.25,486.6666667,470.8333333,503.1818182,204
"AASS",13.2,13.5,12.25,10.54545455,20.18181818,52,17,66.33333333,48.36363636,18
"AATF",580.8,767,494.3125,443.9090909,517.6818182,453.75,294.6666667,463.6666667,495.3636364,169.4
"AATK",269.8,80,173.0625,127.2727273,81.77272727,87.375,105.6666667,120.3333333,103,202
"ABAT",449.8,178,163.3125,228.1818182,103.6363636,261.25,18.33333333,87.66666667,49.27272727,1685
"ABCA1",756.8,23.5,200.9375,1228.727273,75.40909091,461.5,391.3333333,354.3333333,165.7272727,191
"ABCA11P",21,33,20.5625,25,57.04545455,49.625,28.66666667,31.5,44.63636364,38.6
"ABCA12",8.6,7.5,8.5,8.636363636,8.681818182,8,1709.666667,9,8.272727273,11.2
"ABCA13",8.2,8.5,8.1875,7.636363636,10.68181818,8,12,11,7.636363636,7.4
"ABCA17P",13.6,10.5,12.875,13.90909091,17.45454545,13.5,11.66666667,13.33333333,13.27272727,28
"ABCA2",59.4,80,49.6875,62.45454545,65.18181818,62.875,53.66666667,38.83333333,60.45454545,51.4
"ABCA3",110.8,94.5,88.8125,81.54545455,90.54545455,104,69,69.83333333,213.3636364,122.2
"ABCA4",39,30,45.4375,38.27272727,40.90909091,31.375,50.66666667,39.83333333,42,44.8
"ABCA5",116.2,78.5,34.125,118.6363636,241.1363636,123.75,237,57.83333333,127.4545455,196
"ABCA6",14,10,14.6875,49.18181818,11.95454545,46.875,12.66666667,11.66666667,67.45454545,14.8
"ABCA7",381.2,162,181.25,97.63636364,235.5454545,53.75,90.66666667,60.5,60.90909091,80.4
"ABCA8",11.2,10.5,10.0625,8.545454545,9.045454545,465.75,8.666666667,20,176.9090909,8.8
"ABCA9",21.4,16,18.9375,21,17,98.125,19.33333333,18.33333333,37.27272727,22.2
"ABCB1",19.2,285.5,15.125,20.09090909,63.22727273,11.875,12.66666667,48.66666667,26.36363636,87
"ABCB10",47,523.5,175.1875,338.0909091,280.5454545,246.5,107.3333333,330.6666667,252.8181818,192.6
"ABCB11",14.8,11,12.5,13,10.63636364,10.375,10.66666667,10.66666667,13.36363636,16.6
"ABCB4",22.4,24.5,29.9375,87.27272727,22.45454545,27.375,23,27.66666667,22.72727273,54
"ABCB5",44.8,44.5,53.375,42.36363636,41.68181818,36.375,51.66666667,60.33333333,41,47
"ABCB6",58.4,256,60.3125,83.36363636,72.18181818,164.5,263,82.66666667,144.4545455,122.6
"ABCB7",55.8,326.5,374.6875,304,256.9090909,184,172.6666667,270.1666667,250.6363636,296.6
"ABCB8",54.8,114,70.5625,67.63636364,58.13636364,78.5,42.66666667,27.66666667,75.18181818,41.6
"ABCB9",76.4,48,88.375,71.81818182,74.18181818,39.375,55.66666667,92.5,52,64.6
"ABCC1",88.2,161,123.375,293.5454545,172.5909091,220.875,191.6666667,58.66666667,277.9090909,40.8
"ABCC10",55.6,376,147.1875,465.1818182,445.1818182,366.75,308.3333333,135.8333333,315.9090909,235.6
"ABCC11",13.6,12.5,13.8125,12.36363636,13.18181818,10.125,12,11.33333333,12.18181818,16.4
"ABCC12",13.2,11,13.0625,11.18181818,11.5,12.125,11,11.5,12.27272727,12
"ABCC13",24.6,15.5,23.25,19.18181818,18.27272727,14.75,20.33333333,19.66666667,17.36363636,24.2
"ABCC2",43.4,22.5,26.4375,21.09090909,26.72727273,39.125,41.33333333,24.66666667,23.63636364,29.4
"ABCC3",65.6,38,160.375,726.4545455,64,233.25,129.6666667,75,49.27272727,4429.8
"ABCC4",36,97.5,36.25,137.8181818,118.6818182,439.125,62,477.6666667,264,2494
"ABCC5",25.4,21.5,24.4375,29.09090909,22.13636364,32,25,29,27.09090909,43.8
"ABCC6",46.2,22.5,133.5,74.81818182,30.77272727,34.125,27.33333333,47,32.09090909,41.2
"ABCC6P1",13.2,10.5,12.8125,11.18181818,11,11.125,11,11,11.27272727,13.6
"ABCC8",33.8,42,49.75,37,39.86363636,33.625,38.33333333,45.83333333,41.72727273,30.4
"ABCC9",28,19,25.25,20.54545455,22,37.625,21,22.5,22.27272727,26
"ABCD1",103.4,124,168.5625,310.3636364,107.0909091,92.75,92.33333333,73.16666667,108.3636364,80
