"gene_symbol","Neutrophils","T_cells_Gamma_Delta","Monocytes","Macrophages","T_cells_CD4.","Fibroblasts","Keratinocytes","Blood_CD34._cells","Vascular_Endothelial_Cells","Platelets"
"A1BG",27.625536,31.036041,36.252441,33.489369,33.304441,46.076944,28.462225,33.051001,31.460881,32.821441
"A1BG-AS",29.16,29.571844,31.899904,31.483321,30.503529,33.212169,26.646244,29.528356,26.8324,39.212644
"A1CF",27.573001,22.477081,25.090081,26.853124,24.423364,23.697424,25.532809,23.961025,23.804641,27.573001
"A2LD1",21.233664,26.265625,23.512801,24.671089,23.590449,25.130169,26.183689,23.726641,25.431849,25.441936
"A2M",25.867396,23.454649,27.196225,53.523856,24.216241,29.365561,22.857961,27.931225,45.104656,33.1776
"A2ML1",18.113536,15.397776,16.6464,16.752649,16.524225,16.128256,63.568729,16.088121,15.713296,17.698849
"A4GALT",39.513796,37.380996,41.9904,39.879225,37.896336,44.983849,38.539264,37.675044,48.8601,52.635025
"A4GNT",18.429849,20.205025,18.974736,20.061441,18.8356,18.464209,17.994564,18.49,17.4724,18.939904
"AAA1",19.554084,16.573041,17.799961,17.673616,17.264025,16.630084,16.297369,16.581184,16.313521,17.5561
"AAAS",47.004736,60.808804,52.446564,52.606009,51.940849,55.279225,51.4089,52.113961,53.392249,57.441241
"AACS",35.5216,69.438889,42.837025,49.252324,55.771024,63.968004,84.768849,60.715264,72.386064,41.499364
"AACSP1",13.097161,12.229009,13.264164,12.952801,12.559936,12.475024,12.759184,12.574116,12.866569,13.9876
"AADAC",22.886656,20.575296,22.316176,22.8484,20.439441,20.412324,44.209201,20.903184,25.090081,24.750625
"AADACL2",10.478169,10.6929,10.673289,10.962721,10.24,10.413529,61.074225,10.653696,10.208025,11.377129
"AADAT",29.116816,23.707161,26.204161,27.029601,25.938649,45.535504,28.8369,33.535681,30.946969,21.762225
"AAGAB",37.675044,43.059844,39.576681,38.044224,40.921609,39.69,41.7316,40.030929,37.295449,37.161216
"AAK1",32.970564,34.515625,33.074001,34.327881,40.921609,32.012964,30.924721,30.935844,30.514576,30.316036
"AAMP",65.221776,77.933584,74.684164,76.143076,68.923204,74.046025,79.780624,68.674369,72.369049,60.186564
