AGENE	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
7SK	0	0.0003577391	0.0002677615	0.0002332362	0	0.0009253139	0.0007277138	0.0004328068	0.000083703
A1BG	0.1042944785	0.0507989506	0.039628704	0.0793002915	0.0402067777	0.0424322538	0.0198908429	0.1296256222	0.1373566586
A1BG-AS1	0.0032719836	0.0110899118	0.0069617994	0.0058309038	0.0064139383	0.0087243886	0.0024257126	0.0099545553	0.0133924835
A2M	0.0008179959	0	8.92538379150304E-005	0.0002332362	0	0	0.0001212856	0	0
A2M-AS1	0.000408998	0.0001192464	0.0010710461	0.0017492711	0.0005743825	0.0007931262	0.0044875682	0.0021640338	0.000083703
A2ML1	0	0	0	0	9.57304231284702E-005	0	0.0001212856	0	0
A2ML1-AS1	0	0	0	0	0	0	0	0	0.000083703
A4GALT	0	0.0002384927	0	0	0	0	0	0	0
AAAS	0.0155419223	0.0255187217	0.0351660121	0.0240233236	0.0387708214	0.0290812954	0.0326258338	0.0295390608	0.0314723362
AACS	0.0028629857	0.0025041736	0.0049982149	0.004664723	0.0042121386	0.0043621943	0.0048514251	0.0053018827	0.0044362601
AAED1	0.0167689162	0.0194371572	0.0186540521	0.0205247813	0.0075627034	0.0245869134	0.0281382656	0.0227223545	0.0067799448
AAGAB	0.0085889571	0.0113284045	0.0222242056	0.0166763848	0.0137851809	0.0171844019	0.0317768344	0.0155810431	0.0135598895
AAK1	0.0396728016	0.0033388982	0.0587290253	0.0816326531	0.0737124258	0.0695307336	0.1835051546	0.1007357715	0.0708127563
AAMDC	0.0216768916	0.0076317672	0.0166904677	0.0227405248	0.0139766418	0.0128222075	0.0300788357	0.0200173123	0.0157361681
AAMP	0.0666666667	0.0559265442	0.0851481614	0.067638484	0.0725636607	0.0609385327	0.1044269254	0.0583207098	0.0647861388
AANAT	0	0.0002384927	0	0	0	0	0.0006064281	0.0001082017	0.000083703
AAR2	0.008997955	0.0091819699	0.0257943592	0.015393586	0.0196247367	0.018902842	0.0257125531	0.0179614802	0.0148991379
AARD	0	0	0.0002677615	0	0	0.0001321877	0.0013341419	0	0
AARS	0.0036809816	0.0053660863	0.0116029989	0.0083965015	0.011774842	0.0111037673	0.0134627047	0.0077905215	0.0079517871
AARS2	0.0016359918	0.0042928691	0.0028561228	0.0026822157	0.0035420257	0.0035690681	0.0049727107	0.0028132439	0.0028459027
AARSD1	0.0098159509	0.0246839971	0.02534809	0.0221574344	0.030538005	0.0284203569	0.0229229836	0.0275914304	0.0261153428
AASDH	0.0028629857	0.0131170999	0.0090146376	0.0097959184	0.008137086	0.0084600132	0.02995755	0.015256438	0.0101280656
AASDHPPT	0.0110429448	0.0232530408	0.0430203499	0.027755102	0.0328355351	0.0323859881	0.0593086719	0.0349491452	0.0279568092
AASS	0	0.0016694491	0.0007140307	0.0005830904	0.0004786521	0.0005287508	0.0003638569	0.0010820169	0.0006696242
AATF	0.0220858896	0.0468638207	0.084791146	0.0710204082	0.0667241049	0.068473232	0.0943602183	0.0651374161	0.0554114004
AATK	0.0049079755	0.0001192464	8.92538379150304E-005	0.0005830904	0.0001914608	0.0007931262	0.0021831413	0.0003246051	0
AB019440.50	0	0.0001192464	0	0	0	0	0	0	0
ABAT	0.0057259714	0.0067970427	0.0029453767	0.0029154519	0.0027761823	0.003172505	0.0031534263	0.0022722354	0.0020088725
ABCA1	0.0024539877	0.0028619127	0.0001785077	0.0006997085	0	0.0001321877	0	0.0001082017	0
ABCA10	0	0.0002384927	0	0	9.57304231284702E-005	0	0.000970285	0.0002164034	0.0002511091
ABCA2	0.0044989775	0.0020271882	0.0033916458	0.0101457726	0.0013402259	0.0048909451	0.0230442693	0.0108201688	0.0058592115
ABCA3	0.0012269939	0.0002384927	0.0007140307	0.0027988338	0.0005743825	0.0011896894	0.0037598545	0.0022722354	0.0005022181
ABCA4	0	0	0	0	0	0	0.0001212856	0	0
ABCA5	0.000408998	0.0048891009	0.0037486612	0.0057142857	0.0033505648	0.0042300066	0.0121285628	0.004869076	0.0056081025
ABCA6	0.0012269939	0.0001192464	8.92538379150304E-005	0	9.57304231284702E-005	0.0001321877	0	0.0001082017	0
ABCA7	0.0384458078	0.0131170999	0.0091038915	0.0179591837	0.0118705725	0.0092531395	0.0087325652	0.0162302532	0.0143132167
ABCB1	0	0.0048891009	0.0016958229	0.00303207	0.0013402259	0.0015862525	0.0350515464	0.0087643367	0.004017745
ABCB10	0.0012269939	0.0015502027	0.0028561228	0.0026822157	0.0011487651	0.0021150033	0.0049727107	0.0027050422	0.0025110907
ABCB11	0	0	0	0.0001166181	0	0	0	0	0
ABCB4	0.000408998	0.0397090389	0	0	0	0	0.0001212856	0	0
ABCB5	0	0.0001192464	0	0	0	0	0	0.0001082017	0
ABCB6	0	0.0001192464	0	0.0001166181	0.0001914608	0.0001321877	0	0.0001082017	0.0003348121
