"gene_symbol","B_cells","NK_cells","T_cells_CD4.","Monocytes"
"A1BG",36.252441,29.289744,33.304441,36.252441
"A1BG-AS",37.027225,26.604964,30.503529,31.899904
"A1CF",21.409129,23.794884,24.423364,25.090081
"A2LD1",23.155344,25.8064,23.590449,23.512801
"A2M",22.335076,23.551609,24.216241,27.196225
"A2ML1",15.928081,15.864289,16.524225,16.6464
"A4GALT",42.458256,34.234201,37.896336,41.9904
"A4GNT",18.4041,18.861649,18.8356,18.974736
"AAA1",16.548624,17.673616,17.264025,17.799961
"AAAS",53.4361,45.091225,51.940849,52.446564
"AACS",53.056656,62.473216,55.771024,42.837025
"AACSP1",13.111641,12.159169,12.559936,13.264164
"AADAC",20.921476,19.731364,20.439441,22.316176
"AADACL2",10.556001,10.614564,10.24,10.673289
"AADAT",24.433249,26.071236,25.938649,26.204161
"AAGAB",40.208281,44.662489,40.921609,39.576681
"AAK1",24.860196,39.413284,40.921609,33.074001
"AAMP",69.2224,69.7225,68.923204,74.684164
"AANAT",16.136289,15.108769,15.9201,16.597476
"AARS",79.977249,76.667536,86.583025,70.408881
"AARS2",52.722121,49.928356,52.027369,42.016324
"AARSD1",30.625156,27.857284,28.6225,25.654225
"AASDH",52.056225,52.925625,52.316289,45.589504
"AASDHPPT",47.499664,54.375876,50.466816,46.036225
"AASS",20.3401,19.580625,17.438976,15.295921
"AATF",85.3776,79.655625,85.581001,80.928016
"AATK",47.361924,50.069776,49.112064,59.660176
"ABAT",42.797764,42.810849,44.635761,41.177889
"ABCA1",31.404816,19.669225,20.820969,41.757444
"ABCA11P",31.979025,25.310961,29.398084,19.456921
"ABCA12",11.881809,11.519236,11.478544,11.390625
"ABCA13",8.904256,8.573184,8.720209,8.952064
"ABCA17P",18.190225,17.9776,21.483225,15.745024
"ABCA2",30.459361,32.205625,31.685641,29.986576
"ABCA3",37.920964,38.514436,38.526849,34.739236
"ABCA4",19.307236,19.527561,20.268004,20.647936
"ABCA5",35.988001,35.438209,35.952016,21.187609
"ABCA6",27.952369,12.802084,13.293316,15.824484
"ABCA7",65.755881,53.29,58.476609,49.942489
"ABCA8",16.136289,15.555136,15.888196,16.467364
"ABCA9",17.172736,14.607684,14.122564,14.830201
"ABCB1",28.398241,54.582544,30.448324,19.123129
"ABCB10",63.234304,74.4769,66.243321,52.969284
"ABCB11",14.845609,14.356521,14.876449,15.4449
"ABCB4",62.995969,16.540489,17.715681,19.342404
"ABCB5",15.108769,15.515721,15.3664,15.960025
"ABCB6",35.784324,30.041361,34.880836,32.251041
"ABCB7",67.24,61.042969,61.984129,60.855601
"ABCB8",33.616804,30.129121,32.672656,31.304025
"ABCB9",26.286129,22.781529,25.867396,26.842761
"ABCC1",61.544025,54.375876,63.0436,64.899136
"ABCC10",54.819216,60.668521,66.487716,50.154724
"ABCC11",19.342404,20.894041,21.270544,21.855625
"ABCC12",14.730244,15.0544,14.853316,15.147664
"ABCC13",16.1604,15.303744,16.507969,16.711744
"ABCC2",26.790976,22.629049,23.7169,23.833924
"ABCC3",26.988025,27.920656,28.111204,40.462321
"ABCC4",21.0681,22.733824,23.629321,22.905796
"ABCC5",35.664784,38.887696,37.564641,34.916281
"ABCC6",18.601969,17.757796,18.447025,25.431849
"ABCC6P1",12.489156,12.229009,12.131289,12.902464
"ABCC8",26.460736,25.969216,26.9361,27.751824
"ABCC9",14.235529,14.8996,14.130081,14.356521
"ABCD1",25.877569,25.331089,26.296384,31.516996
"ABCD2",10.575504,11.042329,15.233409,10.036224
"ABCD3",49.787136,58.262689,52.142841,43.678881
"ABCD4",40.500496,39.287824,40.666129,35.952016
"ABCE1",77.633721,72.488196,75.116889,65.480464
"ABCF1",79.21,81.920601,81.144064,75.498721
"ABCF2",47.018449,42.25,49.8436,42.419169
"ABCF3",55.428025,50.339025,49.547521,52.8529
"ABCG1",46.131264,36.578304,42.471289,41.011216
"ABCG2",19.018321,26.409321,23.396569,20.088324
"ABCG4",28.206721,27.029601,28.826161,30.569841
"ABCG5",14.853316,15.038884,15.139881,15.085456
"ABCG8",18.498601,18.645124,18.386944,18.774889
"ABHD1",23.107249,22.024249,24.571849,24.980004
