HD30_PBMC_0	HD30_PBMC_1	HD30_PBMC_3	HD30_PBMC_7	HD31_PBMC_0	HD31_PBMC_1	HD31_PBMC_3	HD31_PBMC_7
A1BG	7.556744470875	10.85856934	10.128330454875	10.8744371	9.68187534775	10.054773573875	10.214664415875	10.5434955775
A1BG-AS1	8.59299786825	9.491028761625	8.46288634075	8.265692378375	9.683800264625	10.81842657375	9.33032056125	9.896079552375
A1CF	0.04102850325	0.036546939	0.037675992375	0	0.021709789875	0	0.075210317375	0.093844810875
A2M	1.150687184875	1.249304510375	1.20250536875	1.3617539605	1.58053188675	1.115252348	1.240699520875	1.2151241725
A2M-AS1	1.5399384055	1.46832481425	1.904275735625	1.669891181375	1.637328871875	2.517137449625	1.874086446	2.31938324125
A2ML1	2.09641032675	1.544496564625	2.343266115875	1.518540137125	1.4911644555	2.192649337875	2.16266231125	2.13212464975
A4GALT	0.0876940649375	0	0.0394980126875	0	0.02209854275	0	0	0.046569332375
A4GNT	0.0523875725	0.0486592651875	0.050648835125	0.10087010175	0.0302050585	0.11295475875	0.0895432948125	0
AAAS	43.52942709375	47.794010175	44.36079613875	46.78580866375	48.11570796625	44.23724712	46.0949494575	49.69364781125
AACS	8.336776392125	10.189116257625	9.946891699125	10.62243062125	8.066769681125	8.63108654425	8.140444631375	8.85149626675
AADAC	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0
AADACL3	0.069436581125	0.041586479	0.04272872025	0	0.00204368075	0.024664952375	0.047781437625	0.024313083625
AADACL4	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0
AADAT	0.097967603375	0.11357889375	0.0783445215	0.080348880375	0	0.151454678625	0	0.143846628375
AAED1	11.17042685625	13.60841687375	13.07034460875	11.73250565	12.0655703575	15.07411965375	11.63457157625	11.6789848875
AAGAB	24.39823695625	23.3927141525	25.4453309775	25.0861611225	26.44976536125	25.9897150225	23.718711	24.06932380375
AAK1	64.019919625	55.65943152375	64.82844644	64.67801184625	49.63960101625	58.78868456875	63.6574756775	60.6249111125
AAMDC	21.92061469375	21.90353382	20.64202849125	22.37685668625	19.054228055	19.81554295625	18.2980257575	17.4726772225
AAMP	92.95202860625	112.1549180875	93.51349712125	99.88968359875	88.38456110375	91.268252355	90.59036643875	96.65893298375
AANAT	2.958971705375	4.23080026825	1.735633386625	2.06229911775	5.986699985625	4.719709298625	3.93288964425	3.189619535875
AAR2	25.21334691	26.95049942875	23.8785737025	22.3314717425	23.82276182	21.81013852125	25.2815078025	26.20001066375
AARD	1.194150141375	1.027488555875	1.379309248625	1.316827152875	1.503919360375	1.759397081875	1.436478169375	1.134547766875
AARS	28.82060699875	33.65306233625	28.0423455	33.45779013125	29.51157721875	29.3132605075	28.6808502025	32.03875226875
AARS2	11.6512914975	13.42062296375	12.3400235725	13.96966548	11.8785979425	11.3836161975	12.41568124	12.52142305875
AARSD1	36.55296814375	40.4524329475	39.78476135375	45.2615139775	42.8664148625	42.8766755275	38.20584728875	41.7770331
AASDH	11.23238925625	10.482607282375	12.37121681	12.08459485125	12.26008456625	14.0802427725	13.84766737625	11.71910703875
AASDHPPT	24.32700938375	20.2244339725	23.97830302875	18.31779382375	20.2024503725	22.1902413975	24.132437125	20.57174071
AASS	3.760856429875	2.992449376125	3.510813905375	4.03332190475	4.176774357625	5.074966285	4.354319585375	4.3249808585
AATBC	32.04466472875	44.8814265325	25.9897150225	31.60504970875	30.07762659625	25.2600372875	32.28047044	26.9063018925
AATF	46.55696626	48.47499199375	44.8814265325	50.43495277375	45.7595962525	45.5322518375	46.49850246875	45.797356945
AATK	5.821631919375	6.78503837675	4.32943915175	4.429294924625	8.92907970775	5.78684634075	7.506128940625	7.899040942875
AATK-AS1	0	0.058874954625	0.057839211625	0	0	0.0683984055	0	0.065762782125
ABAT	11.31309309	11.3874429025	9.599554792125	9.244260321875	11.5688335875	10.22762436025	11.58516498875	11.46937689625
ABCA1	2.680266804	3.212333222	2.393170390375	2.246558216125	2.992449376125	2.403580287	2.60240448125	1.880570360125
ABCA10	1.5027914	1.0925128845	1.550946016125	1.423904923	1.257539172875	1.42957133	0.72596108275	1.209357691125
ABCA11P	4.93233008625	3.55375139875	4.599584851	3.641433108125	6.14712890875	5.552406181125	6.00819744525	4.973510909125
ABCA12	0	0	0	0	0.00094399	0.023065094625	0.040018006375	0
ABCA13	1.171384372125	0.898200624125	1.063578870625	1.221594423	1.194150141375	1.11601248625	1.196516692375	1.347134826625
ABCA17P	0.6349267795	0.358174116125	1.611722334875	0.854498676125	1.096625350125	1.0614555755	0.492577273875	0.333497821375
ABCA2	57.442375675	62.0787206425	57.5470903875	57.67582649875	39.759019765	35.00995462	40.6733446625	49.070793205
ABCA3	4.433219191	5.3465145135	4.986692400125	5.641450382875	4.654962555	4.233079350125	4.647196458125	4.70330394925
ABCA4	0.032388198875	0.030866869625	0.0189309265	0.044737668875	0.07291231525	0.01604962675	0	0
ABCA5	11.72149456625	8.12290728625	10.87144099625	12.40695552	10.15570101675	11.604059095	9.76492257125	9.63110733125
ABCA6	0.534995292875	0.5031637445	0.62582522325	0.35748197475	0.44525878825	0.812787627875	0.720954460875	0.472383406875
ABCA7	141.569814	154.490497375	153.0202368	186.329154425	150.1057459875	138.07910595	165.110060075	179.531954725
ABCA8	4.62476704375	3.426483233625	4.07136490925	4.136404039625	4.158144655625	3.860665687	3.607381695875	3.479902762125
ABCA9	4.772338231125	3.234542546875	4.57995597275	3.41288717425	4.150119556875	4.286200230375	3.27977938825	3.711768697625
