ascites_7873_1	ascites_7873_2	ascites_7882_1	ascites_7882_2	ascites_7892_1	ascites_7892_2
A1BG	4.02949666666667	4.40208833333333	3.68584	5.55584333333333	5.56358	4.534215
A1CF	0.0660594333333333	0.102297633333333	0.0240025833333333	0.111283483333333	0.0803746666666667	0.0504826833333333
A2M	114.1715	114.533333333333	41.1104166666667	42.72665	35.2118166666667	43.2231333333333
A2ML1	1.0950705	0.90791	0.664395333333333	0.5998665	0.900323666666667	0.548144333333333
A2MP1	0.328917	0.650137	0.215835833333333	0.23196	0.604432	0.779980833333333
A3GALT2	0.215275166666667	0.0773298	0	0.134501016666667	0.1292554	0
A4GALT	0.141564683333333	0.255133833333333	0.3802205	1.14425533333333	0.339124666666667	0.583730666666667
A4GNT	0.1940335	0.11835325	0.0649088	0	0.0625642333333333	0.102956316666667
AAAS	24.3758833333333	26.7325166666667	35.3891833333333	30.22015	26.8862833333333	27.05225
AACS	23.6273833333333	23.0589	26.64355	26.57285	33.9044833333333	27.5219833333333
AACSP1	0.230277	0.3448965	0.273096833333333	0.364082833333333	0.322114166666667	0.330505166666667
AADAC	1.81742	0.986565333333333	0.681083	1.14715533333333	0.8985875	1.80635166666667
AADACL2	0.0861789166666667	0	0.0592796333333333	0.110985483333333	0.00595696666666667	0.05179195
AADACL3	0.156822333333333	0.0312468166666667	0.0425902666666667	0.0230669333333333	0.00406903333333333	0.014051105
AADACL4	0.139942616666667	0.132587416666667	0.0753262	0	0.0447375	0.0118643166666667
AADACP1	1.088899	0.9959275	0.189251333333333	0.985593	0.352598833333333	0.453490833333333
AADAT	7.21581333333333	4.67184833333333	5.971725	7.13925833333333	5.92969166666667	8.99762833333333
AAED1	38.38805	31.9960666666667	21.6316333333333	22.8712166666667	17.6214166666667	26.17225
AAGAB	58.5032	52.9872166666667	42.9877333333333	51.1014333333333	49.6051333333333	53.2181333333333
AAK1	21.0540833333333	21.67875	11.9000433333333	13.0525	30.8993	12.4375666666667
AAMDC	33.3786666666667	40.77325	34.1462166666667	40.9429833333333	39.0834666666667	33.1884333333333
AAMP	48.66655	74.6366166666667	97.4734	101.8885	94.5107166666667	92.8799
AANAT	0.575766166666667	0.419570333333333	0.1907555	0.3982205	0.243901333333333	0.321382666666667
AAR2	22.5006	24.9480666666667	25.0205833333333	30.0944666666667	25.5670833333333	26.9651333333333
AARD	2.30169833333333	2.70346166666667	3.86610833333333	3.63963166666667	3.22346	3.984885
