MADD	ENSG00000110514
MAST2	ENSG00000086015
ZNF32	ENSG00000169740
LOC100129138	ENSG00000215869
MIR4720	ENSG00000261609
LDB2	ENSG00000169744
LINC01356	ENSG00000215866
PRSS46	ENSG00000261603
HIST1H1E	ENSG00000168298
LURAP1L	ENSG00000153714
MIR2392	ENSG00000266461
PDHB	ENSG00000168291
LOC105379699	ENSG00000226454
MRPL49	ENSG00000149792
CDC42EP2	ENSG00000149798
RGPD6	ENSG00000183054
LOC102546229	ENSG00000250564
ATP6V1E2	ENSG00000250565
KLHL17	ENSG00000187961
TEKT3	ENSG00000125409
ZCCHC13	ENSG00000187969
DBET	ENSG00000281591
WDR64	ENSG00000162843
KIF26B	ENSG00000162849
KLHL35	ENSG00000149243
SEPT5-GP1BB	ENSG00000184702
EIF4ENIF1	ENSG00000184708
LRRC26	ENSG00000184709
TRIM46	ENSG00000163462
KRTCAP2	ENSG00000163463
CXCR1	ENSG00000163464
ARPC2	ENSG00000163466
TSACC	ENSG00000163467
CCT3	ENSG00000163468
NFIA	ENSG00000162599
C1orf87	ENSG00000162598
CCDC27	ENSG00000162592
MEGF6	ENSG00000162591
BCLAF1	ENSG00000029363
DIRAS3	ENSG00000162595
IL23R	ENSG00000162594
VAMP8	ENSG00000118640
CYP3A43	ENSG00000021461
MIR3185	ENSG00000263602
OR3A3	ENSG00000159961
LOC102467222	ENSG00000253147
ACTR1B	ENSG00000115073
LOC101928909	ENSG00000259163
RGS21	ENSG00000253148
EMP2	ENSG00000213853
KCTD11	ENSG00000213859
MIR6726	ENSG00000278073
SZRD1	ENSG00000055070
OTOA	ENSG00000155719
LRP5	ENSG00000162337
PDZD9	ENSG00000155714
RTKN2	ENSG00000182010
PNMAL1	ENSG00000182013
LOC101929595	ENSG00000245293
KIAA1324L	ENSG00000164659
CALML5	ENSG00000178372
SP8	ENSG00000164651
MIOS	ENSG00000164654
MOB1A	ENSG00000114978
CFAP99	ENSG00000206113
MAML1	ENSG00000161021
LOC101928063	ENSG00000266921
CRIP1	ENSG00000257341
TIAL1	ENSG00000151923
LOC101927735	ENSG00000256699
LOC105369332	ENSG00000256690
ARMC3	ENSG00000165309
MELK	ENSG00000165304
SLITRK5	ENSG00000165300
MYL12A	ENSG00000101608
MYOM1	ENSG00000101605
ZNF778	ENSG00000170100
CNOT7	ENSG00000198791
TMEM184B	ENSG00000198792
MTOR	ENSG00000198793
SCAMP5	ENSG00000198794
ZNF521	ENSG00000198795
ZNF81	ENSG00000197779
BRINP2	ENSG00000198797
MAGEB3	ENSG00000198798
LRIG2	ENSG00000198799
DRAP1	ENSG00000175550
LINC01516	ENSG00000231422
LONRF3	ENSG00000175556
MCMBP	ENSG00000197771
DSE	ENSG00000237021
FAM171A2	ENSG00000161682
MIR3196	ENSG00000266463
LOC541472	ENSG00000179428
KLHL20	ENSG00000076321
TOB2	ENSG00000183864
CNGA2	ENSG00000183862
MIR6891	ENSG00000277402
SEMA6B	ENSG00000167680
MOCS3	ENSG00000124217
STAU1	ENSG00000124214
CDH26	ENSG00000124215
PTGIS	ENSG00000124212
TWF2	ENSG00000247596
SPTY2D1-AS1	ENSG00000247595
RPL26	ENSG00000161970
CCDC42	ENSG00000161973
TMPRSS4-AS1	ENSG00000255274
ABCC6P2	ENSG00000255277
UBE2J2	ENSG00000160087
TBC1D23	ENSG00000036054
HS3ST1	ENSG00000002587
CD99	ENSG00000002586
RPS27	ENSG00000177954
BET1L	ENSG00000177951
RPL23A	ENSG00000198242
TMEM75	ENSG00000280055
LOC101928358	ENSG00000237863
SLC29A3	ENSG00000198246
SLC19A3	ENSG00000135917
ITM2C	ENSG00000135916
HTR2B	ENSG00000135914
USP37	ENSG00000135913
TTLL4	ENSG00000135912
HECTD1	ENSG00000092148
PEX3	ENSG00000034693
SERPINE2	ENSG00000135919
PSMG3-AS1	ENSG00000230487
EID2	ENSG00000176396
CRLF3	ENSG00000176390
RNPEP	ENSG00000176393
DMRTA1	ENSG00000176399
