GenSymb	LAU125_FPKM	LAU355_FPKM	LAU1255_FPKM	LAU1314_FPKM
TSPAN6	30.83	1.33	18.5	1.83
TNMD	0	0.01	0	0
DPM1	38.06	40.01	35.63	48.49
SCYL3	4.84	12.72	4.4	13.53
C1orf112	4.88	4.13	3.36	5.96
FGR	2.06	32.45	14.69	25.46
CFH	8.16	1.92	2.84	2.05
FUCA2	69.32	14.9	25.09	12.6
GCLC	15.75	28.8	16.98	24.69
NFYA	21.72	19.17	13.42	26.06
STPG1	18.62	3.86	5.08	3.76
NIPAL3	20.44	13.69	12.39	11.09
LAS1L	13.18	18.6	13.05	19.75
ENPP4	0.21	5.39	2.29	7.87
SEMA3F	0.08	0.02	0.71	0.03
CFTR	0	0	0.01	0
ANKIB1	40.09	20.18	17.75	22.16
CYP51A1	43.37	9.85	13.77	5.8
KRIT1	44.39	15.81	11.95	20.77
RAD52	3.69	3.07	2.33	4.01
BAD	3.18	3.43	2.59	2.97
LAP3	36.84	47.15	117.16	36.95
CD99	432.4	150.54	267.72	196.93
HS3ST1	0.42	0.69	0.3	1.24
AOC1	0.08	0.64	0	2.07
WNT16	0.05	1.33	0.11	2.21
HECW1	0.61	0.06	0	0.02
MAD1L1	28.52	13.61	10.45	16.75
LASP1	43.36	62.09	70.69	78.69
SNX11	5.81	13.66	6.78	13.09
TMEM176A	12.96	16.25	23.11	4.02
M6PR	53.5	84.64	97.35	103.58
KLHL13	2.2	0.22	0.27	0.17
CYP26B1	0.06	0	0.11	0.01
ICA1	0.38	7.97	6.44	11
DBNDD1	2.98	1.94	10.71	2.38
ALS2	17.83	6.87	16.36	7.28
CASP10	0.92	6.84	4.06	5.35
CFLAR	17.23	59.92	60.83	56.62
TFPI	116.99	2.08	2.02	2.8
NDUFAF7	11.36	12.69	10.61	16.45
RBM5	77.96	71.56	55.66	92.29
MTMR7	0.54	0.35	0.07	0.41
SLC7A2	0.89	0.02	0.01	0.04
ARF5	65.88	64.93	61.18	64.06
SARM1	0.46	0	0.06	0.21
POLDIP2	50.79	29.67	20.12	28.56
PLXND1	127.3	14.34	25.02	6.8
AK2	158.56	90.56	169.19	96.37
CD38	0.49	17.24	24.9	27.93
FKBP4	43.76	15.37	31.63	21.11
KDM1A	71.07	30.4	37.15	43.93
RBM6	39.06	90.95	42.27	83.88
CAMKK1	0.64	1.84	0.63	1.69
RECQL	16.59	25.02	20.25	35.7
VPS50	23.38	15.6	9.5	13.59
HSPB6	39.69	0.04	0.04	0.01
ARHGAP33	0.34	0.73	0.59	0.74
