Symbol	Monocytes_CD14+CD16-	Dendritic_cells_(BDCA1+)	Dendritic_cells_(BDCA3+)	Dendritic_cells_(plasmacytoid+)	T.cells_(CD4+)	T.cells_(CD8+)	NK.cells	Neutrophils	B.cells
A1BG	161.875	114.1666667	94.5	171.3333333	100.1363636	125.0769231	122.75	75	127.75
A1CF	43.6875	30.41666667	28.83333333	32.33333333	39.04545455	50.34615385	32.91666667	34.8	46.25
A2BP1	42.625	44.66666667	45	41.5	31.90909091	42	33.16666667	40.8	46
A2LD1	57.5	50.58333333	49.83333333	33	42.04545455	47.53846154	58.58333333	35.4	39
A2M	33.4375	81.75	84.33333333	45.83333333	32.86363636	46.15384615	16.16666667	23	46.75
A2ML1	13.75	14.91666667	14.41666667	15.66666667	12.86363636	14.65384615	14.33333333	15.2	15
A4GALT	107.4375	146.3333333	138.25	139.8333333	86.72727273	102.2307692	112	168	175.25
A4GNT	30.9375	24.5	23.91666667	26	29.13636364	30.76923077	30.25	26.6	34.25
AAA1	36.375	21.66666667	27.08333333	21.16666667	28.22727273	36.46153846	24.16666667	28	29.25
AAAS	263.625	326.6666667	375.8333333	269.1666667	224.3181818	180.8076923	80.16666667	190.4	413.25
AACS	102.25	198.25	253.75	563	144.4090909	111.5	208.25	96	57.25
AACSL	13.5625	14	13.75	12.83333333	11.54545455	12.88461538	10.91666667	18.4	18.5
AADAC	38.375	35.08333333	31.41666667	31.83333333	30.18181818	35.80769231	24.08333333	44.4	63.75
AADACL2	10.4375	10.75	10.33333333	9.833333333	9.727272727	10.03846154	9.833333333	10.8	10
AADAT	23.5	18.33333333	20.58333333	16.33333333	20.40909091	24.61538462	23.83333333	22.4	29
AAGAB	112	104.4166667	106.25	107.3333333	95.09090909	128.3846154	258.5833333	114.4	103.75
AAK1	93.4375	94.08333333	72.58333333	68.33333333	139.5454545	137.1153846	77.83333333	126.6	96.5
AAMP	430.875	550.8333333	443.3333333	449.1666667	315.9545455	198.5769231	332.0833333	175	210
AANAT	18	17.91666667	14.33333333	15.66666667	14.90909091	15.19230769	19.08333333	16.4	15
AARS	273.3125	527.25	568.6666667	527.8333333	427.2727273	275.5769231	124.0833333	118.2	447
AARS2	102.4375	115.1666667	129.75	139.8333333	113.0909091	108.5769231	110.6666667	91.6	100.5
AARSD1	124.5625	211.5833333	252.5833333	302.5	130.2272727	173.3461538	171.1666667	46.2	166.25
AASDH	336.625	74.33333333	90.16666667	143.5	262.4545455	724.0384615	320.6666667	69.6	698.5
AASDHPPT	445	362.3333333	403.75	492.3333333	348.2272727	765.5769231	660.5833333	164.2	812.5
AASS	12.25	12.83333333	12.08333333	14	20.18181818	18.73076923	25.25	13.2	26.25
AATF	494.3125	830.8333333	845.6666667	828	517.6818182	348.0769231	413.6666667	580.8	370.75
AATK	173.0625	100.9166667	108.8333333	76.33333333	81.77272727	118.9615385	151.8333333	269.8	139.5
ABAT	163.3125	255.1666667	275.8333333	97.5	103.6363636	50.57692308	96.33333333	449.8	31.5
ABCA1	200.9375	113.5833333	138.9166667	214.5	75.40909091	187.5384615	43.58333333	756.8	225.5
ABCA11P	20.5625	24.33333333	26.91666667	29.66666667	57.04545455	36.38461538	22	21	52.5
ABCA12	8.5	10.5	10.5	9.666666667	8.681818182	8.692307692	8.166666667	8.6	9.25
ABCA13	8.1875	8.333333333	7.833333333	7.666666667	10.68181818	11.5	7.666666667	8.2	7.25
ABCA17P	12.875	13.83333333	13.66666667	15.5	17.45454545	13.57692308	18.33333333	13.6	14.5
ABCA2	49.6875	56.25	56.66666667	55	65.18181818	49.23076923	69.58333333	59.4	54
ABCA3	88.8125	113.5833333	147.5833333	96	90.54545455	84.84615385	155.4166667	110.8	105.5
ABCA4	45.4375	33.58333333	30.16666667	30.5	40.90909091	49.65384615	31.75	39	50
ABCA5	34.125	88.5	204.3333333	475.1666667	241.1363636	155.3461538	371.1666667	116.2	54.75
ABCA6	14.6875	16.75	25.58333333	45.66666667	11.95454545	13.53846154	10.91666667	14	15.75
ABCA7	181.25	378.4166667	300.6666667	634.1666667	235.5454545	106.7692308	376.4166667	381.2	129
ABCA8	10.0625	9.583333333	9.166666667	9.666666667	9.045454545	9.461538462	10	11.2	9.25
ABCA9	18.9375	16.75	20.08333333	16.5	17	20.80769231	11.91666667	21.4	27.75
ABCB1	15.125	15.25	13.25	19.33333333	63.22727273	297.1923077	317.1666667	19.2	34.25
ABCB10	175.1875	372.75	344.5	402	280.5454545	127.1153846	298.8333333	47	35.25
