Gene symbol	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	Plasma cells	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	Dendritic cells resting	Dendritic cells activated	Eosinophils
ABCB4	555.7134486	10.744235	6.202495893	13.68283856	4.556712661	14.90688846	4.605860048	7.406441697	8.043975587	4.311280198	7.951360487	27.55771004	121.4322774	4.72798535	34.11365858	7.225818568	6.469992914	7.833081747	9.312294624	114.6367466	4.872184408	15.03053048
ABCB9	15.6035437	22.09478724	20.30942573	21.8637228	16.39614273	33.67914681	35.67150717	30.04819243	38.45542286	24.22372293	56.25188749	29.38087813	40.39026017	53.46675672	23.61574571	653.3923279	17.60479495	46.07365684	19.71572161	123.9933055	23.38460308	29.78644179
ACAP1	215.3059512	321.6210208	190.8790244	512.636909	387.5817422	596.0259609	1790.09717	922.1527467	340.8834245	1055.613378	48.97221651	30.97425375	23.05515036	104.2001984	73.60793243	38.61687228	1107.798265	1995.482601	280.0757192	61.38654966	26.41292251	696.4428018
ACHE	15.11794931	16.64884729	16.37526833	16.65373849	13.44126834	22.76649356	27.18773248	18.44492663	13.44126834	13.42828841	13.6929629	1373.06962	48.58576071	13.9487779	20.50124852	22.12373672	14.80554182	24.65271196	33.65844838	16.71547355	193.1599772	40.41492672
ACP5	605.8973843	1935.201479	512.9313823	340.8201368	239.2770679	307.1427978	744.6565995	557.8198203	248.5469318	306.3125193	13644.1723	1062.475909	7633.960182	263.4979304	323.3812772	1120.104684	711.9497439	958.9160181	493.96912	13825.05363	3989.865169	860.5633739
ADAM28	1943.742699	1148.120138	58.3112027	193.6093922	94.40581808	128.6860657	40.06171311	21.23331069	15.20961988	22.6897181	54.96648703	274.639997	360.6820442	137.8536284	116.8795038	324.7808001	24.28140623	74.76633501	24.37075223	37.29172579	53.21964861	546.0061574
ADAMDEC1	371.0335929	318.478799	106.301336	68.27758592	48.39924584	185.5059228	80.9645004	47.43351387	30.55297649	44.61628687	4464.262133	8524.022801	5004.969419	730.1921708	1569.761722	127.9674477	68.73789331	156.7076551	231.8272543	164.8412494	1784.613941	175.1699108
ADAMTS3	146.1955683	106.052311	54.79707074	31.43526856	50.81967419	124.3571431	79.24179515	57.38590645	53.41302407	42.39041586	45.56049098	32.34016681	33.35142773	650.1825865	406.2334876	74.3391695	35.41107579	76.28061758	65.26798809	48.69796983	44.22693487	100.7360208
ADRB2	486.3438163	510.0813396	664.8839501	1957.53925	2360.471299	735.6634863	77.15395496	595.2105488	142.8319114	899.6485015	143.0178779	787.6239741	363.1850058	4628.681578	2887.874236	289.7984504	97.17422647	217.0627702	2378.452129	175.6334734	82.9116614	1969.028818
AIF1	24.0742984	20.32185897	8655.680002	105.7345527	23.17042572	6260.640469	718.6147868	35.1722477	39.50876033	742.8158187	1841.269508	1611.228571	11610.29035	1851.124125	1672.630327	21.96957308	19.07768435	29.36703511	1086.959659	3285.640815	26.9238589	51.17646344
AIM2	327.9580556	4538.991046	536.1118999	87.22742351	134.4958651	794.2145572	57.08079673	250.2995803	3311.978393	294.4846139	181.9571	2965.888162	148.2845223	93.47144882	62.12545422	1429.674088	1115.681612	315.6458748	407.592905	176.9615884	907.0399616	117.5077056
ALOX15	12.23359461	13.75323798	9.800855372	30.17685432	9.776317635	30.06854621	18.5565618	12.00966261	5.239540575	9.774971658	6.621226619	5.412216318	430.3353048	11.13947086	10.6548502	9.073509293	13.15225266	22.38142497	14.4527592	2907.327994	30.34226562	355.2522822
ALOX5	1799.683549	2425.680554	1979.301155	157.0365044	121.9977952	2917.27138	74.93090365	132.0101224	59.08735916	78.68443963	788.5397751	83.30089783	248.3724724	641.1396907	590.9257381	190.3314674	35.00087493	143.0134329	441.5556233	118.4834954	73.10596198	1460.758519
AMPD1	263.7450621	217.7617272	98.2326067	59.1404365	60.67685001	173.7766404	68.66194527	85.31836726	68.46140597	66.1074899	76.54456664	62.39764428	59.95269372	56.2085768	75.44109945	3012.768061	53.95513652	79.26421174	114.0495383	89.21099812	60.64349611	118.498452
ANGPT4	23.12217296	21.31255675	16.91869965	9.380755775	26.17664299	34.7186708	22.06014827	44.47513375	99.59399622	44.68465936	39.33257003	21.218127	11.8097012	33.41141421	31.32955998	230.6806713	101.445586	29.46507768	29.2585845	17.89428495	12.01870358	14.81234386
ANKRD55	284.4126543	218.9158033	126.1078201	83.38527977	88.45957062	415.2425186	1853.335599	436.4203479	79.77497227	141.6981114	123.600429	96.20392388	48.55417359	153.2289329	104.3009962	117.2003668	1077.33032	123.8806106	176.2438812	108.0271283	133.5596277	1068.295022
APOBEC3A	102.4291739	89.60068607	2415.197908	253.3068151	132.2193618	5584.333309	107.2355131	52.73721382	57.78231649	64.35533705	85.2400852	4501.140479	148.7993403	71.9207859	33.35485521	99.59399622	71.37789026	36.39006843	723.1437605	107.913789	2637.278954	1137.484256
APOBEC3G	1283.451966	1135.293933	865.7405246	6314.770723	8895.302228	464.4412542	336.6456997	2340.674986	1540.772502	2090.85254	278.7681406	1036.993881	258.3004281	627.1314036	327.1943796	2034.562362	386.0535874	979.7203756	5415.054458	203.4477818	1393.358139	306.3062145
APOL3	222.6275107	530.3981335	1000.826958	1172.693097	1002.837652	106.4245095	950.7902718	1615.032254	1119.486881	1209.122376	238.5980956	11009.29392	437.5272083	264.675663	98.21606371	754.8680347	351.1290483	993.4624966	1173.270474	219.6004846	861.4587391	107.8051428
APOL6	17.31182151	11.60650829	11.82068745	12.85527177	370.3966282	19.07117143	11.96227918	8.439383107	57.5171862	8.448971352	13.10943681	967.6451456	7.784612131	23.12992518	8.195434224	7.831610308	7.177587337	13.36764224	9.718189532	9.135536319	159.5346364	5.952127004
AQP9	21.34280658	15.11459289	2044.034835	93.46925864	12.57775597	13705.68672	14.1921014	14.8941249	13.11596785	13.67548268	4583.500675	4309.341662	399.4746192	576.553304	1876.266127	15.66433549	18.66670647	64.26406026	188.8727485	1132.650087	1454.899429	128.8196425
