Mixture	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell	P-value	Correlation	RMSE
A	0.0232975088926398	0	0.435329884925875	0	0	0.466824545968691	0.0229056154211292	0.0516424447916646	9999	0.0474594022260856	1.33326937640463
B	0.00353765001806884	0	0.393226120277614	0	0	0.467765067162435	0.0280108201275633	0.107460342414319	9999	0.0466092500575002	1.33926279548568
C	0	0	0.207371164485639	0	0.0729506584388978	0.396357084123578	0.0883574315935946	0.234963661358291	9999	0.0508793094566414	1.35004130018466
D	0	0	0.24738115607182	0	0	0.36663737500386	0.131717780042415	0.254263688881905	9999	0.0500804003664709	1.35026894129461
E	0	0	0.230703001132473	0	0.0401653077645331	0.402596486396533	0.0906382815309849	0.235896923175476	9999	0.0510064542997531	1.34875040150923
F	0	0	0.157503559841152	0	0	0.493032689107257	0.0743518690520486	0.275111881999542	9999	0.0471758347078494	1.35490242385327
G	0.0170966315245354	0	0.274260471038333	0	0.379851232051693	0.328791665385439	0	0	9999	0.0542341052628558	1.33927592810377
H	0.0734794166817834	0	0.529818886382005	0	0.0446843694400244	0.352017327496187	0	0	9999	0.0450306458275508	1.32658294856707
I	0.0851143896438204	0	0.557294121339859	0	0.0283527763965547	0.329238712619766	0	0	9999	0.0415254188750206	1.32718777486749
J	0	0	0.0794343211127348	0	0	0.264360058677317	0.225736684801718	0.43046893540823	9999	0.051856332389362	1.36621528151755
K	0	0	0.0149303440215037	0	0	0.498219178841412	0.10145968822203	0.385390788915055	9999	0.0478533045442158	1.36498714269589
L	0	0	0.244048087447808	0	0.0490415689941683	0.42525795337815	0.050252051315164	0.231400338864709	9999	0.0492857808497909	1.34853082856566
