Mixture	Monocytes_CD14+CD16-	Dendritic_cells_(BDCA1+)	Dendritic_cells_(BDCA3+)	Dendritic_cells_(plasmacytoid+)	T_cells_(CD4+)	T_cells_(CD8+)	NK_cells	Neutrophils	B_cells	P-value	Correlation	RMSE
A	0.46292701108248	0.0299242568951583	0.0189565156135867	0	0.308416204528041	0	0.139403736948639	0.0202848131174285	0.0200874618146665	9999	0.669884088934479	0.795262325797737
B	0.445514282563364	0.0183961525805232	0.0327058335665983	0.000924882187289765	0.31021365396247	0	0.149375460439096	0.0171483137844372	0.0257214209162216	9999	0.672462852954205	0.791987259904712
C	0.110491883567618	0.021322138812087	0.00583053303444804	0	0.658085374095632	0.126677851330333	0.0775922191598814	0	0	9999	0.664645731490307	0.807410367631594
D	0.119196629309082	0.0150012669572428	0.0111705962717593	0	0.645323679052271	0.138149049708872	0.0703460413135368	0	0.000812737387235251	9999	0.682261726408692	0.785493391022158
E	0.161135852142121	0.0266255171463427	0.0309666355900669	0.00153812154542994	0.526245887614386	0.046803102831971	0.199097007104454	0.00758787602522855	0	9999	0.662043912031304	0.807997459177916
F	0.292961677916812	0.0159768684020955	0.0174341061823891	0.0177428306831985	0.270602932749894	0	0.365699886199786	0.0195816978658251	0	9999	0.63137386874964	0.843370802556001
G	0.578181062599863	0.00708006196052781	0.0242015258798781	0	0.138622502256376	0	0.100995382860311	0.137519572209344	0.0133998922337002	9999	0.659475906651648	0.80164863790997
H	0.758823333325449	0.0533303917136029	0.0504476235109719	0	0.0656716706046717	0	0.0701833245734892	0.00154365627181535	0	9999	0.688921171153859	0.783695112994599
I	0.761322205817694	0.0694011787549377	0.0267402455506772	0	0.0759050554657187	0	0.0666313144109728	0	0	9999	0.686657026545911	0.786939391212523
J	0.0305916861065069	0.0457328286959651	0	0	0.694080723268092	0.144151898965474	0.0691889290124832	0	0.0162539339514794	9999	0.670355708405328	0.801892600739926
K	0.0101917900268876	0.0507330192482581	0	0	0.532080294475178	0.245427364525239	0.156533481170345	0	0.00503405055409325	9999	0.673466018171186	0.798409501419978
L	0.1172816442068	0.00709595184325981	0.0422118098201646	0	0.601920595236455	0.147835510597249	0.0834145965911185	0	0.000239891704951941	9999	0.67650988072547	0.79152802704265
