Mixture	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell	P-value	Correlation	RMSE
A	0.0864786060675848	0	0.114834961326783	0.185678153276586	0	0.195963913783302	0	0.125822943071702	0.147018481334983	0	0	0.0872243182048052	0	0.0145613955294157	0	0.0167324238414087	0	0	0.0256848035634291	0	9999	0.595713307638085	0.802108248677916
B	0.0772783568131944	0	0.144564135306441	0.134013826979576	0	0.216656169605482	0.00309019035150494	0.175872575388993	0.132092215267732	0	0	0.0614160195993665	0	0.00858060161240935	0.0251240899983285	0	0.00225045051445687	0.00206869733360623	0.0145723193082626	0.00242035192064586	9999	0.589396893296354	0.807277983868806
C	0.00514758861433808	0	0.00190816787223785	0.035000662132857	0	0.200406449753604	0.000461541241769382	0.599294455766797	0.0953935985066829	0	0	0.00791459551667173	0	0.00579978191392143	0	0.0033251073109581	0.0113557105997492	0.00951954056757074	0.00441346498736478	0.0200593352154776	9999	0.501276754512625	0.868001778511768
D	0.00806498715787922	0	0.00441572366410713	0.0327498347268337	0	0.212339465813218	0	0.571597974391703	0.100266240165234	0	0	0.0124070415322009	0	0.00686310223248481	0.00207731370768299	0	0.00897082054082182	0.0185588005108336	0.0044596173290552	0.0172290782279454	9999	0.587844036499865	0.820765961174682
E	0.0167393845146908	0	0.0378423399106628	0.0581601384546039	0	0.277605284739842	0	0.13552323073434	0.355708664138641	0	0	0.0394559610335764	0	0.0095191514478006	0.00667490751198412	0	0.0116820894466309	0.0118880163531352	0.00277943626508197	0.0364213954490096	9999	0.513741009463061	0.858207079766947
F	0.0137280736417052	0	0	0.123711700222916	0	0.592872825492986	0.00708700254685443	0.0700955267895091	0.0513522429041493	0	0	0.0373194403918144	0.00168926361894693	0.0204594614890223	0.0189891698238179	0	0.0019311575923285	0.0438295373579909	0.00909526796584408	0.00783933016211524	9999	0.48975837336426	0.873658219366545
G	0.0913241707777401	0	0.211693081782355	0.216709837342346	0	0	0.120974273927762	0.0439485730198691	0.0682094770753977	0	0	0.0955529324515869	0	0.0167031316764158	0.0551656126150762	0.00189990249252491	0	0	0.0382227971916204	0.0395962096473062	9999	0.644098663071196	0.76903564611982
H	0.0599390568810758	0	0.385884713548006	0.259089050917492	0	0	0	0.0653591929041106	0.0659604335235555	0	0.00134837034261375	0.0539499592232903	0	0.0178368085807256	0.0323271548254207	0	0	0	0.0336638254252211	0.0246414338284884	9999	0.748655817041117	0.677841442538392
I	0.0705594539873694	0	0.379935211894081	0.259699598998428	0	0	0	0.062619502321618	0.0660873684356111	0	0.00782034804325507	0.0563488258293761	0	0.0156104925626053	0.03649651120596	0	0	0	0.0322729856133796	0.0125497011083165	9999	0.75840986090308	0.665846721243648
J	0	0.0157743809947925	0	0.0105826504742504	0	0.113861492568558	0	0.759424684481407	0	0	0.00375348314733055	0	0.00583829444464688	0.00443316134683972	0	0	0.00833918009914453	0.0358946541872163	0.0093447056394794	0.0327533126163354	9999	0.656483472757375	0.782747265954637
K	0	0.00634992434962835	0	0.0288663287864407	0	0.175531129180341	0.00746239330479063	0.251602986690217	0.460365170148911	0	0	0.00880381848179139	0	0.000596205721247436	0	0.00143379070051183	0.0184133993516694	0.0239895293335388	0.0124467496065072	0.00413857434440604	9999	0.705859803808516	0.722630813994803
L	0	0.0217207564866089	0	0.02575361277565	0	0.109499197588597	0.0115801368736035	0.720699001118505	0	0	0.00512102603394054	0	0	0.0158792328476328	0.00918705974562893	0.0239744416793412	0.0107816290656238	0.0168751735543469	0.00571780087228035	0.0232109313582412	9999	0.549910377223345	0.841386588898506
