Mixture	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	Plasma cells	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	Dendritic cells resting	Dendritic cells activated	Eosinophils	P-value	Correlation	RMSE
A	0.0682175893162341	0	0.319799892881363	0.1356269227615	0.0495009687015985	0.0201343756354142	0.0532760317193191	0	0.0364980587101934	0.281636055738122	0	0	0.0188205640551276	0.0034967576404699	0	0.00634180968646408	0.00503498975074493	0	0	0	0.00161598340344922	0	9999	0.703721426866598	0.726547128568213
B	0.0855627025423942	0	0.307773125134816	0.138660932950176	0.0747436230782586	0	0.034184114948265	0	0.0161350747059199	0.267653092597951	0	0	0.0340850892564844	0	0	0	0.00585429755349367	0.0253156626378394	0	0	0.0100322845944026	0	9999	0.699868326813196	0.728004321491852
C	0.0150864612202858	0.00245241552848596	0.052721811219279	0.072410623615758	0.0127589844149758	0.000308128972128834	0.137624063118266	0.259263524209814	0.0464417559526619	0.274595833787426	0	0	0.00892388812545114	0.00264733469904809	0	0.00969810087636592	0.00695190579052055	0.0622163767948805	0.0358987916746536	0	0	0	9999	0.754642740201144	0.667701993683691
D	0.0209473826452223	0	0.058697014880981	0.077149303981045	0.00344110330484305	0	0.154848805273661	0.210809184416621	0.0455478732505062	0.314929128000495	0	0	0.00247126068332415	0.000801661749701352	0	0.00836129050884509	0	0.076134830123805	0.0258611611809502	0	0	0	9999	0.768792320144205	0.653240542130039
E	0.0104977450023863	0	0.0935652964736797	0.0987481227433313	0.0716126489677538	0.0101986186163547	0.0706647239237606	0	0.0284409287648528	0.526439221857909	0.000299275211325773	0	0	0.000869234664643713	0	0.00299800472797418	0.00249866946332712	0	0.083167509582701	0	0	0	9999	0.786859267723263	0.621269761444749
F	0.0233073064561247	0	0.128919554265987	0.570782346038723	0.00806164109342472	0	0	0.0116817767421908	0.017243354571348	0.161950254779369	0.00299485207152952	0	0.0185673980404669	0.0444982656178178	0	0	0.00248866530252944	0.00475735686085055	0.003342349908713	0	0.00140487825092575	0	9999	0.803562383550159	0.59549601617697
G	0.0589000998737768	0.0240198217548957	0.422380029830242	0.123013495595421	0	0.158812201772471	0.0342722201228717	0.0208377917226904	0.0103345251486693	0.0895102868794545	0.0194730046054808	0	0.0239140598768769	0.0102738403744522	0	0	0	0.0042586224426975	0	0	0	0	9999	0.669934240790861	0.74737272165187
H	0.0425912662865107	0.0118198141086701	0.748958922919232	0.0155899297174571	0.0162539673499607	0	0.0102185143760345	0.046907448965407	0	0.0679597074548785	0	0.00215728118289052	0.0356108232222507	6.63659694921755e-05	0	0	0	0.00132836688481569	0	0	0	0.000537591562400376	9999	0.637270001145277	0.771359048162525
I	0.04878931080246	0	0.739317039164014	0.0378113584871693	0	0	0.00202444696627893	0.0566436065975918	0.00182133260175306	0.0558821706256741	0	0.00345408468940029	0.0532363267154782	0	0	0	0.00102032335018031	0	0	0	0	0	9999	0.687586255609094	0.725972494682434
J	0.0120058509717445	0.011435174367206	0	0.0529357684095847	0.0167368057068851	0	0.228864694930899	0.521538780836105	0	0.0318932781114664	0	0	0	0.0108461582692892	0	0.0103890595345677	0.00186470747556789	0.0919201232217245	0	0	0	0.00956959816496033	9999	0.745448075746195	0.672579204725223
K	0.0046126249235999	0.00280914069575707	0	0.103447574511249	0.0321336247497782	0	0.0298786693160823	0	0.0481959257663874	0.756289782815728	0.000755527291060581	0	0	0.0121617047437456	0	0.00970288768675127	0	1.25374998599032e-05	0	0	0	0	9999	0.794618342110601	0.60710367775415
L	0	0.000514637021038399	0.0452573756936236	0.18817027591302	0	0	0.0864477209948702	0.536109342917709	0	0.0241463190801872	0	0	0	0.00431784054811585	0.00980801120260109	0	0.000522984625773543	0.103587052767261	0	0	0	0.00111843923580031	9999	0.738151486180927	0.682034551041351
