naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
A,0.0774849439989535,0,0.250914509478469,0,0,0.23020486646703,0.109746477593498,0.172231412552186,0.0507212280413447,0,0.0033441315780009,0.0121532564649647,0,0,0,0.0172480446411325,0,0.0524150686080441,0.0235360605763759,0
B,0.0870320113785155,0,0.246431998208334,0,0,0.22733567902334,0.122287186063599,0.182829594003018,0.0489103499887919,0,0.0116069252455043,0,0,0,0,0.00981932128516239,0,0.0386042601843613,0.0251426746193732,0
C,0.0224628414806668,0,0.120599960133711,0,0,0.249682173484316,0.0333224958040814,0.413323822875618,0.0278724525630357,0,0.00420491310740517,0,0.0678651164493551,0,0,0.0130694810285505,0.00621578704274477,0,0.0234846569453817,0.0178962990851342
D,0.035637745468741,0,0.125116103395014,0,0,0.256393516593968,0.0298865436162125,0.402999643029904,0.026815479416463,0,0,0,0.0606170364128854,0,0,0.0244140602504659,0,0,0.0225915725525045,0.0155282992638409
E,0.0205492984584604,0,0.169736879799168,0,0,0.301226416741192,0.0548688888308489,0.22923790183499,0.119847667421263,0,0.00200349147569365,0,0,0,0,0.0193962841193847,0.0287279549191016,0.0327425051030352,0.0216627112968615,0
F,0.0516022824604504,0,0.157620512074211,0.018586102007902,0,0.422334945118872,0.102197188022025,0.0595805306218069,0.024153842729617,0,0,0,0,0.00548521897876316,0,0.0168253546448656,0,0.105723125227206,0.0358908981142804,0
G,0.0856687824671501,0,0.209074042793941,0,0,0.13281570094947,0.32053192056122,0.131516382230461,0.00167068430201168,0,0.00331647931772268,0.0329269307817343,0,0,0,0.00248467199102712,0,0.0533293630165798,0.0266650415886818,0
H,0.0705934352855093,0,0.373213802179214,0,0,0.126508934956156,0.0883981514525467,0.108102123709634,0,0,0.0186270249101823,0.0523908446057041,0,0.00546865195768332,0,0.0282890759305761,0,0.112748456485434,0.0156594985273596,0
I,0.069255824277343,0,0.37806796483678,0,0,0.120533839437144,0.0959416992455486,0.120187593001068,0,0,0.0195987774119498,0.0370052271002967,0,0,0,0.019281228346362,0,0.121686944517787,0.0184409018257198,0
J,0.0180361857624341,0.0218023819210701,0.00106046400631953,0,0,0.185184304701489,0,0.506572879703104,0,0,0.0189824649294089,0,0.0964900171627421,0.00313581279391746,0,0.0273643670033032,0,0,0.0386699282611752,0.0827011937550351
K,0.0416887217621876,0,0,0,0,0.326979560281388,0,0.258159446480804,0.144846715607731,0,0,0,0.0611892484286439,0,0,0.0348812516433549,0.0657875189046332,0,0.0347137185908613,0.0317538183003974
L,0,0,0.066564993102274,0,0,0.140316080782154,0.0314041982659609,0.472320377467503,0,0,0.00707130055350099,0,0.0639646205551252,0.0564329899732635,0.0391871192354057,0.0456055700994086,0.0226806591529286,0,0.0246450498610782,0.0298070409513978
