B.cells.naive,B.cells.memory,Monocytes,NK.cells.resting,NK.cells.activated,Neutrophils,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.CD8,Macrophages.M0,Macrophages.M1,Macrophages.M2,Mast.cells.resting,Mast.cells.activated,Plasma.cells,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,Dendritic.cells.resting,Dendritic.cells.activated,Eosinophils
A,0.114566012434991,0,0.200395263712429,0.196331378062748,0,0.0985557634247152,0,0.0969197811407098,0,0.166875628123031,0,0,0.0379065688462831,0,0,0.0322958087094843,0.0554662810737928,0,0,0,0,0.000687514471815691
B,0.110471138386129,0.00903618351976981,0.200333378579415,0.189102229305822,0,0.10025041317664,0,0.120810506589045,0,0.163593960191793,0,0,0.0374257238432225,0,0,0.0375489177462445,0.0314275486619188,0,0,0,0,0
C,0.0585937149729649,0,0.110507641814092,0.173858380404383,0,0.0249200930402211,0,0.205313774202833,0.0114020687125707,0.179213312152766,0,0,0,0.00308686552324191,0,0.0514892438524753,0.0959589432689431,0.0595228435226033,0,0,0,0.0261331185329042
D,0.05950017114162,0,0.108616565305071,0.180015442686582,0,0.019585475213349,0,0.204578841787038,0.0189009603787431,0.179196801235043,0,0,0,0.00320674526973307,0,0.0553061842254443,0.0895388156794796,0.0527940161199952,0,0,0,0.0287599809579024
E,0.0528297039070883,0,0.145540606515912,0.203725971973937,0,0.0632339954997433,0,0.08327395677592,0.00506942119874163,0.299235603098213,0,0,0,0,0,0.0440074975198141,0.0791580906311341,0.0239251528794965,0,0,0,0
F,0.0679122084675058,0,0.15358876119352,0.381118832251737,0,0.0877411147931921,0,0.0877229835892353,0,0.139538969577147,0,0,0.020794965050018,0,0,0.0356942152467626,0.0258879498308824,0,0,0,0,0
G,0.104698464728024,0.0153033877040407,0.193240723483196,0.164692458074192,0,0.224475617317549,0,0.114341396094037,0,0.0627672545822182,0,0,0.0700243393073348,0.0011312218980127,0,0.0214934534065876,0.0138605612434708,0,0,0,0,0.0139711221613379
H,0.0852788196288041,0.0248459860862322,0.302977540791679,0.0876946152764522,0,0.100933853622123,0,0.0988559525113031,0,0.0669629474150799,0,0.0430210855173931,0.0966341123450821,0,0,0.0170294255831383,0.0285098492153083,0,0,0.0174365231058942,0,0.0298192889015104
I,0.0752637583963205,0.0296515640176879,0.303058384868241,0.0850454746546272,0,0.0954531275710271,0,0.118463210561815,0,0.065866888170579,0,0.0545831845708854,0.105935868275864,0,0,0.0258055407664253,0.00565770415419584,0,0,0.0118164990557203,0,0.0233987949366122
J,0.0733869381783558,0,0,0.164888732103224,0,0,0.00749682352069737,0.298145858103975,0.0229889929255436,0.0795020170365927,0,0,0.00818496348973623,0.0367634652930382,0,0.0814348348584121,0.0907823160128834,0.0794771178066125,0,0,0,0.0569479406709299
K,0.0717808423374934,0,0,0.184825751844679,0,0,0,0.107375771636043,0.0430028029029689,0.343010177676167,0,0,0,0.0260038380847758,0,0.0984633156648145,0.0651606204805057,0.0332326585883016,0,0,0,0.0271442207842506
L,0,0.0156770859492113,0.073893971261581,0.179908390696359,0,0,0,0.311021690873452,0.00426431424887017,0.0622263210291961,0,0,0,0.0845312573280246,0,0.0310065852886879,0.0964132852605077,0.0621236479395782,0,0,0,0.0789334501245316
