CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
A	0.121	0.1008	0.1908	0.1267	0.095	0.1736	0.1115	0.0806
B	0.134	0.0852	0.1906	0.1246	0.0911	0.1334	0.1454	0.0957
C	0.054	0.0678	0.0664	0.0703	0.0849	0.2702	0.2454	0.141
D	0.0511	0.071	0.0511	0.0723	0.0826	0.3084	0.2376	0.126
E	0.0517	0.0722	0.0871	0.1273	0.0741	0.148	0.1734	0.2662
F	0.0551	0.0876	0.1308	0.3685	0.0894	0.0803	0.1024	0.0858
G	0.1086	0.1118	0.2367	0.0692	0.2298	0.0929	0.0814	0.0696
H	0.0669	0.0935	0.4097	0.0626	0.0943	0.1214	0.0696	0.0821
I	0.0714	0.1086	0.4309	0.0701	0.0838	0.1067	0.0804	0.0481
J	0.0152	0.0956	0.039	0.031	0.0956	0.311	0.2817	0.1309
K	0.0582	0.0721	0.0477	0.1051	0.0636	0.1561	0.2223	0.275
L	0.0223	0.086	0.0504	0.0465	0.1104	0.4012	0.1687	0.1145
