Monocytes_CD14.CD16.	Dendritic_cells_.BDCA1..	Dendritic_cells_.BDCA3..	Dendritic_cells_.plasmacytoid..	T_cells_.CD4..	T_cells_.CD8..	NK_cells	Neutrophils	B_cells
A	0.24	0.0359	0.0089	0.0258	0.1541	0.1044	0.1808	0.041	0.2091
B	0.2439	0.0359	0.0028	0.0247	0.1376	0.1255	0.1799	0.0384	0.2113
C	0.0407	0.0033	0.0205	0.0319	0.4372	0.2165	0.1332	0.0044	0.1123
D	0.0347	0.014	0.0161	0.0354	0.4138	0.2444	0.1295	0	0.1121
E	0.0707	0.0132	0.0145	0.0275	0.2485	0.2714	0.2274	0.0139	0.1129
F	0.1212	0.0028	0.0263	0.0232	0.0556	0.0954	0.5411	0.0325	0.1021
G	0.3204	0.0628	0.0024	0.0313	0.0525	0.0798	0.0833	0.1987	0.1689
H	0.535	0.1055	0.0111	0.0105	1e-04	0.0933	0.0583	0.0632	0.123
I	0.5429	0.1088	0	0.017	0.008	0.0815	0.0485	0.0676	0.1257
J	0	0.0085	0.0166	0.0401	0.4975	0.2262	0.0985	0.0023	0.1104
K	0	0.0067	0.0191	0.0286	0.2816	0.349	0.2041	0	0.1109
L	0.0073	0.0179	0.0461	0.0221	0.3938	0.2975	0.1005	0.0298	0.0849
