naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
A	0.1034	0	0.1377	0.143	0	0.071	0	0.2225	0.0545	0	0.0607	0.0367	0	0.1039	0	0	0	0.0666	0	0
B	0.1053	0.0116	0.1416	0.1491	0	0.0747	0	0.188	0.0856	0	0.0653	0.0371	0	0.0957	0	0	0	0.046	0	0
C	0.0108	0	0	0.0468	0	0.0267	0	0.605	0.1061	0	0.0177	0.0418	0	0.1102	0	0	0	0.0349	0	0
D	0	0	0	0.0533	0	0.0227	0	0.6122	0.0849	0	0.0293	0.0073	0	0.1206	0	0	0	0.0697	0	0
E	0.0126	0.0223	0	0.0827	0	0.1406	0	0.1675	0.3482	0	0.0411	0	0	0.095	0	0	0	0.0799	0	0.0101
F	0.044	0.0198	0	0.1722	0	0.4106	0	0	0.1394	0	0.0139	0.0503	0	0.1078	0	0	0	0.0335	0.0085	0
G	0.0829	0	0.1898	0.1534	0	0	0.1981	0.0892	0	0	0.0758	0.0146	0	0.1232	0	0	0	0.0728	0	0
H	0.045	0	0.3684	0.2116	0	0	0	0.0639	0	0	0.108	0.0188	0	0.0952	0	0	0	0.0523	0	0.0367
I	0.0648	0	0.374	0.2065	0	0	0	0.0532	0	0	0.1028	0.0169	0	0.0856	0	0	0	0.0756	0	0.0206
J	0	0.0223	0	0.0079	0	0	0	0.7439	0	0	0.025	0	0	0.1098	0	0	0	0.0826	0	0.0085
K	0.0104	0.0503	0	0.0323	0	0.1105	0	0.2214	0.3811	0	0.0149	0.0023	0	0.0954	0	0	0	0.0662	0.0011	0.0142
L	0	0.0058	0	0.0151	0	0	0	0.7383	0	0	0.0462	0	0	0.1188	0	0	0	0.0758	0	0
