B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils
A	0.069	0.042	0.1926	0.0846	0.0622	0.0144	0.0963	0.0632	0.0277	0.0132	0	0.0168	0.0394	0	0.0126	0.0202	0.0565	0.0264	0.0683	0.0516	0.0111	0.032
B	0.0532	0.0611	0.2082	0.0571	0.0634	0.0187	0.0939	0.0541	0.0355	0.0134	0	0.011	0.0303	0	0.0104	0.0236	0.0584	0.0208	0.0994	0.0409	0.0204	0.0264
C	0.0268	0.0056	0	0.0172	0.0412	0.0072	0.2322	0.2483	0.0713	0	0	0	0	0.005	0	0	0.0875	0.0873	0.1147	0.0158	0.0162	0.0238
D	0.0076	0.0263	0	0.0559	0.0524	0	0.2445	0.2763	0.0642	0.0081	0	0.0025	0	0	0	0	0.0686	0.0768	0.0524	0.0217	0.013	0.0298
E	0	0.0219	0.0165	0.0581	0.0842	0.0098	0.103	0.0694	0.045	0.2598	0	0.0154	0	0	0.0105	0	0.0663	0.0441	0.1481	0.0238	1e-04	0.024
F	0	0.0181	0.0506	0.3879	0.1555	0.009	0.0376	0	0	0	0	0	0.0243	0	2e-04	0.0062	0.037	0.0605	0.1431	0.0272	0	0.0427
G	0.0248	0.0445	0.2433	0.0772	0	0.2084	0.0764	0	0.051	0	0	0.0213	0.0635	0	0.0272	0.0275	0.0101	0.0195	0	0.0306	0	0.0749
H	0	0.0489	0.5317	0	0.0055	0.0028	0.0347	0	0.0436	0	0	0.0475	0.0586	0	0.0559	0.0126	0.0182	0.014	0	0.0442	0.0144	0.0672
I	0	0.0562	0.5279	0	0.0034	0	0.0422	0	0.0489	0	0.002	0.0354	0.0744	0	0.0536	0.0093	0.0137	0	0	0.0325	0.0236	0.0772
J	0.0033	0.0254	0	0.0098	0.0416	0	0.2354	0.323	0.1016	0	0	0	0	0	0	0	0.0925	0.0806	0.013	0.028	0.0142	0.0315
K	0	0.0268	0	0.0044	0.072	0	0.1182	0.0593	0.0546	0.3238	0	0.008	0	0.0047	0.0058	0.0106	0.0619	0.064	0.1509	0.0174	0.0022	0.0155
L	0	0	0	0.1046	0	0	0.0875	0.3465	0.1181	0	0	0	0	0.066	0	0	0.1101	0.0902	0	0.0248	0.0055	0.0466
