CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
A	0.109884020278338	0.162790750348996	0.0847251356712383	0.1246628116312	0.051814579769981	0.243999698864135	0.0482817778993669	0.173841225536745
B	0.109969570535234	0.162131731747494	0.0849650106350923	0.124757778781378	0.052377484966144	0.244196718219757	0.0486830603055197	0.172918644809382
C	0.102034721198458	0.155390389092741	0.0712615326425327	0.121441095651016	0.0482976659836336	0.266735380586415	0.0525546117845147	0.182284603060689
D	0.10219641041321	0.153714553851547	0.0712595310650811	0.121617124955846	0.0478968161014127	0.268556269207348	0.0523664204194484	0.182392873986106
E	0.102277074396254	0.154790375556614	0.07621726410961	0.128562453203359	0.0495612215354024	0.250171281652468	0.0506168036363822	0.18780352590991
F	0.105052184161746	0.158685533717442	0.0814059926433278	0.143455657502488	0.0520121390800011	0.234208803986617	0.0480891487202369	0.17709054018814
G	0.111482625253867	0.167969907922229	0.0895997832620286	0.120661327144855	0.0593766785849296	0.237184426419153	0.047531631262509	0.166193620150428
H	0.11166293463192	0.168590582361306	0.0970028992645152	0.115650518663136	0.0559774129036267	0.239466308503617	0.0478571302509379	0.163792213420942
I	0.111206499590734	0.169909280439541	0.0972165025129586	0.11604079620562	0.0558042124547439	0.237941377424533	0.0476248531788073	0.164256478193062
J	0.102381049880882	0.156314921705572	0.065407712758307	0.116312202510358	0.0465865981900327	0.274719576438903	0.0542427142439389	0.184035224272007
K	0.104065805590142	0.152932769448077	0.0640485999276328	0.126424766656656	0.0462471392616325	0.257529114372617	0.0525151327598632	0.19623667198338
L	0.0999399677972014	0.152587052646293	0.0701965137035967	0.116879417319662	0.0486694144096386	0.27723929790591	0.0523029911622236	0.182185345055476
