Monocytes_CD14.CD16.	Dendritic_cells_.BDCA1..	Dendritic_cells_.BDCA3..	Dendritic_cells_.plasmacytoid..	T_cells_.CD4..	T_cells_.CD8..	NK_cells	Neutrophils	B_cells
A	0.0998406859274541	0.11702142253119	0.105279078171633	0.0782763108765125	0.102106496946451	0.163351020068151	0.0920135010336977	0.0444026799526437	0.197708804492267
B	0.0996838868090879	0.117927664275238	0.105130620217384	0.0776565042741936	0.102299182618101	0.163667562917535	0.0923897170420919	0.0443326387444638	0.196912223101905
C	0.0865821214653808	0.112172081874534	0.104091874034206	0.078637346435158	0.113380270150382	0.171687215392774	0.0941246494035219	0.0411574235088066	0.198167017735237
D	0.0860398833131602	0.110775901376525	0.103956874512893	0.0792184920911674	0.113533168097802	0.173553173567364	0.0941404285617521	0.0410747588575751	0.197707319621761
E	0.0911060451547106	0.113170815313884	0.103597303012486	0.0778432307793023	0.107448255746517	0.172099418849825	0.0960002386396676	0.042448837125849	0.196285855377758
F	0.0955066819723069	0.115834663060681	0.103703678127256	0.0791454435714525	0.0981699066916738	0.165602598438019	0.100378771033069	0.0440902118852294	0.197568045220313
G	0.104096201829499	0.122222802422188	0.105173010404505	0.0791335703536162	0.0972069331197551	0.157276882713898	0.0893747235494629	0.0489366518725842	0.196579223734491
H	0.108872461965181	0.126877930083362	0.107947962775665	0.0790928646637932	0.0944089100273774	0.153973303887793	0.0872059429920144	0.0457412500321156	0.195879373572699
I	0.109454278672589	0.126626380667971	0.107517430450221	0.0792156089038715	0.0945201299443574	0.152874142139015	0.0871309676087677	0.0459317267289452	0.196729334884262
J	0.0806078288259875	0.109883345011778	0.103812958063594	0.0797053137757728	0.11610925757792	0.175053387067737	0.094242144245295	0.040022200208564	0.200563565223352
K	0.0795126721940805	0.109499980922306	0.104219106909131	0.0796490319326451	0.111349798258208	0.177918839474956	0.0978531687513307	0.039627637523156	0.200369764034188
L	0.0851117068036518	0.112385348842846	0.107723424872922	0.07753961563701	0.11221936165266	0.174722476126528	0.0932735043011511	0.0410965766315018	0.19592798513173
