naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
A	0.0378368538563235	0.0795321312124241	0.0459296880094506	0.0550223528634423	0.0469912251674864	0.109589859679089	0.0580359679658798	0.112593066963807	0.023721650694302	0.00975717728489646	0.0307363573689653	0.034808611262943	0.0506376668875017	0.0122104319340699	0.0311093878942381	0.021071008637393	0.0320113625010355	0.0678426755557264	0.0361971795922309	0.104365344668795
B	0.0374256386739105	0.0791327870747382	0.0472539782866406	0.0547072518147717	0.0467274492332602	0.10835214526947	0.0578169439033951	0.111134486370607	0.0237090260538558	0.00914080677413219	0.030774885791951	0.0306042215328372	0.048869118941082	0.0121971049242921	0.031170031610254	0.020986970203718	0.0321466837164266	0.0668867164986911	0.0359081595823994	0.115055593743567
C	0.0323123306384714	0.074230447142674	0.0389737883718409	0.0488784260164795	0.0466703407478099	0.111089290599003	0.0544883596699183	0.130175897379551	0.0245499868338459	0.0108554219455942	0.0253780405451136	0.0325376344639717	0.0556666159012939	0.0140995371456336	0.0268080704373522	0.024140105018341	0.0323939559194477	0.0731409508466031	0.0396304360598761	0.103980364317179
D	0.0329378608342647	0.0750760899375608	0.0396767353977017	0.0485484764726839	0.0465610768497242	0.109564543253659	0.0517276928976847	0.12764923682138	0.0243588931779957	0.0101044791395076	0.024221963385659	0.0445437512144593	0.0549383331781889	0.0136652791655231	0.0295098574996841	0.0238676782259928	0.0321547270129032	0.0727789654210165	0.0356960211024891	0.102418339011921
E	0.0315305325276009	0.0723348803035529	0.0416547663687322	0.0499543724222793	0.0495070771313786	0.12162250883914	0.0555845234392055	0.117780563715505	0.0271089433788714	0.0106023303840177	0.0277257075237958	0.0359043832751521	0.053667131696947	0.011825529909549	0.0296475424907714	0.0228262378358273	0.0339344653159662	0.0692710583802559	0.0343472811387127	0.103170163922739
F	0.0327372243711599	0.0765408544456423	0.0453749950727159	0.0539535040655541	0.0578001865503747	0.128027046064054	0.0598958633783282	0.0941180859490361	0.0246038275259643	0.0107656879918335	0.0297114677397562	0.0301451642659223	0.0519135133639523	0.0126222820106706	0.0313597567847387	0.018799981932014	0.0337407535360151	0.0695451113198522	0.0367275210508948	0.101617172581521
G	0.0379676560473031	0.0784980291680561	0.0511110504178897	0.0571363852960821	0.0432075845904739	0.0926862190408662	0.0723185024399357	0.102278613276458	0.0204748733422081	0.0109096085359373	0.0321743309260765	0.0342898341157259	0.0496130923998052	0.0119785445557117	0.0382486471301754	0.0190968412524824	0.0314472928419619	0.0680693515590477	0.0355235753469665	0.112969967716837
H	0.0383784525055261	0.0794629412352391	0.0549693047440316	0.0637310886299952	0.0405595882691216	0.102985374672964	0.0468873022706514	0.104104260295919	0.0209935289655562	0.0129327842413594	0.036379874925382	0.042163105030899	0.0535639254539376	0.011793228770074	0.0223550174069563	0.0195295043351572	0.0342883427814905	0.0730666734172729	0.0331295540181948	0.108726148030272
I	0.0373561483440069	0.0771632881978385	0.0542167381311931	0.0626300119991158	0.0404836155308961	0.0959840975187573	0.0514942627392928	0.101607334105107	0.0206891815258236	0.0105127149275167	0.0354394565631	0.0401829799116747	0.0516541184701334	0.0119269139807068	0.0236104297870601	0.0190542198057339	0.0337888128721819	0.0685690786878631	0.0343128319164744	0.129323764985524
J	0.0335111823456166	0.0818032494443699	0.0338793523186475	0.0396064729844544	0.0442683623893925	0.0922742239851405	0.0382920079831085	0.139331794119439	0.0177902600843914	0.0113342285759591	0.0244945007532926	0.0386271362110681	0.0608259124450043	0.0148843757787995	0.0244829672496519	0.025744138226439	0.0333199459737871	0.080145244208916	0.0455808013442747	0.119803843578247
K	0.0300772207076369	0.08016778652538	0.0223773731417121	0.0379031492796442	0.0501607389838016	0.134292071012597	0.0459020058098851	0.128916278521311	0.0296328389159247	0.0107308216029861	0.0234034376388004	0.0390054034950139	0.0580290725174142	0.0124739760093643	0.0195295708893439	0.0250323849341474	0.0365317793163142	0.0773030755894056	0.0399680438561709	0.0985629712531463
L	0.0270880460095383	0.0651550400700579	0.0425523305152793	0.0465452800036089	0.0431369848096041	0.0833506972762774	0.0536764936894388	0.135778002552361	0.0192010231384974	0.0119745974226971	0.027395772324496	0.0374391778278434	0.0589593048186484	0.016115352625741	0.0367520508505091	0.0256217710626665	0.0324416302654821	0.0781073118106518	0.0432338227409548	0.115475310185647
