B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils
A	0.061754906887588	0.0442691103124248	0.00689078583165043	0.0648461739953075	0.172524151063772	0.0135328195438643	0.0959076549580292	0.224460423225155	0.0141916066721547	0.037190314631994	0.0536721123967491	0.00357722508131172	0.0133928653290022	0.0264294400849998	0.0315536766643556	0.017039528363954	0.0197715414029244	0.0312048934376147	0.0107748480099883	0.0211093884556209	0.00222428354701254	0.0336822501045272
B	0.062115878664329	0.0446006988702702	0.00685219203322375	0.0650593563129182	0.172579460135991	0.0134778140589191	0.0972650653754837	0.222894513425344	0.0146032172143633	0.0371243224233943	0.0534685029805518	0.00315915984510029	0.0131317141961145	0.0236326473978624	0.0329378062015099	0.018027350994779	0.017946709718821	0.0315455194925969	0.0107846863419653	0.0223329099721794	0.00230443728923545	0.0341560370550478
C	0.049555249928878	0.039848633115581	0.00591404613072468	0.0621614647992902	0.165909207330919	0.0123496277641848	0.108088422374053	0.250699684686618	0.0140006209875227	0.03721851392498	0.0441542701989462	0.00305970325367711	0.0132441550067227	0.021840686834374	0.0340496370514108	0.017323306648878	0.0219627052525436	0.0342729680237314	0.0114821680419664	0.0196387728532165	0.00226096755072189	0.0309651882410599
D	0.0519448388139501	0.0410979672935647	0.00595986464464713	0.0634064142362837	0.166125409704019	0.0128214439859497	0.108584773075234	0.250266904756934	0.0141807594838136	0.0367197652935629	0.0384459377351231	0.0026643074698972	0.0117802204441638	0.0212387608191212	0.0334836140137899	0.0177169518532562	0.0219301435998362	0.0328901696619614	0.0116034909123064	0.0222008609177082	0.00222943979502003	0.0327079614898577
E	0.0512905230559373	0.0412295525406929	0.00611866744835611	0.0664711147896135	0.174592188702054	0.0126941717265711	0.103421441844363	0.233235272493912	0.0127205531421045	0.0437508252880289	0.0473027973609575	0.00307400964771343	0.0116892136586484	0.0235877044195031	0.031770440022457	0.0162405487669521	0.0208298428035597	0.0333203503561313	0.0117768572622667	0.021086071408201	0.0020424528421543	0.0317554004198217
F	0.0557995935791743	0.040931429794443	0.00681662514103983	0.0790924632567121	0.212621820112555	0.0142103216687603	0.0869625792328422	0.186353559470913	0.0165107769635131	0.0304405672059009	0.0526057053539362	0.00356219646050743	0.0138258179600832	0.0240433373753875	0.0351663637139054	0.0174915658850645	0.0176874006192616	0.0351351374103543	0.01115626238501	0.0229974373945167	0.00215740122061414	0.0344316377955063
G	0.0635970626393876	0.0467938708527249	0.00754829481950365	0.0616147520147926	0.16224557817027	0.0162374475051224	0.0913648662751968	0.222271828192832	0.0144832665630265	0.0330273713700705	0.059009031766533	0.00370301118706644	0.0141423879149141	0.0285820891911788	0.0315841962743698	0.0180045692079206	0.0192799571943839	0.0337060366736069	0.00999721028657523	0.0216545198550011	0.00215304187307487	0.038999610172449
H	0.0582458558601279	0.0449027285919326	0.00815179529546319	0.0559583982739561	0.156397739514078	0.0138244699907114	0.0901638426883411	0.231148378564045	0.0170271657595192	0.032912961937745	0.0626700227504281	0.00413768027174808	0.0146689656561082	0.0274274091911727	0.0381418799117903	0.0163034138330076	0.0215901769510728	0.0377042969167993	0.00968246882630932	0.024040609594306	0.0026008030723832	0.0322989365489547
I	0.061156955293804	0.0449145989106113	0.00819373117377572	0.0563117058358994	0.158306259772967	0.0139227139450394	0.0904113158332613	0.235111860402864	0.0146456104425819	0.0331837896769896	0.0632730452750836	0.00424962231650004	0.014841218842712	0.0238614642187409	0.0357118433691332	0.0175315467892415	0.0201017515847224	0.0360054618797489	0.00979461056343894	0.0229610535155445	0.00257071149325916	0.0329391288640816
J	0.0483088763540699	0.0399520635764196	0.00431792526831961	0.0573865920625956	0.156898196243911	0.0126433860815054	0.111131579613169	0.263240675216856	0.0147433644160445	0.0272298147845403	0.0438381081534197	0.00274366023806747	0.0125190283552666	0.0260771820911412	0.0350972977656277	0.0198499580528644	0.0201187750549161	0.0365917014261461	0.0117536057668853	0.0222587872102017	0.00259750877498388	0.030701913493049
K	0.0476135808458794	0.0408784136447754	0.00410802896163598	0.0641449325423614	0.167878012760692	0.0114496977677126	0.105470711271041	0.242369050260227	0.015472638186107	0.045048178822097	0.0443804295972177	0.00284408205927991	0.0119814824959555	0.0249754498529466	0.0348479421406768	0.0173754127476443	0.0173103669063873	0.0394587048655458	0.0119246542525392	0.0213916626374807	0.00235870601421781	0.02671786136758
L	0.0469129767735113	0.0406883356020879	0.00564205015429937	0.0582142280544286	0.156510406608091	0.0118132101655769	0.102363198282344	0.26549467489058	0.0134486039091832	0.0282413427421061	0.0471139153182398	0.00296765625250775	0.0129565839985368	0.0254476117097096	0.0383588815678969	0.0170447665515531	0.0204722672036954	0.0339348975353322	0.0120955985454574	0.0215919165155056	0.00218042431321837	0.0365064533061385
