Sample	Cell Type	Value
A	B Cells	0.194
A	Mono	0.194
A	NK	0.194
A	Neutrophils	0.03
A	CD4 T Cells	0.194
A	CD8 T Cells	0.194
B	B Cells	0.194
B	Mono	0.194
B	NK	0.194
B	Neutrophils	0.03
B	CD4 T Cells	0.194
B	CD8 T Cells	0.194
C	B Cells	0.005
C	Mono	0.01
C	NK	0.051
C	Neutrophils	0.004
C	CD4 T Cells	0.828
C	CD8 T Cells	0.102
D	B Cells	0.005
D	Mono	0.01
D	NK	0.051
D	Neutrophils	0.004
D	CD4 T Cells	0.828
D	CD8 T Cells	0.102
E	B Cells	0.01
E	Mono	0.026
E	NK	0.104
E	Neutrophils	0.008
E	CD4 T Cells	0.005
E	CD8 T Cells	0.846
F	B Cells	0.027
F	Mono	0.055
F	NK	0.885
F	Neutrophils	0.017
F	CD4 T Cells	0.011
F	CD8 T Cells	0.005
G	B Cells	0.159
G	Mono	0.319
G	NK	0.016
G	Neutrophils	0.395
G	CD4 T Cells	0.08
G	CD8 T Cells	0.032
H	B Cells	0.1
H	Mono	0.813
H	NK	0.01
H	Neutrophils	0.001
H	CD4 T Cells	0.05
H	CD8 T Cells	0.025
I	B Cells	0.1
I	Mono	0.813
I	NK	0.01
I	Neutrophils	0.001
I	CD4 T Cells	0.05
I	CD8 T Cells	0.025
J	B Cells	0
J	Mono	0
J	NK	0
J	Neutrophils	0
J	CD4 T Cells	1
J	CD8 T Cells	0
K	B Cells	0
K	Mono	0
K	NK	0
K	Neutrophils	0
K	CD4 T Cells	0
K	CD8 T Cells	1
L	B Cells	0
L	Mono	0
L	NK	0
L	Neutrophils	0
L	CD4 T Cells	1
L	CD8 T Cells	0
