	B Cells	Monocytes	NK	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.0233	0.43533	0.0	0.0	0.48973	0.05164
B	0.00354	0.39323	0.0	0.0	0.49578	0.10746
C	0.0	0.20737	0.0	0.07295	0.48471	0.23496
D	0.0	0.24738	0.0	0.0	0.49836	0.25426
E	0.0	0.2307	0.0	0.04017	0.49323	0.2359
F	0.0	0.1575	0.0	0.0	0.56738	0.27511
G	0.0171	0.27426	0.0	0.37985	0.32879	0.0
H	0.07348	0.52982	0.0	0.04468	0.35202	0.0
I	0.08511	0.55729	0.0	0.02835	0.32924	0.0
J	0.0	0.07943	0.0	0.0	0.4901	0.43047
K	0.0	0.01493	0.0	0.0	0.59968	0.38539
L	0.0	0.24405	0.0	0.04904	0.47551	0.2314
