	B Cells	Monocytes	NK	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.02009	0.46293	0.1394	0.02028	0.30842	0.0
B	0.02572	0.44551	0.14938	0.01715	0.31021	0.0
C	0.0	0.11049	0.07759	0.0	0.65809	0.12668
D	0.00081	0.1192	0.07035	0.0	0.64532	0.13815
E	0.0	0.16114	0.1991	0.00759	0.52625	0.0468
F	0.0	0.29296	0.3657	0.01958	0.2706	0.0
G	0.0134	0.57818	0.101	0.13752	0.13862	0.0
H	0.0	0.75882	0.07018	0.00154	0.06567	0.0
I	0.0	0.76132	0.06663	0.0	0.07591	0.0
J	0.01625	0.03059	0.06919	0.0	0.69408	0.14415
K	0.00503	0.01019	0.15653	0.0	0.53208	0.24543
L	0.00024	0.11728	0.08341	0.0	0.60192	0.14784
