	B Cells	Monocytes	NK	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.06822	0.3198	0.18513	0.02013	0.08977	0.28164
B	0.08556	0.30777	0.2134	0.0	0.05032	0.26765
C	0.01754	0.05272	0.08517	0.00031	0.44333	0.2746
D	0.02095	0.0587	0.08059	0.0	0.41121	0.31493
E	0.0105	0.09357	0.17036	0.0102	0.09911	0.52644
F	0.02331	0.12892	0.57884	0.0	0.02893	0.16195
G	0.08292	0.42238	0.12301	0.15881	0.06544	0.08951
H	0.05441	0.74896	0.03184	0.0	0.05713	0.06796
I	0.04879	0.73932	0.03781	0.0	0.06049	0.05588
J	0.02344	0.0	0.06967	0.0	0.7504	0.03189
K	0.00742	0.0	0.13558	0.0	0.07807	0.75629
L	0.00051	0.04526	0.18817	0.0	0.62256	0.02415
