	B Cells	Monocytes	NK	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.2218	0.1908	0.1267	0.095	0.2851	0.0806
B	0.2192	0.1906	0.1246	0.0911	0.2788	0.0957
C	0.1218	0.0664	0.0703	0.0849	0.5156	0.141
D	0.1221	0.0511	0.0723	0.0826	0.546	0.126
E	0.1239	0.0871	0.1273	0.0741	0.3214	0.2662
F	0.1427	0.1308	0.3685	0.0894	0.1827	0.0858
G	0.2204	0.2367	0.0692	0.2298	0.1743	0.0696
H	0.1604	0.4097	0.0626	0.0943	0.191	0.0821
I	0.18	0.4309	0.0701	0.0838	0.1871	0.0481
J	0.1108	0.039	0.031	0.0956	0.5927	0.1309
K	0.1303	0.0477	0.1051	0.0636	0.3784	0.275
L	0.1083	0.0504	0.0465	0.1104	0.5699	0.1145
