	B Cells	Monocytes	NK	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.111	0.1926	0.1468	0.0144	0.1872	0.0132
B	0.1143	0.2082	0.1205	0.0187	0.1835	0.0134
C	0.0324	0.0	0.0584	0.0072	0.5518	0.0
D	0.0339	0.0	0.1083	0.0	0.585	0.0081
E	0.0219	0.0165	0.1423	0.0098	0.2174	0.2598
F	0.0181	0.0506	0.5434	0.009	0.0376	0.0
G	0.0693	0.2433	0.0772	0.2084	0.1274	0.0
H	0.0489	0.5317	0.0055	0.0028	0.0783	0.0
I	0.0562	0.5279	0.0034	0.0	0.0911	0.0
J	0.0287	0.0	0.0514	0.0	0.66	0.0
K	0.0268	0.0	0.0764	0.0	0.2321	0.3238
L	0.0	0.0	0.1046	0.0	0.5521	0.0
