	B Cells	Monocytes	NK	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.10602	0.00689	0.23737	0.01353	0.33456	0.03719
B	0.10672	0.00685	0.23764	0.01348	0.33476	0.03712
C	0.0894	0.00591	0.22807	0.01235	0.37279	0.03722
D	0.09304	0.00596	0.22953	0.01282	0.37303	0.03672
E	0.09252	0.00612	0.24106	0.01269	0.34938	0.04375
F	0.09673	0.00682	0.29171	0.01421	0.28983	0.03044
G	0.11039	0.00755	0.22386	0.01624	0.32812	0.03303
H	0.10315	0.00815	0.21236	0.01382	0.33834	0.03291
I	0.10607	0.00819	0.21462	0.01392	0.34017	0.03318
J	0.08826	0.00432	0.21428	0.01264	0.38912	0.02723
K	0.08849	0.00411	0.23202	0.01145	0.36331	0.04505
L	0.0876	0.00564	0.21472	0.01181	0.38131	0.02824
