	B Cells	Monocytes	NK	Neutrophils	T Cells
A	0.27267	0.08473	0.12466	0.05181	0.46612
B	0.2721	0.08497	0.12476	0.05238	0.4658
C	0.25743	0.07126	0.12144	0.0483	0.50157
D	0.25591	0.07126	0.12162	0.0479	0.50332
E	0.25707	0.07622	0.12856	0.04956	0.48859
F	0.26374	0.08141	0.14346	0.05201	0.45939
G	0.27945	0.0896	0.12066	0.05938	0.45091
H	0.28025	0.097	0.11565	0.05598	0.45112
I	0.28112	0.09722	0.11604	0.0558	0.44982
J	0.2587	0.06541	0.11631	0.04659	0.513
K	0.257	0.06405	0.12642	0.04625	0.50628
L	0.25253	0.0702	0.11688	0.04867	0.51173
