	B Cells	Monocytes	NK	Neutrophils	T Cells
A	0.19771	0.09984	0.09201	0.0444	0.26546
B	0.19691	0.09968	0.09239	0.04433	0.26597
C	0.19817	0.08658	0.09412	0.04116	0.28507
D	0.19771	0.08604	0.09414	0.04107	0.28709
E	0.19629	0.09111	0.096	0.04245	0.27955
F	0.19757	0.09551	0.10038	0.04409	0.26377
G	0.19658	0.1041	0.08937	0.04894	0.25448
H	0.19588	0.10887	0.08721	0.04574	0.24838
I	0.19673	0.10945	0.08713	0.04593	0.24739
J	0.20056	0.08061	0.09424	0.04002	0.29116
K	0.20037	0.07951	0.09785	0.03963	0.28927
L	0.19593	0.08511	0.09327	0.0411	0.28694
