Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Cibersort-BLUEPRINT	NK	ascites7873R1	0.061	0.023	0.038	0.001444
Cibersort-BLUEPRINT	T Cells	ascites7873R1	0.48574	0.1	0.38574	0.1487953476
Cibersort-BLUEPRINT	Monocytes	ascites7873R1	0.10904	0.678	0.56896	0.3237154816
Cibersort-BLUEPRINT	Neutrophils	ascites7873R1	0.00418	0.051	0.04682	0.0021921124
Cibersort-BLUEPRINT	B Cells	ascites7873R1	0.34005	0.002	0.33805	0.1142778025
Cibersort-BLUEPRINT	NK	ascites7873R2	0.09034	0.023	0.06734	0.0045346756
Cibersort-BLUEPRINT	T Cells	ascites7873R2	0.40132	0.1	0.30132	0.0907937424
Cibersort-BLUEPRINT	Monocytes	ascites7873R2	0.14925	0.678	0.52875	0.2795765625
Cibersort-BLUEPRINT	Neutrophils	ascites7873R2	0.0047	0.051	0.0463	0.00214369
Cibersort-BLUEPRINT	B Cells	ascites7873R2	0.35438	0.002	0.35238	0.1241716644
Cibersort-BLUEPRINT	NK	ascites7882R1	0.04737	0.033	0.01437	0.0002064969
Cibersort-BLUEPRINT	T Cells	ascites7882R1	0.4128	0.201	0.2118	0.04485924
Cibersort-BLUEPRINT	Monocytes	ascites7882R1	0.08695	0.329	0.24205	0.0585882025
Cibersort-BLUEPRINT	Neutrophils	ascites7882R1	0.0	0.19	0.19	0.0361
Cibersort-BLUEPRINT	B Cells	ascites7882R1	0.45288	0.0	0.45288	0.2051002944
Cibersort-BLUEPRINT	NK	ascites7882R2	0.04905	0.033	0.01605	0.0002576025
Cibersort-BLUEPRINT	T Cells	ascites7882R2	0.43366	0.201	0.23266	0.0541306756
Cibersort-BLUEPRINT	Monocytes	ascites7882R2	0.08432	0.329	0.24468	0.0598683024
Cibersort-BLUEPRINT	Neutrophils	ascites7882R2	0.0	0.19	0.19	0.0361
Cibersort-BLUEPRINT	B Cells	ascites7882R2	0.43297	0.0	0.43297	0.1874630209
Cibersort-BLUEPRINT	NK	ascites7892R1	0.06157	0.0	0.06157	0.0037908649
Cibersort-BLUEPRINT	T Cells	ascites7892R1	0.49352	0.148	0.34552	0.1193840704
Cibersort-BLUEPRINT	Monocytes	ascites7892R1	0.11893	0.001	0.11793	0.0139074849
Cibersort-BLUEPRINT	Neutrophils	ascites7892R1	0.0	0.213	0.213	0.045369
Cibersort-BLUEPRINT	B Cells	ascites7892R1	0.32599	0.0	0.32599	0.1062694801
Cibersort-BLUEPRINT	NK	ascites7892R2	0.05272	0.0	0.05272	0.0027793984
Cibersort-BLUEPRINT	T Cells	ascites7892R2	0.43127	0.148	0.28327	0.0802418929
Cibersort-BLUEPRINT	Monocytes	ascites7892R2	0.10433	0.001	0.10333	0.0106770889
Cibersort-BLUEPRINT	Neutrophils	ascites7892R2	0.00288	0.213	0.21012	0.0441504144
Cibersort-BLUEPRINT	B Cells	ascites7892R2	0.4088	0.0	0.4088	0.16711744
Cibersort-HPCA	NK	ascites7873R1	0.0	0.023	0.023	0.000529
Cibersort-HPCA	T Cells	ascites7873R1	0.21656	0.1	0.11656	0.0135862336
Cibersort-HPCA	Monocytes	ascites7873R1	0.51824	0.678	0.15976	0.0255232576
Cibersort-HPCA	Neutrophils	ascites7873R1	0.0	0.051	0.051	0.002601
Cibersort-HPCA	B Cells	ascites7873R1	0.04304	0.002	0.04104	0.0016842816
Cibersort-HPCA	NK	ascites7873R2	0.0	0.023	0.023	0.000529
Cibersort-HPCA	T Cells	ascites7873R2	0.20915	0.1	0.10915	0.0119137225
Cibersort-HPCA	Monocytes	ascites7873R2	0.56505	0.678	0.11295	0.0127577025
Cibersort-HPCA	Neutrophils	ascites7873R2	0.0	0.051	0.051	0.002601
Cibersort-HPCA	B Cells	ascites7873R2	0.04394	0.002	0.04194	0.0017589636
Cibersort-HPCA	NK	ascites7882R1	0.0	0.033	0.033	0.001089
Cibersort-HPCA	T Cells	ascites7882R1	0.26952	0.201	0.06852	0.0046949904
Cibersort-HPCA	Monocytes	ascites7882R1	0.47872	0.329	0.14972	0.0224160784
Cibersort-HPCA	Neutrophils	ascites7882R1	0.0	0.19	0.19	0.0361
Cibersort-HPCA	B Cells	ascites7882R1	0.05676	0.0	0.05676	0.0032216976
Cibersort-HPCA	NK	ascites7882R2	0.0	0.033	0.033	0.001089
Cibersort-HPCA	T Cells	ascites7882R2	0.27099	0.201	0.06999	0.0048986001
Cibersort-HPCA	Monocytes	ascites7882R2	0.48285	0.329	0.15385	0.0236698225
Cibersort-HPCA	Neutrophils	ascites7882R2	0.0	0.19	0.19	0.0361
Cibersort-HPCA	B Cells	ascites7882R2	0.06057	0.0	0.06057	0.0036687249
Cibersort-HPCA	NK	ascites7892R1	0.0	0.0	0.0	0.0
Cibersort-HPCA	T Cells	ascites7892R1	0.35565	0.148	0.20765	0.0431185225
Cibersort-HPCA	Monocytes	ascites7892R1	0.42677	0.001	0.42577	0.1812800929
Cibersort-HPCA	Neutrophils	ascites7892R1	0.0	0.213	0.213	0.045369
Cibersort-HPCA	B Cells	ascites7892R1	0.03275	0.0	0.03275	0.0010725625
Cibersort-HPCA	NK	ascites7892R2	0.0	0.0	0.0	0.0
Cibersort-HPCA	T Cells	ascites7892R2	0.33246	0.148	0.18446	0.0340254916
Cibersort-HPCA	Monocytes	ascites7892R2	0.42668	0.001	0.42568	0.1812034624
Cibersort-HPCA	Neutrophils	ascites7892R2	0.0	0.213	0.213	0.045369
Cibersort-HPCA	B Cells	ascites7892R2	0.05589	0.0	0.05589	0.0031236921
Cibersort-ImmunoStates	NK	ascites7873R1	0.1374	0.023	0.1144	0.01308736
Cibersort-ImmunoStates	T Cells	ascites7873R1	0.081	0.1	0.019	0.000361
Cibersort-ImmunoStates	Monocytes	ascites7873R1	0.42671	0.678	0.25129	0.0631466641
Cibersort-ImmunoStates	Neutrophils	ascites7873R1	0.01	0.051	0.041	0.001681
