AllCells	B Cells	Monocytes	Neutrophils	NK	T Cells
Cibersort-BLUEPRINT	0.234112333333333	0.385178333333333	0.30095	0.149373333333333	0.041675	0.293385
Cibersort-HPCA	0.116433666666667	0.0481583333333333	0.237955	0.151333333333333	0.0186666666666667	0.126055
Cibersort-ImmunoStates	0.0926416666666667	0.0238866666666667	0.184703333333333	0.1205	0.0831266666666667	0.0509916666666667
Cibersort-LM22	0.106383666666667	0.018075	0.25978	0.112488333333333	0.0217183333333333	0.119856666666667
Decon-BLUEPRINT	0.199667	0.33651	0.263858333333333	0.158546666666667	0.150618333333333	0.0888016666666667
Decon-HPCA	0.163206333333333	0.323296666666667	0.27353	0.105211666666667	0.0471016666666667	0.0668916666666667
Decon-ImmunoStates	0.172296666666667	0.261261666666667	0.158476666666667	0.140358333333333	0.174133333333333	0.127253333333333
Decon-LM22	0.0679353333333333	0.015485	0.175171666666667	0.066345	0.0275533333333333	0.0551216666666667
dtangle-BLUEPRINT	0.178721666666667	0.214316666666667	0.251278333333333	0.0915533333333333	0.0565883333333333	0.279871666666667
dtangle-HPCA	0.128568333333333	0.135286666666667	0.257931666666667	0.0957516666666667	0.061195	0.0926766666666667
dtangle-ImmunoStates	0.111451	0.0280783333333333	0.329166666666667	0.132416666666667	0.018625	0.0489683333333333
dtangle-LM22	0.121692666666667	0.0144983333333333	0.338771666666667	0.141935	0.01493	0.0983283333333333
GEDIT-BLUEPRINT	0.175043333333333	0.17195	0.274883333333333	0.0643666666666667	0.0770666666666667	0.28695
GEDIT-HPCA	0.0888533333333333	0.0954833333333333	0.1889	0.0765	0.0329	0.0504833333333333
GEDIT-ImmunoStates	0.10344	0.112016666666667	0.1824	0.0817	0.0872833333333333	0.0538
GEDIT-LM22	0.08147	0.00736666666666667	0.1908	0.110483333333333	0.0126333333333333	0.0860666666666667
xCell-default	0.16758	0.0048	0.6646	0.051	0.023	0.0945
