AllCells	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	Neutrophils	NK
Cibersort-BLUEPRINT	0.167504722222222	0.0492891666666667	0.398264166666667	0.229400833333333	0.175379166666667	0.026445	0.12625
Cibersort-HPCA	0.125372916666667	0.0629583333333333	0.225029166666667	0.198465833333333	0.1355275	0.0243816666666667	0.105875
Cibersort-ImmunoStates	0.0812513888888889	0.0357066666666667	0.133045833333333	0.109313333333333	0.07499	0.0314525	0.103
Cibersort-LM22	0.0819819444444444	0.0392625	0.158225	0.1212025	0.0632366666666667	0.0254125	0.0845525
Decon-BLUEPRINT	0.219964166666667	0.354314166666667	0.41765	0.210416666666667	0.170320833333333	0.0408333333333333	0.12625
Decon-HPCA	0.206770138888889	0.0661666666666667	0.2807775	0.210416666666667	0.200395	0.323589166666667	0.159275833333333
Decon-ImmunoStates	0.134366527777778	0.0434791666666667	0.217043333333333	0.176538333333333	0.13769	0.0539608333333333	0.1774875
Decon-LM22	0.133055833333333	0.04672	0.267020833333333	0.150463333333333	0.137466666666667	0.0555158333333333	0.141148333333333
dtangle-BLUEPRINT	0.193242361111111	0.1994975	0.3424325	0.217869166666667	0.1898575	0.0663225	0.143475
dtangle-HPCA	0.174855833333333	0.1313675	0.315955	0.215890833333333	0.1928775	0.0600816666666667	0.1329625
dtangle-ImmunoStates	0.16649375	0.0772883333333333	0.311679166666667	0.19678	0.189598333333333	0.0667908333333333	0.156825833333333
dtangle-LM22	0.176219722222222	0.0685108333333333	0.352851666666667	0.191581666666667	0.1988025	0.0415033333333333	0.204068333333333
GEDIT-BLUEPRINT	0.128947222222222	0.088975	0.237216666666667	0.168625	0.103816666666667	0.08625	0.0888
GEDIT-HPCA	0.115970833333333	0.0658	0.224925	0.202275	0.06825	0.0335333333333333	0.101041666666667
GEDIT-ImmunoStates	0.0796736111111111	0.041275	0.117691666666667	0.133516666666667	0.0818666666666667	0.024325	0.0793666666666667
GEDIT-LM22	0.0846361111111111	0.0399916666666667	0.159358333333333	0.158891666666667	0.0576333333333333	0.0194416666666667	0.0725
xCell-default	0.126525757575758	0.062	0.226445833333333	0.143108333333333	0.156025	0.08015	0.0997166666666667
