AllCells	B Cells	Monocytes	Neutrophils	NK	T Cells
Cibersort-BLUEPRINT	0.150955655737705	0.130678846153846	0.216594615384615	0.0674211111111111	0.0982711538461538	0.216109615384615
Cibersort-HPCA	0.103515	0.0457857692307692	0.196689615384615	0.0666988888888889	0.0768257692307692	0.120246923076923
Cibersort-ImmunoStates	0.0889291803278689	0.0260434615384615	0.132900384615385	0.061135	0.0699880769230769	0.146026923076923
Cibersort-LM22	0.0936416393442623	0.0317792307692308	0.168826153846154	0.0544377777777778	0.0596088461538462	0.141493461538462
Decon-BLUEPRINT	0.184504590163934	0.261766923076923	0.224555384615385	0.0800711111111111	0.123411923076923	0.200584230769231
Decon-HPCA	0.197005655737705	0.152736923076923	0.201914230769231	0.250796666666667	0.100773461538462	0.295358076923077
Decon-ImmunoStates	0.174912950819672	0.111095769230769	0.228937692307692	0.08276	0.140906923076923	0.282509615384615
Decon-LM22	0.13687606557377	0.0446146153846154	0.231350769230769	0.0591255555555556	0.0952373076923077	0.230128846153846
dtangle-BLUEPRINT	0.153078442622951	0.164961153846154	0.149421923076923	0.0747327777777778	0.0914953846153846	0.260674615384615
dtangle-HPCA	0.145866557377049	0.105066923076923	0.167590384615385	0.0719716666666667	0.0901815384615385	0.271785384615385
dtangle-ImmunoStates	0.163827704918033	0.0530915384615385	0.253255769230769	0.0886661111111111	0.0973876923076923	0.303610769230769
dtangle-LM22	0.128863442622951	0.0406342307692308	0.198703461538462	0.0749805555555556	0.104	0.209419615384615
GEDIT-BLUEPRINT	0.114281147540984	0.0990076923076923	0.119146153846154	0.0789555555555556	0.0712846153846154	0.192142307692308
GEDIT-HPCA	0.0889991803278689	0.0554230769230769	0.120192307692308	0.0478555555555556	0.0619153846153846	0.14695
GEDIT-ImmunoStates	0.0881	0.0477	0.144038461538462	0.04345	0.0676346153846154	0.123938461538462
GEDIT-LM22	0.0771467213114754	0.0390115384615385	0.1342	0.0497888888888889	0.0426346153846154	0.111680769230769
xCell-default	0.155014432989691	0.0560333333333333	0.183980952380952	0.0779076923076923	0.0943285714285714	0.333447619047619
