	AllCells	Ascites	CellMix	Hoek	B Cells	Monocytes	Neutrophils	NK	T Cells
Cibersort-BLUEPRINT	0.150955656	0.234112333	0.122809	0.12577125	0.130678846	0.216594615	0.067421111	0.098271154	0.216109615
Cibersort-HPCA	0.103515	0.116433667	0.093299333	0.110558125	0.045785769	0.196689615	0.066698889	0.076825769	0.120246923
Cibersort-ImmunoStates	0.08892918	0.092641667	0.082836833	0.096871875	0.026043462	0.132900385	0.061135	0.069988077	0.146026923
Cibersort-LM22	0.093641639	0.106383667	0.063564167	0.13809125	0.031779231	0.168826154	0.054437778	0.059608846	0.141493462
Cibersort-Average	0.109260369	0.137392833	0.090627333	0.117823125	0.058571827	0.178752692	0.062423194	0.076173462	0.155969231
Decon-BLUEPRINT	0.18450459	0.199667	0.209737	0.122979063	0.261766923	0.224555385	0.080071111	0.123411923	0.200584231
Decon-HPCA	0.197005656	0.163206333	0.236200167	0.155202813	0.152736923	0.201914231	0.250796667	0.100773462	0.295358077
Decon-ImmunoStates	0.174912951	0.172296667	0.1404	0.2420775	0.111095769	0.228937692	0.08276	0.140906923	0.282509615
Decon-LM22	0.136876066	0.067935333	0.127987667	0.21817375	0.044614615	0.231350769	0.059125556	0.095237308	0.230128846
Decon-Average	0.173324816	0.150776333	0.178581208	0.184608281	0.142553558	0.221689519	0.118188333	0.115082404	0.252145192
dtangle-BLUEPRINT	0.153078443	0.178721667	0.192758333	0.054638125	0.164961154	0.149421923	0.074732778	0.091495385	0.260674615
dtangle-HPCA	0.145866557	0.128568333	0.186333	0.086209063	0.105066923	0.167590385	0.071971667	0.090181538	0.271785385
dtangle-ImmunoStates	0.163827705	0.111451	0.187960833	0.16768125	0.053091538	0.253255769	0.088666111	0.097387692	0.303610769
dtangle-LM22	0.128863443	0.121692667	0.175237667	0.048634375	0.040634231	0.198703462	0.074980556	0.104	0.209419615
dtangle-Average	0.147909037	0.135108417	0.185572458	0.089290703	0.090938462	0.192242885	0.077587778	0.095766154	0.261372596
GEDIT-BLUEPRINT	0.114281148	0.175043333	0.115433333	0.05515625	0.099007692	0.119146154	0.078955556	0.071284615	0.192142308
GEDIT-HPCA	0.08899918	0.088853333	0.091661667	0.08414375	0.055423077	0.120192308	0.047855556	0.061915385	0.14695
GEDIT-ImmunoStates	0.0881	0.10344	0.080481667	0.088003125	0.0477	0.144038462	0.04345	0.067634615	0.123938462
GEDIT-LM22	0.077146721	0.08147	0.060135	0.104990625	0.039011538	0.1342	0.049788889	0.042634615	0.111680769
GEDIT-Average	0.092131762	0.112201667	0.086927917	0.083073438	0.060285577	0.129394231	0.0550125	0.060867308	0.143677885
xCell-default	0.155014433	0.16758	0.118456667	0.221596875	0.056033333	0.183980952	0.077907692	0.094328571	0.333447619
