	All Cells	B Cells	Monocytes	Neutrophils	NK	T Cells
Cibersort-BLUEPRINT	0.650377771	-0.385094525	0.335842042	0.602151866	-0.230460739	0.637718082
Cibersort-HPCA	0.830038096	0.019403357	0.799967856	0.643587994	0.755935724	0.954212495
Cibersort-ImmunoStates	0.88359061	0.799453207	0.660863568	0.929812402	0.837745179	0.977570433
Cibersort-LM22	0.861397736	0.899207427	0.694975597	0.802722479	0.914330486	0.922130222
Cibersort-Average	0.806351053	0.333242367	0.622912266	0.744568685	0.569387663	0.872907808
Decon-BLUEPRINT	0.477117328	-0.104934632	0.051694492	-0.069852987	-0.232280616	0.653233186
Decon-HPCA	0.175660505	-0.305512993	0.001878748	-0.390645742	0.464670851	0.69919266
Decon-ImmunoStates	0.475964034	-0.175803785	0.137855827	0.45463183	0.430907988	0.903706315
Decon-LM22	0.654357861	0.541998821	0.204780431	0.740127461	0.653922283	0.884188195
Decon-Average	0.646094999	0.180217694	0.390085647	0.495233776	0.462684313	0.833873266
dtangle-BLUEPRINT	0.587432376	0.10965715	0.336450782	0.573869362	0.41941859	0.843486397
dtangle-HPCA	0.504683392	0.121436103	0.185602986	0.556890565	0.438788514	0.45477388
dtangle-ImmunoStates	0.380070112	0.314862587	-0.032785605	-0.199724596	0.390778659	0.482906581
dtangle-LM22	0.61121178	0.502049881	-0.107595582	-0.135026549	0.411835695	0.627227472
dtangle-Average	0.520849415	0.26200143	0.095418145	0.199002196	0.415205365	0.602098583
GEDIT-BLUEPRINT	0.842053863	0.575689935	0.787048583	0.938335821	0.916016126	0.899383187
GEDIT-HPCA	0.881469154	0.639206242	0.816326797	0.89391108	0.910677564	0.983706213
GEDIT-ImmunoStates	0.861290269	0.229170577	0.515634108	0.9539125	0.826541152	0.974444843
GEDIT-LM22	0.885971592	0.75720043	0.524148533	0.895917606	0.946204282	0.966500998
GEDIT-Average	0.86769622	0.550316796	0.660789505	0.920519252	0.899859781	0.95600881
xCell-default	0.633818122	0.723264648	0.447254418	0.285528686	0.727035855	0.743878292
