	AllCells	Ascites	CellMix	Hoek	B Cells	Dendritic	Monocytes	Neutrophils	NK	T Cells
Cibersort-BLUEPRINT	0.650377771	-0.04157968	0.767272095	0.740019796	-0.385094525	NA	0.335842042	0.602151866	-0.230460739	0.637718082
Cibersort-HPCA	0.830038096	0.617786453	0.904885525	0.765183165	0.019403357	0.492949791	0.799967856	0.643587994	0.755935724	0.954212495
Cibersort-ImmunoStates	0.896070926	0.72274812	0.953149444	0.78733906	0.799453207	-0.026753168	0.844436706	0.929812402	0.837745179	0.977570433
Cibersort-LM22	0.86685836	0.709611657	0.966298125	0.612521331	0.899207427	-0.74586212	0.785976993	0.802722479	0.914330486	0.922130222
Cibersort-Average	0.810836288	0.502141638	0.897901297	0.726265838	0.333242367	-0.093221832	0.691555899	0.744568685	0.569387663	0.872907808
Decon-BLUEPRINT	0.477117328	-0.003073212	0.441435034	0.778561809	-0.104934632	NA	0.051694492	-0.069852987	-0.232280616	0.653233186
Decon-HPCA	0.175660505	-0.006776672	0.106525057	0.540297456	-0.305512993	-0.351296466	0.001878748	-0.390645742	0.464670851	0.69919266
Decon-ImmunoStates	0.518555353	0.363380861	0.871002066	-0.003985358	-0.175803785	-0.761142135	0.336170283	0.45463183	0.430907988	0.903706315
Decon-LM22	0.660231091	0.814118523	0.913267453	0.253027312	0.541998821	-0.243378792	0.380231695	0.740127461	0.653922283	0.884188195
Decon-Average	0.457891069	0.291912375	0.583057403	0.391975305	-0.011063147	-0.451939131	0.192493805	0.183565141	0.329305127	0.785080089
dtangle-BLUEPRINT	0.587432376	0.281536506	0.544320253	0.987842273	0.10965715	NA	0.336450782	0.573869362	0.41941859	0.843486397
dtangle-HPCA	0.504683392	0.087855711	0.516453708	0.940852168	0.121436103	-0.527756831	0.185602986	0.556890565	0.438788514	0.45477388
dtangle-ImmunoStates	0.369313198	0.682903789	0.578037947	0.4193076	0.314862587	-0.849904561	0.251018096	-0.199724596	0.390778659	0.482906581
dtangle-LM22	0.617267804	0.708520583	0.556759793	0.961731816	0.502049881	-0.667409704	0.272335955	-0.135026549	0.411835695	0.627227472
dtangle-Average	0.519674193	0.440204147	0.548892925	0.827433464	0.26200143	-0.681690365	0.261351955	0.199002196	0.415205365	0.602098583
GEDIT-BLUEPRINT	0.842053863	0.243413879	0.943267402	0.997571834	0.575689935	NA	0.787048583	0.938335821	0.916016126	0.899383187
GEDIT-HPCA	0.881469154	0.416810328	0.970391787	0.872896518	0.639206242	-0.941235181	0.816326797	0.89391108	0.910677564	0.983706213
GEDIT-ImmunoStates	0.896286171	0.762095954	0.96444001	0.836311998	0.229170577	-0.90532783	0.74124241	0.9539125	0.826541152	0.974444843
GEDIT-LM22	0.909910369	0.719122866	0.971536973	0.800489268	0.75720043	0.892436008	0.705016519	0.895917606	0.946204282	0.966500998
GEDIT-Average	0.882429889	0.535360757	0.962409043	0.876817405	0.550316796	-0.318042334	0.762408577	0.920519252	0.899859781	0.95600881
xCell-default	0.633818122	0.736533445	0.888340061	0.068944338	0.710915366	0.723264648	0.447254418	0.285528686	0.727035855	0.743878292
