	Ascites	CellMix	Hoek
Cibersort-BLUEPRINT	-0.04157968	0.767272095	0.740019796
Cibersort-HPCA	0.617786453	0.904885525	0.765183165
Cibersort-ImmunoStates	0.72274812	0.953149444	0.78733906
Cibersort-LM22	0.709611657	0.966298125	0.612521331
Decon-BLUEPRINT	-0.003073212	0.441435034	0.778561809
Decon-HPCA	-0.006776672	0.106525057	0.540297456
Decon-ImmunoStates	0.363380861	0.871002066	-0.003985358
Decon-LM22	0.814118523	0.913267453	0.253027312
dtangle-BLUEPRINT	0.281536506	0.544320253	0.987842273
dtangle-HPCA	0.087855711	0.516453708	0.940852168
dtangle-ImmunoStates	0.682903789	0.578037947	0.4193076
dtangle-LM22	0.708520583	0.556759793	0.961731816
GEDIT-BLUEPRINT	0.243413879	0.943267402	0.997571834
GEDIT-HPCA	0.416810328	0.970391787	0.872896518
GEDIT-ImmunoStates	0.762095954	0.96444001	0.836311998
GEDIT-LM22	0.719122866	0.971536973	0.800489268
xCell-default	0.736533445	0.888340061	0.068944338
