	AllCells	Ascites	CellMix 	Hoek	B Cells	Dendritic	Monocytes	Neutrophils	NK	T Cells
Cibersort-BLUEPRINT	0.145067109	0.199315833	0.122809	0.12577125	0.130678846	0.025333333	0.216594615	0.067421111	0.098271154	0.216109615
Cibersort-HPCA	0.106493906	0.124872222	0.093299333	0.110558125	0.045785769	0.167065	0.196689615	0.066698889	0.076825769	0.120246923
Cibersort-ImmunoStates	0.087619766	0.087367222	0.082836833	0.096871875	0.026043462	0.060995	0.132900385	0.061135	0.069988077	0.146026923
Cibersort-LM22	0.089899844	0.090955833	0.063564167	0.13809125	0.031779231	0.013816667	0.168826154	0.054437778	0.059608846	0.141493462
Cibersort-Average	0.107270156	0.125627778	0.090627333	0.117823125	0.058571827	0.0668025	0.178752692	0.062423195	0.076173462	0.155969231
Decon-BLUEPRINT	0.177043438	0.170611389	0.209737	0.122979063	0.261766923	0.025333333	0.224555385	0.080071111	0.123411923	0.200584231
Decon-HPCA	0.191609453	0.149653056	0.236200167	0.155202813	0.152736923	0.081886667	0.201914231	0.250796667	0.100773462	0.295358077
Decon-ImmunoStates	0.167633438	0.14685	0.1404	0.2420775	0.111095769	0.019616667	0.228937692	0.08276	0.140906923	0.282509615
Decon-LM22	0.133130625	0.066108333	0.127987667	0.21817375	0.044614615	0.056973333	0.231350769	0.059125556	0.095237308	0.230128846
Decon-Average	0.167354239	0.133305695	0.178581209	0.184608282	0.142553558	0.0459525	0.221689519	0.118188334	0.115082404	0.252145192
dtangle-BLUEPRINT	0.147090391	0.153156944	0.192758333	0.054638125	0.164961154	0.025333333	0.149421923	0.074732778	0.091495385	0.260674615
dtangle-HPCA	0.152129219	0.153718611	0.186333	0.086209063	0.105066923	0.27947	0.167590385	0.071971667	0.090181538	0.271785385
dtangle-ImmunoStates	0.158279531	0.100453611	0.187960833	0.16768125	0.053091538	0.045466667	0.253255769	0.088666111	0.097387692	0.303610769
dtangle-LM22	0.123730703	0.104638056	0.175237667	0.048634375	0.040634231	0.019365	0.198703462	0.074980556	0.104	0.209419615
dtangle-Average	0.145307461	0.127991806	0.185572458	0.089290703	0.090938462	0.09240875	0.192242885	0.077587778	0.095766154	0.261372596
GEDIT-BLUEPRINT	0.110111719	0.150091667	0.115433333	0.05515625	0.099007692	0.025333333	0.119146154	0.078955556	0.071284615	0.192142308
GEDIT-HPCA	0.099273438	0.125408333	0.091661667	0.08414375	0.055423077	0.308183333	0.120192308	0.047855556	0.061915385	0.14695
GEDIT-ImmunoStates	0.088950781	0.103908333	0.080481667	0.088003125	0.0477	0.10625	0.144038462	0.04345	0.067634615	0.123938462
GEDIT-LM22	0.075475781	0.074808333	0.060135	0.104990625	0.039011538	0.0415	0.1342	0.049788889	0.042634615	0.111680769
GEDIT-Average	0.09345293	0.113554167	0.086927917	0.083073438	0.060285577	0.120316667	0.129394231	0.0550125	0.060867308	0.143677885
xCell-default	0.142427344	0.112005556	0.118456667	0.221596875	0.045484615	0.02515	0.199038462	0.10385	0.079611538	0.299346154
