	Ascites	CellMix 	Hoek
Cibersort-BLUEPRINT	0.199315833	0.122809	0.12577125
Cibersort-HPCA	0.124872222	0.093299333	0.110558125
Cibersort-ImmunoStates	0.087367222	0.082836833	0.096871875
Cibersort-LM22	0.090955833	0.063564167	0.13809125
Decon-BLUEPRINT	0.170611389	0.209737	0.122979063
Decon-HPCA	0.149653056	0.236200167	0.155202813
Decon-ImmunoStates	0.14685	0.1404	0.2420775
Decon-LM22	0.066108333	0.127987667	0.21817375
dtangle-BLUEPRINT	0.153156944	0.192758333	0.054638125
dtangle-HPCA	0.153718611	0.186333	0.086209063
dtangle-ImmunoStates	0.100453611	0.187960833	0.16768125
dtangle-LM22	0.104638056	0.175237667	0.048634375
GEDIT-BLUEPRINT	0.150091667	0.115433333	0.05515625
GEDIT-HPCA	0.125408333	0.091661667	0.08414375
GEDIT-ImmunoStates	0.103908333	0.080481667	0.088003125
GEDIT-LM22	0.074808333	0.060135	0.104990625
xCell-default	0.112005556	0.118456667	0.221596875
