	AllDatasets	Ascites	CellMix	Hoek
Cibersort-BLUEPRINT	0.145067109	0.199315833	0.122809	0.12577125
Cibersort-HPCA	0.106493906	0.124872222	0.093299333	0.110558125
Cibersort-ImmunoStates	0.090518281	0.097673056	0.082836833	0.096871875
Cibersort-LM22	0.091190234	0.095543889	0.063564167	0.13809125
Cibersort-Average	0.108317383	0.12935125	0.090627333	0.117823125
Decon-BLUEPRINT	0.177043438	0.170611389	0.209737	0.122979063
Decon-HPCA	0.191609453	0.149653056	0.236200167	0.155202813
Decon-ImmunoStates	0.172790703	0.165186944	0.1404	0.2420775
Decon-LM22	0.135146641	0.073276389	0.127987667	0.21817375
Decon-Average	0.169147559	0.139681945	0.178581209	0.184608282
dtangle-BLUEPRINT	0.147090391	0.153156944	0.192758333	0.054638125
dtangle-HPCA	0.152129219	0.153718611	0.186333	0.086209063
dtangle-ImmunoStates	0.15571	0.0913175	0.187960833	0.16768125
dtangle-LM22	0.122805	0.101346667	0.175237667	0.048634375
dtangle-Average	0.144433653	0.124884931	0.185572458	0.089290703
GEDIT-BLUEPRINT	0.110111719	0.150091667	0.115433333	0.05515625
GEDIT-HPCA	0.099273438	0.125408333	0.091661667	0.08414375
GEDIT-ImmunoStates	0.093310938	0.119411111	0.080481667	0.088003125
GEDIT-LM22	0.079594531	0.089452778	0.060135	0.104990625
GEDIT-Average	0.095572657	0.121090972	0.086927917	0.083073438
xCell	0.142427344	0.112005556	0.118456667	0.221596875
