AllCells	B Cells	Monocytes	NK	T Cells
Cibersort-BLUEPRINT	0.740019796141552	-0.619047619047619	0.80952380952381	NA	0.333333333333333
Cibersort-HPCA	0.765183165343147	0.19047619047619	0.952380952380953	0.785714285714286	0.476190476190476
Cibersort-ImmunoStates	0.787339060096173	0.857142857142857	0.785714285714286	0.904761904761905	0.904761904761905
Cibersort-LM22	0.612521330749799	0.642857142857143	0.880952380952381	0.880952380952381	0.714285714285714
Decon-BLUEPRINT	0.77856180872465	0.0824786098842323	-0.142857142857143	NA	0.30952380952381
Decon-HPCA	0.540297455888081	0.428571428571429	0.833333333333333	0.238095238095238	0.285714285714286
Decon-ImmunoStates	-0.00398535777269099	0.714285714285714	0.380952380952381	-0.285714285714286	0.380952380952381
Decon-LM22	0.253027311605694	0.786386748619354	0.619047619047619	0.880952380952381	0.976190476190476
dtangle-BLUEPRINT	0.987842273277936	0.833333333333333	0.904761904761905	0.928571428571429	0.404761904761905
dtangle-HPCA	0.940852168012896	0.452380952380952	0.976190476190476	0.880952380952381	0.547619047619048
dtangle-ImmunoStates	0.419307600192051	0.761904761904762	0.857142857142857	0.80952380952381	0.833333333333333
dtangle-LM22	0.96173181551905	0.761904761904762	0.738095238095238	0.928571428571429	0.690476190476191
GEDIT-BLUEPRINT	0.997571833518539	0.785714285714286	0.785714285714286	0.904761904761905	0.904761904761905
GEDIT-HPCA	0.872896518042643	0.833333333333333	0.928571428571429	0.928571428571429	0.904761904761905
GEDIT-ImmunoStates	0.836311997580223	0.857142857142857	0.928571428571429	0.87831006565368	0.904761904761905
GEDIT-LM22	0.800489268341851	0.786386748619354	0.857142857142857	0.880952380952381	0.880952380952381
xCell-default	0.0689443380412921	0.829515062006253	0.412393049421161	0.86248869203413	0.898219696434944
