Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Cibersort-BLUEPRINT	B Cells	A	0.0233	0.194	0.1707	0.02913849
Cibersort-BLUEPRINT	Monocytes	A	0.43533	0.194	0.24133	0.0582401689
Cibersort-BLUEPRINT	NK	A	0.0	0.194	0.194	0.037636
Cibersort-BLUEPRINT	Neutrophils	A	0.0	0.03	0.03	0.0009
Cibersort-BLUEPRINT	CD4 T Cells	A	0.48973	0.194	0.29573	0.0874562329
Cibersort-BLUEPRINT	CD8 T Cells	A	0.05164	0.194	0.14236	0.0202663696
Cibersort-BLUEPRINT	B Cells	B	0.00354	0.194	0.19046	0.0362750116
Cibersort-BLUEPRINT	Monocytes	B	0.39323	0.194	0.19923	0.0396925929
Cibersort-BLUEPRINT	NK	B	0.0	0.194	0.194	0.037636
Cibersort-BLUEPRINT	Neutrophils	B	0.0	0.03	0.03	0.0009
Cibersort-BLUEPRINT	CD4 T Cells	B	0.49578	0.194	0.30178	0.0910711684
Cibersort-BLUEPRINT	CD8 T Cells	B	0.10746	0.194	0.08654	0.0074891716
Cibersort-BLUEPRINT	B Cells	C	0.0	0.005	0.005	2.5e-05
Cibersort-BLUEPRINT	Monocytes	C	0.20737	0.01	0.19737	0.0389549169
Cibersort-BLUEPRINT	NK	C	0.0	0.051	0.051	0.002601
Cibersort-BLUEPRINT	Neutrophils	C	0.07295	0.004	0.06895	0.0047541025
Cibersort-BLUEPRINT	CD4 T Cells	C	0.48471	0.828	0.34329	0.1178480241
Cibersort-BLUEPRINT	CD8 T Cells	C	0.23496	0.102	0.13296	0.0176783616
Cibersort-BLUEPRINT	B Cells	D	0.0	0.005	0.005	2.5e-05
Cibersort-BLUEPRINT	Monocytes	D	0.24738	0.01	0.23738	0.0563492644
Cibersort-BLUEPRINT	NK	D	0.0	0.051	0.051	0.002601
Cibersort-BLUEPRINT	Neutrophils	D	0.0	0.004	0.004	1.6e-05
Cibersort-BLUEPRINT	CD4 T Cells	D	0.49836	0.828	0.32964	0.1086625296
Cibersort-BLUEPRINT	CD8 T Cells	D	0.25426	0.102	0.15226	0.0231831076
Cibersort-BLUEPRINT	B Cells	E	0.0	0.01	0.01	0.0001
Cibersort-BLUEPRINT	Monocytes	E	0.2307	0.026	0.2047	0.04190209
Cibersort-BLUEPRINT	NK	E	0.0	0.104	0.104	0.010816
Cibersort-BLUEPRINT	Neutrophils	E	0.04017	0.008	0.03217	0.0010349089
Cibersort-BLUEPRINT	CD4 T Cells	E	0.49323	0.005	0.48823	0.2383685329
