Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Cibersort-BLUEPRINT	T Cells	HD30PBMC0	0.42654	0.514	0.08746	0.0076492516
Cibersort-BLUEPRINT	Monocytes	HD30PBMC0	0.38581	0.155	0.23081	0.0532732561
Cibersort-BLUEPRINT	B Cells	HD30PBMC0	0.14796	0.043	0.10496	0.0110166016
Cibersort-BLUEPRINT	NK	HD30PBMC0	0.0	0.178	0.178	0.031684
Cibersort-BLUEPRINT	T Cells	HD30PBMC1	0.39354	0.457	0.06346	0.0040271716
Cibersort-BLUEPRINT	Monocytes	HD30PBMC1	0.39407	0.214	0.18007	0.0324252049
Cibersort-BLUEPRINT	B Cells	HD30PBMC1	0.14325	0.048	0.09525	0.0090725625
Cibersort-BLUEPRINT	NK	HD30PBMC1	0.0	0.168	0.168	0.028224
Cibersort-BLUEPRINT	T Cells	HD30PBMC3	0.4658	0.58	0.1142	0.01304164
Cibersort-BLUEPRINT	Monocytes	HD30PBMC3	0.35941	0.153	0.20641	0.0426050881
Cibersort-BLUEPRINT	B Cells	HD30PBMC3	0.14218	0.042	0.10018	0.0100360324
Cibersort-BLUEPRINT	NK	HD30PBMC3	0.0	0.148	0.148	0.021904
Cibersort-BLUEPRINT	T Cells	HD30PBMC7	0.55075	0.578	0.02725	0.0007425625
Cibersort-BLUEPRINT	Monocytes	HD30PBMC7	0.33151	0.135	0.19651	0.0386161801
Cibersort-BLUEPRINT	B Cells	HD30PBMC7	0.08522	0.066	0.01922	0.0003694084
Cibersort-BLUEPRINT	NK	HD30PBMC7	0.0	0.132	0.132	0.017424
Cibersort-BLUEPRINT	T Cells	HD31PBMC0	0.42363	0.59	0.16637	0.0276789769
Cibersort-BLUEPRINT	Monocytes	HD31PBMC0	0.39906	0.181	0.21806	0.0475501636
Cibersort-BLUEPRINT	B Cells	HD31PBMC0	0.12832	0.091	0.03732	0.0013927824
Cibersort-BLUEPRINT	NK	HD31PBMC0	0.0	0.045	0.045	0.002025
